,Omega (degree),Intensity,NORM_omega,NORM
0,7.16025,0.0,-0.2990000000000004,0.0
1,7.16075,0.0,-0.29849999999999977,0.0
2,7.16125,0.0,-0.29800000000000004,0.0
3,7.16175,0.0,-0.2975000000000003,0.0
4,7.16225,0.0,-0.2969999999999997,0.0
5,7.16275,0.0,-0.2965,0.0
6,7.16325,0.0,-0.29600000000000026,0.0
7,7.16375,0.0,-0.29549999999999965,0.0
8,7.16425,0.0,-0.29499999999999993,0.0
9,7.16475,0.0,-0.2945000000000002,0.0
10,7.16525,0.0,-0.2939999999999996,0.0
11,7.16575,1.0,-0.29349999999999987,0.00038895371450797355
12,7.16625,0.0,-0.29300000000000015,0.0
13,7.16675,0.0,-0.29249999999999954,0.0
14,7.16725,0.0,-0.2919999999999998,0.0
15,7.16775,0.0,-0.2915000000000001,0.0
16,7.16825,0.0,-0.29100000000000037,0.0
17,7.16875,0.0,-0.29049999999999976,0.0
18,7.16925,0.0,-0.29000000000000004,0.0
19,7.16975,0.0,-0.2895000000000003,0.0
20,7.17025,0.0,-0.2889999999999997,0.0
21,7.17075,0.0,-0.2885,0.0
22,7.17125,0.0,-0.28800000000000026,0.0
23,7.17175,0.0,-0.28749999999999964,0.0
24,7.17225,0.0,-0.2869999999999999,0.0
25,7.17275,0.0,-0.2865000000000002,0.0
26,7.17325,0.0,-0.2859999999999996,0.0
27,7.17375,0.0,-0.28549999999999986,0.0
28,7.17425,0.0,-0.28500000000000014,0.0
29,7.17475,0.0,-0.28449999999999953,0.0
30,7.17525,0.0,-0.2839999999999998,0.0
31,7.17575,0.0,-0.2835000000000001,0.0
32,7.17625,0.0,-0.28300000000000036,0.0
33,7.17675,0.0,-0.28249999999999975,0.0
34,7.17725,0.0,-0.28200000000000003,0.0
35,7.17775,0.0,-0.2815000000000003,0.0
36,7.17825,0.0,-0.2809999999999997,0.0
37,7.17875,0.0,-0.28049999999999997,0.0
38,7.17925,0.0,-0.28000000000000025,0.0
39,7.17975,0.0,-0.27949999999999964,0.0
40,7.18025,0.0,-0.2789999999999999,0.0
41,7.18075,0.0,-0.2785000000000002,0.0
42,7.18125,0.0,-0.2779999999999996,0.0
43,7.18175,0.0,-0.27749999999999986,0.0
44,7.18225,0.0,-0.27700000000000014,0.0
45,7.18275,0.0,-0.2764999999999995,0.0
46,7.18325,0.0,-0.2759999999999998,0.0
47,7.18375,0.0,-0.2755000000000001,0.0
48,7.18425,0.0,-0.27500000000000036,0.0
49,7.18475,1.0,-0.27449999999999974,0.00038895371450797355
50,7.18525,0.0,-0.274,0.0
51,7.18575,0.0,-0.2735000000000003,0.0
52,7.18625,0.0,-0.2729999999999997,0.0
53,7.18675,0.0,-0.27249999999999996,0.0
54,7.18725,0.0,-0.27200000000000024,0.0
55,7.18775,0.0,-0.27149999999999963,0.0
56,7.18825,0.0,-0.2709999999999999,0.0
57,7.18875,0.0,-0.2705000000000002,0.0
58,7.18925,0.0,-0.2699999999999996,0.0
59,7.18975,0.0,-0.26949999999999985,0.0
60,7.19025,0.0,-0.26900000000000013,0.0
61,7.19075,0.0,-0.2684999999999995,0.0
62,7.19125,0.0,-0.2679999999999998,0.0
63,7.19175,0.0,-0.26750000000000007,0.0
64,7.19225,0.0,-0.26700000000000035,0.0
65,7.19275,0.0,-0.26649999999999974,0.0
66,7.19325,0.0,-0.266,0.0
67,7.19375,0.0,-0.2655000000000003,0.0
68,7.19425,0.0,-0.2649999999999997,0.0
69,7.19475,0.0,-0.26449999999999996,0.0
70,7.19525,0.0,-0.26400000000000023,0.0
71,7.19575,0.0,-0.2634999999999996,0.0
72,7.19625,0.0,-0.2629999999999999,0.0
73,7.19675,0.0,-0.2625000000000002,0.0
74,7.19725,1.0,-0.26199999999999957,0.00038895371450797355
75,7.19775,0.0,-0.26149999999999984,0.0
76,7.19825,0.0,-0.2610000000000001,0.0
77,7.19875,0.0,-0.2604999999999995,0.0
78,7.19925,0.0,-0.2599999999999998,0.0
79,7.19975,0.0,-0.25950000000000006,0.0
80,7.20025,0.0,-0.25900000000000034,0.0
81,7.20075,0.0,-0.25849999999999973,0.0
82,7.20125,1.0,-0.258,0.00038895371450797355
83,7.20175,0.0,-0.2575000000000003,0.0
84,7.20225,0.0,-0.2569999999999997,0.0
85,7.20275,0.0,-0.25649999999999995,0.0
86,7.20325,0.0,-0.2560000000000002,0.0
87,7.20375,0.0,-0.2554999999999996,0.0
88,7.20425,0.0,-0.2549999999999999,0.0
89,7.20475,0.0,-0.25450000000000017,0.0
90,7.20525,0.0,-0.25399999999999956,0.0
91,7.20575,0.0,-0.25349999999999984,0.0
92,7.20625,0.0,-0.2530000000000001,0.0
93,7.20675,0.0,-0.2524999999999995,0.0
94,7.20725,0.0,-0.2519999999999998,0.0
95,7.20775,0.0,-0.25150000000000006,0.0
96,7.20825,0.0,-0.25100000000000033,0.0
97,7.20875,0.0,-0.2504999999999997,0.0
98,7.20925,0.0,-0.25,0.0
99,7.20975,0.0,-0.24950000000000028,0.0
100,7.21025,0.0,-0.24899999999999967,0.0
101,7.21075,0.0,-0.24849999999999994,0.0
102,7.21125,0.0,-0.24800000000000022,0.0
103,7.21175,0.0,-0.2474999999999996,0.0
104,7.21225,0.0,-0.2469999999999999,0.0
105,7.21275,0.0,-0.24650000000000016,0.0
106,7.21325,0.0,-0.24599999999999955,0.0
107,7.21375,0.0,-0.24549999999999983,0.0
108,7.21425,0.0,-0.2450000000000001,0.0
109,7.21475,0.0,-0.2444999999999995,0.0
110,7.21525,0.0,-0.24399999999999977,0.0
111,7.21575,0.0,-0.24350000000000005,0.0
112,7.21625,0.0,-0.24300000000000033,0.0
113,7.21675,0.0,-0.24249999999999972,0.0
114,7.21725,0.0,-0.242,0.0
115,7.21775,0.0,-0.24150000000000027,0.0
116,7.21825,0.0,-0.24099999999999966,0.0
117,7.21875,0.0,-0.24049999999999994,0.0
118,7.21925,0.0,-0.2400000000000002,0.0
119,7.21975,0.0,-0.2394999999999996,0.0
120,7.22025,0.0,-0.23899999999999988,0.0
121,7.22075,0.0,-0.23850000000000016,0.0
122,7.22125,0.0,-0.23799999999999955,0.0
123,7.22175,0.0,-0.23749999999999982,0.0
124,7.22225,0.0,-0.2370000000000001,0.0
125,7.22275,0.0,-0.23650000000000038,0.0
126,7.22325,0.0,-0.23599999999999977,0.0
127,7.22375,0.0,-0.23550000000000004,0.0
128,7.22425,0.0,-0.23500000000000032,0.0
129,7.22475,0.0,-0.2344999999999997,0.0
130,7.22525,0.0,-0.23399999999999999,0.0
131,7.22575,0.0,-0.23350000000000026,0.0
132,7.22625,0.0,-0.23299999999999965,0.0
133,7.22675,0.0,-0.23249999999999993,0.0
134,7.22725,1.0,-0.2320000000000002,0.00038895371450797355
135,7.22775,0.0,-0.2314999999999996,0.0
136,7.22825,0.0,-0.23099999999999987,0.0
137,7.22875,0.0,-0.23050000000000015,0.0
138,7.22925,1.0,-0.22999999999999954,0.00038895371450797355
139,7.22975,0.0,-0.22949999999999982,0.0
140,7.23025,0.0,-0.2290000000000001,0.0
141,7.23075,0.0,-0.22850000000000037,0.0
142,7.23125,0.0,-0.22799999999999976,0.0
