,Omega (degree),Intensity,NORM_omega,NORM
0,7.30025,2.0,-0.1689999999999996,0.0003440564252537416
1,7.30075,3.0,-0.16849999999999987,0.0005160846378806125
2,7.30125,6.0,-0.16800000000000015,0.001032169275761225
3,7.30175,8.0,-0.16749999999999954,0.0013762257010149664
4,7.30225,9.0,-0.16699999999999982,0.0015482539136418372
5,7.30275,6.0,-0.1665000000000001,0.001032169275761225
6,7.30325,5.0,-0.16599999999999948,0.000860141063134354
7,7.30375,5.0,-0.16549999999999976,0.000860141063134354
8,7.30425,3.0,-0.16500000000000004,0.0005160846378806125
9,7.30475,3.0,-0.16449999999999942,0.0005160846378806125
10,7.30525,2.0,-0.1639999999999997,0.0003440564252537416
11,7.30575,1.0,-0.16349999999999998,0.0001720282126268708
12,7.30625,2.0,-0.16299999999999937,0.0003440564252537416
13,7.30675,3.0,-0.16249999999999964,0.0005160846378806125
14,7.30725,7.0,-0.16199999999999992,0.0012041974883880955
15,7.30775,4.0,-0.1614999999999993,0.0006881128505074832
16,7.30825,4.0,-0.1609999999999996,0.0006881128505074832
17,7.30875,3.0,-0.16049999999999986,0.0005160846378806125
18,7.30925,5.0,-0.16000000000000014,0.000860141063134354
19,7.30975,1.0,-0.15949999999999953,0.0001720282126268708
20,7.31025,4.0,-0.1589999999999998,0.0006881128505074832
21,7.31075,5.0,-0.15850000000000009,0.000860141063134354
22,7.31125,2.0,-0.15799999999999947,0.0003440564252537416
23,7.31175,4.0,-0.15749999999999975,0.0006881128505074832
24,7.31225,3.0,-0.15700000000000003,0.0005160846378806125
25,7.31275,6.0,-0.15649999999999942,0.001032169275761225
26,7.31325,5.0,-0.1559999999999997,0.000860141063134354
27,7.31375,2.0,-0.15549999999999997,0.0003440564252537416
28,7.31425,3.0,-0.15499999999999936,0.0005160846378806125
29,7.31475,4.0,-0.15449999999999964,0.0006881128505074832
30,7.31525,4.0,-0.15399999999999991,0.0006881128505074832
31,7.31575,6.0,-0.1534999999999993,0.001032169275761225
32,7.31625,2.0,-0.15299999999999958,0.0003440564252537416
33,7.31675,6.0,-0.15249999999999986,0.001032169275761225
34,7.31725,5.0,-0.15200000000000014,0.000860141063134354
35,7.31775,6.0,-0.15149999999999952,0.001032169275761225
36,7.31825,5.0,-0.1509999999999998,0.000860141063134354
37,7.31875,6.0,-0.15050000000000008,0.001032169275761225
38,7.31925,5.0,-0.14999999999999947,0.000860141063134354
39,7.31975,3.0,-0.14949999999999974,0.0005160846378806125
40,7.32025,6.0,-0.14900000000000002,0.001032169275761225
41,7.32075,9.0,-0.1484999999999994,0.0015482539136418372
42,7.32125,6.0,-0.1479999999999997,0.001032169275761225
43,7.32175,3.0,-0.14749999999999996,0.0005160846378806125
44,7.32225,0.0,-0.14699999999999935,0.0
45,7.32275,6.0,-0.14649999999999963,0.001032169275761225
46,7.32325,4.0,-0.1459999999999999,0.0006881128505074832
47,7.32375,10.0,-0.1454999999999993,0.001720282126268708
48,7.32425,10.0,-0.14499999999999957,0.001720282126268708
49,7.32475,9.0,-0.14449999999999985,0.0015482539136418372
50,7.32525,9.0,-0.14400000000000013,0.0015482539136418372
51,7.32575,7.0,-0.14349999999999952,0.0012041974883880955
52,7.32625,3.0,-0.1429999999999998,0.0005160846378806125
53,7.32675,14.0,-0.14250000000000007,0.002408394976776191
54,7.32725,6.0,-0.14199999999999946,0.001032169275761225
55,7.32775,6.0,-0.14149999999999974,0.001032169275761225
56,7.32825,8.0,-0.14100000000000001,0.0013762257010149664
57,7.32875,9.0,-0.1404999999999994,0.0015482539136418372
58,7.32925,7.0,-0.13999999999999968,0.0012041974883880955
59,7.32975,4.0,-0.13949999999999996,0.0006881128505074832
60,7.33025,6.0,-0.13899999999999935,0.001032169275761225
61,7.33075,6.0,-0.13849999999999962,0.001032169275761225
62,7.33125,6.0,-0.1379999999999999,0.001032169275761225
63,7.33175,10.0,-0.1374999999999993,0.001720282126268708
64,7.33225,3.0,-0.13699999999999957,0.0005160846378806125
65,7.33275,10.0,-0.13649999999999984,0.001720282126268708
66,7.33325,8.0,-0.13600000000000012,0.0013762257010149664
67,7.33375,5.0,-0.1354999999999995,0.000860141063134354
68,7.33425,10.0,-0.1349999999999998,0.001720282126268708
69,7.33475,7.0,-0.13450000000000006,0.0012041974883880955
70,7.33525,3.0,-0.13399999999999945,0.0005160846378806125
71,7.33575,5.0,-0.13349999999999973,0.000860141063134354
72,7.33625,10.0,-0.133,0.001720282126268708
73,7.33675,7.0,-0.1324999999999994,0.0012041974883880955
74,7.33725,3.0,-0.13199999999999967,0.0005160846378806125
75,7.33775,8.0,-0.13149999999999995,0.0013762257010149664
76,7.33825,9.0,-0.13099999999999934,0.0015482539136418372
77,7.33875,10.0,-0.13049999999999962,0.001720282126268708
78,7.33925,7.0,-0.1299999999999999,0.0012041974883880955
79,7.33975,4.0,-0.12949999999999928,0.0006881128505074832
80,7.34025,3.0,-0.12899999999999956,0.0005160846378806125
81,7.34075,8.0,-0.12849999999999984,0.0013762257010149664
82,7.34125,10.0,-0.1280000000000001,0.001720282126268708
83,7.34175,10.0,-0.1274999999999995,0.001720282126268708
84,7.34225,5.0,-0.12699999999999978,0.000860141063134354
85,7.34275,13.0,-0.12650000000000006,0.0022363667641493207
86,7.34325,10.0,-0.12599999999999945,0.001720282126268708
87,7.34375,12.0,-0.12549999999999972,0.00206433855152245
88,7.34425,5.0,-0.125,0.000860141063134354
89,7.34475,6.0,-0.12449999999999939,0.001032169275761225
90,7.34525,9.0,-0.12399999999999967,0.0015482539136418372
91,7.34575,4.0,-0.12349999999999994,0.0006881128505074832
92,7.34625,6.0,-0.12299999999999933,0.001032169275761225
93,7.34675,5.0,-0.12249999999999961,0.000860141063134354
94,7.34725,19.0,-0.12199999999999989,0.003268536039910545
95,7.34775,8.0,-0.12150000000000016,0.0013762257010149664
96,7.34825,8.0,-0.12099999999999955,0.0013762257010149664
97,7.34875,10.0,-0.12049999999999983,0.001720282126268708
98,7.34925,9.0,-0.1200000000000001,0.0015482539136418372
99,7.34975,5.0,-0.1194999999999995,0.000860141063134354
100,7.35025,6.0,-0.11899999999999977,0.001032169275761225
101,7.35075,8.0,-0.11850000000000005,0.0013762257010149664
102,7.35125,9.0,-0.11799999999999944,0.0015482539136418372
103,7.35175,13.0,-0.11749999999999972,0.0022363667641493207
104,7.35225,8.0,-0.11699999999999999,0.0013762257010149664
105,7.35275,13.0,-0.11649999999999938,0.0022363667641493207
106,7.35325,6.0,-0.11599999999999966,0.001032169275761225
107,7.35375,11.0,-0.11549999999999994,0.0018923103388955788
108,7.35425,10.0,-0.11499999999999932,0.001720282126268708
109,7.35475,7.0,-0.1144999999999996,0.0012041974883880955
110,7.35525,10.0,-0.11399999999999988,0.001720282126268708
111,7.35575,12.0,-0.11350000000000016,0.00206433855152245
112,7.35625,10.0,-0.11299999999999955,0.001720282126268708
113,7.35675,6.0,-0.11249999999999982,0.001032169275761225
114,7.35725,8.0,-0.1120000000000001,0.0013762257010149664
115,7.35775,5.0,-0.11149999999999949,0.000860141063134354
116,7.35825,11.0,-0.11099999999999977,0.0018923103388955788
117,7.35875,6.0,-0.11050000000000004,0.001032169275761225
118,7.35925,8.0,-0.10999999999999943,0.0013762257010149664
119,7.35975,10.0,-0.10949999999999971,0.001720282126268708
120,7.36025,6.0,-0.10899999999999999,0.001032169275761225
121,7.36075,9.0,-0.10849999999999937,0.0015482539136418372
122,7.36125,10.0,-0.10799999999999965,0.001720282126268708
123,7.36175,5.0,-0.10749999999999993,0.000860141063134354
124,7.36225,10.0,-0.10699999999999932,0.001720282126268708
125,7.36275,8.0,-0.1064999999999996,0.0013762257010149664
126,7.36325,5.0,-0.10599999999999987,0.000860141063134354
127,7.36375,8.0,-0.10550000000000015,0.0013762257010149664
128,7.36425,9.0,-0.10499999999999954,0.0015482539136418372
129,7.36475,9.0,-0.10449999999999982,0.0015482539136418372
130,7.36525,7.0,-0.10400000000000009,0.0012041974883880955
131,7.36575,7.0,-0.10349999999999948,0.0012041974883880955
132,7.36625,10.0,-0.10299999999999976,0.001720282126268708
133,7.36675,17.0,-0.10250000000000004,0.0029244796146568035
134,7.36725,9.0,-0.10199999999999942,0.0015482539136418372
135,7.36775,11.0,-0.1014999999999997,0.0018923103388955788
136,7.36825,8.0,-0.10099999999999998,0.0013762257010149664
137,7.36875,11.0,-0.10049999999999937,0.0018923103388955788
138,7.36925,10.0,-0.09999999999999964,0.001720282126268708
139,7.36975,12.0,-0.09949999999999992,0.00206433855152245
140,7.37025,9.0,-0.09899999999999931,0.0015482539136418372
141,7.37075,12.0,-0.09849999999999959,0.00206433855152245
142,7.37125,10.0,-0.09799999999999986,0.001720282126268708
143,7.37175,11.0,-0.09750000000000014,0.0018923103388955788
144,7.37225,7.0,-0.09699999999999953,0.0012041974883880955
145,7.37275,10.0,-0.09649999999999981,0.001720282126268708
146,7.37325,11.0,-0.09600000000000009,0.0018923103388955788
147,7.37375,8.0,-0.09549999999999947,0.0013762257010149664
148,7.37425,5.0,-0.09499999999999975,0.000860141063134354
149,7.37475,8.0,-0.09450000000000003,0.0013762257010149664
150,7.37525,7.0,-0.09399999999999942,0.0012041974883880955
151,7.37575,12.0,-0.0934999999999997,0.00206433855152245
152,7.37625,7.0,-0.09299999999999997,0.0012041974883880955
153,7.37675,13.0,-0.09249999999999936,0.0022363667641493207
154,7.37725,13.0,-0.09199999999999964,0.0022363667641493207
155,7.37775,17.0,-0.09149999999999991,0.0029244796146568035
156,7.37825,17.0,-0.0909999999999993,0.0029244796146568035
157,7.37875,17.0,-0.09049999999999958,0.0029244796146568035
158,7.37925,17.0,-0.08999999999999986,0.0029244796146568035
159,7.37975,21.0,-0.08950000000000014,0.003612592465164287
160,7.38025,14.0,-0.08899999999999952,0.002408394976776191
161,7.38075,10.0,-0.0884999999999998,0.001720282126268708
162,7.38125,14.0,-0.08800000000000008,0.002408394976776191
163,7.38175,24.0,-0.08749999999999947,0.0041286771030449
164,7.38225,13.0,-0.08699999999999974,0.0022363667641493207
165,7.38275,11.0,-0.08650000000000002,0.0018923103388955788
166,7.38325,22.0,-0.08599999999999941,0.0037846206777911577
167,7.38375,14.0,-0.08549999999999969,0.002408394976776191
168,7.38425,16.0,-0.08499999999999996,0.0027524514020299327
169,7.38475,17.0,-0.08449999999999935,0.0029244796146568035
170,7.38525,11.0,-0.08399999999999963,0.0018923103388955788
171,7.38575,20.0,-0.08349999999999991,0.003440564252537416
172,7.38625,24.0,-0.0829999999999993,0.0041286771030449
173,7.38675,13.0,-0.08249999999999957,0.0022363667641493207
174,7.38725,28.0,-0.08199999999999985,0.004816789953552382
175,7.38775,25.0,-0.08150000000000013,0.00430070531567177
176,7.38825,18.0,-0.08099999999999952,0.0030965078272836744
177,7.38875,11.0,-0.0804999999999998,0.0018923103388955788
178,7.38925,14.0,-0.08000000000000007,0.002408394976776191
179,7.38975,10.0,-0.07949999999999946,0.001720282126268708
180,7.39025,23.0,-0.07899999999999974,0.0039566488904180285
181,7.39075,25.0,-0.07850000000000001,0.00430070531567177
182,7.39125,18.0,-0.0779999999999994,0.0030965078272836744
183,7.39175,17.0,-0.07749999999999968,0.0029244796146568035
184,7.39225,20.0,-0.07699999999999996,0.003440564252537416
185,7.39275,18.0,-0.07649999999999935,0.0030965078272836744
186,7.39325,27.0,-0.07599999999999962,0.004644761740925512
187,7.39375,33.0,-0.0754999999999999,0.005676931016686737
188,7.39425,19.0,-0.07499999999999929,0.003268536039910545
189,7.39475,25.0,-0.07449999999999957,0.00430070531567177
190,7.39525,16.0,-0.07399999999999984,0.0027524514020299327
191,7.39575,15.0,-0.07350000000000012,0.002580423189403062
192,7.39625,18.0,-0.07299999999999951,0.0030965078272836744
