,Omega (degree),Intensity,NORM_omega,NORM
0,7.30025,11.0,-0.17149999999999999,0.006260671599317018
1,7.30075,9.0,-0.17100000000000026,0.005122367672168469
2,7.30125,10.0,-0.17050000000000054,0.005691519635742743
3,7.30175,11.0,-0.16999999999999993,0.006260671599317018
4,7.30225,11.0,-0.1695000000000002,0.006260671599317018
5,7.30275,8.0,-0.16900000000000048,0.004553215708594195
6,7.30325,16.0,-0.16849999999999987,0.00910643141718839
7,7.30375,14.0,-0.16800000000000015,0.00796812749003984
8,7.30425,10.0,-0.16750000000000043,0.005691519635742743
9,7.30475,10.0,-0.16699999999999982,0.005691519635742743
10,7.30525,13.0,-0.1665000000000001,0.007398975526465566
11,7.30575,11.0,-0.16600000000000037,0.006260671599317018
12,7.30625,13.0,-0.16549999999999976,0.007398975526465566
13,7.30675,14.0,-0.16500000000000004,0.00796812749003984
14,7.30725,10.0,-0.1645000000000003,0.005691519635742743
15,7.30775,13.0,-0.1639999999999997,0.007398975526465566
16,7.30825,13.0,-0.16349999999999998,0.007398975526465566
17,7.30875,13.0,-0.16300000000000026,0.007398975526465566
18,7.30925,14.0,-0.16250000000000053,0.00796812749003984
19,7.30975,19.0,-0.16199999999999992,0.010813887307911212
20,7.31025,10.0,-0.1615000000000002,0.005691519635742743
21,7.31075,9.0,-0.16100000000000048,0.005122367672168469
22,7.31125,15.0,-0.16049999999999986,0.008537279453614115
23,7.31175,13.0,-0.16000000000000014,0.007398975526465566
24,7.31225,20.0,-0.15950000000000042,0.011383039271485486
25,7.31275,14.0,-0.1589999999999998,0.00796812749003984
26,7.31325,18.0,-0.15850000000000009,0.010244735344336939
27,7.31375,25.0,-0.15800000000000036,0.014228799089356859
28,7.31425,23.0,-0.15749999999999975,0.01309049516220831
29,7.31475,10.0,-0.15700000000000003,0.005691519635742743
30,7.31525,17.0,-0.1565000000000003,0.009675583380762664
31,7.31575,17.0,-0.1559999999999997,0.009675583380762664
32,7.31625,20.0,-0.15549999999999997,0.011383039271485486
33,7.31675,19.0,-0.15500000000000025,0.010813887307911212
34,7.31725,22.0,-0.15450000000000053,0.012521343198634035
35,7.31775,16.0,-0.15399999999999991,0.00910643141718839
36,7.31825,22.0,-0.1535000000000002,0.012521343198634035
37,7.31875,17.0,-0.15300000000000047,0.009675583380762664
38,7.31925,19.0,-0.15249999999999986,0.010813887307911212
39,7.31975,22.0,-0.15200000000000014,0.012521343198634035
40,7.32025,14.0,-0.1515000000000004,0.00796812749003984
41,7.32075,16.0,-0.1509999999999998,0.00910643141718839
42,7.32125,22.0,-0.15050000000000008,0.012521343198634035
43,7.32175,9.0,-0.15000000000000036,0.005122367672168469
44,7.32225,14.0,-0.14949999999999974,0.00796812749003984
45,7.32275,17.0,-0.14900000000000002,0.009675583380762664
46,7.32325,14.0,-0.1485000000000003,0.00796812749003984
47,7.32375,18.0,-0.1479999999999997,0.010244735344336939
48,7.32425,14.0,-0.14749999999999996,0.00796812749003984
49,7.32475,11.0,-0.14700000000000024,0.006260671599317018
50,7.32525,16.0,-0.14650000000000052,0.00910643141718839
51,7.32575,16.0,-0.1459999999999999,0.00910643141718839
52,7.32625,18.0,-0.14550000000000018,0.010244735344336939
53,7.32675,14.0,-0.14500000000000046,0.00796812749003984
54,7.32725,11.0,-0.14449999999999985,0.006260671599317018
55,7.32775,18.0,-0.14400000000000013,0.010244735344336939
56,7.32825,18.0,-0.1435000000000004,0.010244735344336939
57,7.32875,23.0,-0.1429999999999998,0.01309049516220831
58,7.32925,22.0,-0.14250000000000007,0.012521343198634035
59,7.32975,12.0,-0.14200000000000035,0.006829823562891292
60,7.33025,20.0,-0.14149999999999974,0.011383039271485486
61,7.33075,21.0,-0.14100000000000001,0.01195219123505976
62,7.33125,15.0,-0.1405000000000003,0.008537279453614115
63,7.33175,17.0,-0.13999999999999968,0.009675583380762664
64,7.33225,27.0,-0.13949999999999996,0.015367103016505406
65,7.33275,15.0,-0.13900000000000023,0.008537279453614115
66,7.33325,14.0,-0.1385000000000005,0.00796812749003984
67,7.33375,19.0,-0.1379999999999999,0.010813887307911212
68,7.33425,24.0,-0.13750000000000018,0.013659647125782584
69,7.33475,23.0,-0.13700000000000045,0.01309049516220831
70,7.33525,12.0,-0.13649999999999984,0.006829823562891292
71,7.33575,18.0,-0.13600000000000012,0.010244735344336939
72,7.33625,19.0,-0.1355000000000004,0.010813887307911212
73,7.33675,22.0,-0.1349999999999998,0.012521343198634035
74,7.33725,13.0,-0.13450000000000006,0.007398975526465566
75,7.33775,27.0,-0.13400000000000034,0.015367103016505406
76,7.33825,21.0,-0.13349999999999973,0.01195219123505976
77,7.33875,20.0,-0.133,0.011383039271485486
78,7.33925,29.0,-0.13250000000000028,0.016505406943653957
79,7.33975,30.0,-0.13199999999999967,0.01707455890722823
