,Omega (degree),Intensity,NORM_omega,NORM
0,7.30025,17.0,-0.17100000000000026,0.011031797534068787
1,7.30075,14.0,-0.17050000000000054,0.009085009733939001
2,7.30125,10.0,-0.17000000000000082,0.006489292667099286
3,7.30175,18.0,-0.1695000000000002,0.011680726800778715
4,7.30225,18.0,-0.16900000000000048,0.011680726800778715
5,7.30275,19.0,-0.16850000000000076,0.012329656067488644
6,7.30325,16.0,-0.16800000000000015,0.010382868267358857
7,7.30375,15.0,-0.16750000000000043,0.00973393900064893
8,7.30425,10.0,-0.1670000000000007,0.006489292667099286
9,7.30475,16.0,-0.1665000000000001,0.010382868267358857
10,7.30525,10.0,-0.16600000000000037,0.006489292667099286
11,7.30575,13.0,-0.16550000000000065,0.008436080467229072
12,7.30625,19.0,-0.16500000000000004,0.012329656067488644
13,7.30675,20.0,-0.1645000000000003,0.012978585334198572
14,7.30725,18.0,-0.1640000000000006,0.011680726800778715
15,7.30775,16.0,-0.16349999999999998,0.010382868267358857
16,7.30825,14.0,-0.16300000000000026,0.009085009733939001
17,7.30875,14.0,-0.16250000000000053,0.009085009733939001
18,7.30925,16.0,-0.1620000000000008,0.010382868267358857
19,7.30975,24.0,-0.1615000000000002,0.015574302401038288
20,7.31025,7.0,-0.16100000000000048,0.004542504866969501
21,7.31075,17.0,-0.16050000000000075,0.011031797534068787
22,7.31125,17.0,-0.16000000000000014,0.011031797534068787
23,7.31175,8.0,-0.15950000000000042,0.005191434133679429
24,7.31225,18.0,-0.1590000000000007,0.011680726800778715
25,7.31275,22.0,-0.15850000000000009,0.01427644386761843
26,7.31325,14.0,-0.15800000000000036,0.009085009733939001
27,7.31375,23.0,-0.15750000000000064,0.014925373134328358
28,7.31425,26.0,-0.15700000000000003,0.016872160934458143
29,7.31475,20.0,-0.1565000000000003,0.012978585334198572
30,7.31525,18.0,-0.15600000000000058,0.011680726800778715
31,7.31575,24.0,-0.15549999999999997,0.015574302401038288
32,7.31625,17.0,-0.15500000000000025,0.011031797534068787
33,7.31675,15.0,-0.15450000000000053,0.00973393900064893
34,7.31725,21.0,-0.1540000000000008,0.0136275146009085
35,7.31775,7.0,-0.1535000000000002,0.004542504866969501
36,7.31825,14.0,-0.15300000000000047,0.009085009733939001
37,7.31875,23.0,-0.15250000000000075,0.014925373134328358
38,7.31925,22.0,-0.15200000000000014,0.01427644386761843
39,7.31975,19.0,-0.1515000000000004,0.012329656067488644
40,7.32025,19.0,-0.1510000000000007,0.012329656067488644
41,7.32075,27.0,-0.15050000000000008,0.01752109020116807
42,7.32125,12.0,-0.15000000000000036,0.007787151200519144
43,7.32175,25.0,-0.14950000000000063,0.016223231667748216
44,7.32225,20.0,-0.14900000000000002,0.012978585334198572
45,7.32275,16.0,-0.1485000000000003,0.010382868267358857
46,7.32325,20.0,-0.14800000000000058,0.012978585334198572
47,7.32375,22.0,-0.14749999999999996,0.01427644386761843
48,7.32425,15.0,-0.14700000000000024,0.00973393900064893
49,7.32475,16.0,-0.14650000000000052,0.010382868267358857
50,7.32525,19.0,-0.1460000000000008,0.012329656067488644
51,7.32575,27.0,-0.14550000000000018,0.01752109020116807
52,7.32625,17.0,-0.14500000000000046,0.011031797534068787
53,7.32675,22.0,-0.14450000000000074,0.01427644386761843
54,7.32725,17.0,-0.14400000000000013,0.011031797534068787
55,7.32775,20.0,-0.1435000000000004,0.012978585334198572
56,7.32825,15.0,-0.14300000000000068,0.00973393900064893
57,7.32875,21.0,-0.14250000000000007,0.0136275146009085
58,7.32925,26.0,-0.14200000000000035,0.016872160934458143
59,7.32975,28.0,-0.14150000000000063,0.018170019467878003
60,7.33025,23.0,-0.14100000000000001,0.014925373134328358
61,7.33075,23.0,-0.1405000000000003,0.014925373134328358
62,7.33125,17.0,-0.14000000000000057,0.011031797534068787
63,7.33175,20.0,-0.13949999999999996,0.012978585334198572
64,7.33225,26.0,-0.13900000000000023,0.016872160934458143
65,7.33275,30.0,-0.1385000000000005,0.01946787800129786
66,7.33325,29.0,-0.1380000000000008,0.01881894873458793
67,7.33375,21.0,-0.13750000000000018,0.0136275146009085
68,7.33425,26.0,-0.13700000000000045,0.016872160934458143
69,7.33475,26.0,-0.13650000000000073,0.016872160934458143
70,7.33525,18.0,-0.13600000000000012,0.011680726800778715
71,7.33575,22.0,-0.1355000000000004,0.01427644386761843
72,7.33625,25.0,-0.13500000000000068,0.016223231667748216
73,7.33675,24.0,-0.13450000000000006,0.015574302401038288
74,7.33725,13.0,-0.13400000000000034,0.008436080467229072
75,7.33775,20.0,-0.13350000000000062,0.012978585334198572
76,7.33825,23.0,-0.133,0.014925373134328358
77,7.33875,24.0,-0.13250000000000028,0.015574302401038288
78,7.33925,26.0,-0.13200000000000056,0.016872160934458143
79,7.33975,33.0,-0.13149999999999995,0.021414665801427646
80,7.34025,29.0,-0.13100000000000023,0.01881894873458793
81,7.34075,30.0,-0.1305000000000005,0.01946787800129786
82,7.34125,25.0,-0.13000000000000078,0.016223231667748216
83,7.34175,25.0,-0.12950000000000017,0.016223231667748216
84,7.34225,28.0,-0.12900000000000045,0.018170019467878003
85,7.34275,23.0,-0.12850000000000072,0.014925373134328358
86,7.34325,26.0,-0.1280000000000001,0.016872160934458143
87,7.34375,31.0,-0.1275000000000004,0.020116807268007787
88,7.34425,23.0,-0.12700000000000067,0.014925373134328358
89,7.34475,26.0,-0.12650000000000006,0.016872160934458143
90,7.34525,21.0,-0.12600000000000033,0.0136275146009085
91,7.34575,39.0,-0.1255000000000006,0.025308241401687217
92,7.34625,30.0,-0.125,0.01946787800129786
93,7.34675,43.0,-0.12450000000000028,0.027903958468526932
94,7.34725,20.0,-0.12400000000000055,0.012978585334198572
95,7.34775,30.0,-0.12350000000000083,0.01946787800129786
96,7.34825,20.0,-0.12300000000000022,0.012978585334198572
97,7.34875,21.0,-0.1225000000000005,0.0136275146009085
98,7.34925,27.0,-0.12200000000000077,0.01752109020116807
99,7.34975,30.0,-0.12150000000000016,0.01946787800129786
100,7.35025,30.0,-0.12100000000000044,0.01946787800129786
101,7.35075,28.0,-0.12050000000000072,0.018170019467878003
102,7.35125,37.0,-0.1200000000000001,0.024010382868267358
103,7.35175,31.0,-0.11950000000000038,0.020116807268007787
104,7.35225,24.0,-0.11900000000000066,0.015574302401038288
105,7.35275,27.0,-0.11850000000000005,0.01752109020116807
106,7.35325,33.0,-0.11800000000000033,0.021414665801427646
107,7.35375,32.0,-0.1175000000000006,0.020765736534717714
108,7.35425,35.0,-0.11699999999999999,0.0227125243348475
109,7.35475,27.0,-0.11650000000000027,0.01752109020116807
110,7.35525,20.0,-0.11600000000000055,0.012978585334198572
111,7.35575,34.0,-0.11550000000000082,0.022063595068137574
112,7.35625,32.0,-0.11500000000000021,0.020765736534717714
113,7.35675,29.0,-0.11450000000000049,0.01881894873458793
114,7.35725,45.0,-0.11400000000000077,0.029201817001946788
115,7.35775,40.0,-0.11350000000000016,0.025957170668397145
116,7.35825,28.0,-0.11300000000000043,0.018170019467878003
117,7.35875,23.0,-0.11250000000000071,0.014925373134328358
118,7.35925,31.0,-0.1120000000000001,0.020116807268007787
119,7.35975,39.0,-0.11150000000000038,0.025308241401687217
120,7.36025,38.0,-0.11100000000000065,0.02465931213497729
121,7.36075,36.0,-0.11050000000000004,0.02336145360155743
122,7.36125,33.0,-0.11000000000000032,0.021414665801427646
123,7.36175,43.0,-0.1095000000000006,0.027903958468526932
124,7.36225,29.0,-0.10899999999999999,0.01881894873458793
125,7.36275,39.0,-0.10850000000000026,0.025308241401687217
126,7.36325,35.0,-0.10800000000000054,0.0227125243348475
127,7.36375,32.0,-0.10750000000000082,0.020765736534717714
128,7.36425,37.0,-0.1070000000000002,0.024010382868267358
129,7.36475,29.0,-0.10650000000000048,0.01881894873458793
130,7.36525,34.0,-0.10600000000000076,0.022063595068137574
131,7.36575,39.0,-0.10550000000000015,0.025308241401687217
132,7.36625,39.0,-0.10500000000000043,0.025308241401687217
133,7.36675,31.0,-0.1045000000000007,0.020116807268007787
