,Omega (degree),Intensity,NORM_omega,NORM
0,7.30025,7.0,-0.1639999999999997,0.005794701986754967
1,7.30075,4.0,-0.16349999999999998,0.0033112582781456954
2,7.30125,3.0,-0.16300000000000026,0.0024834437086092716
3,7.30175,2.0,-0.16249999999999964,0.0016556291390728477
4,7.30225,9.0,-0.16199999999999992,0.0074503311258278145
5,7.30275,4.0,-0.1615000000000002,0.0033112582781456954
6,7.30325,9.0,-0.1609999999999996,0.0074503311258278145
7,7.30375,10.0,-0.16049999999999986,0.008278145695364239
8,7.30425,5.0,-0.16000000000000014,0.0041390728476821195
9,7.30475,5.0,-0.15949999999999953,0.0041390728476821195
10,7.30525,6.0,-0.1589999999999998,0.004966887417218543
11,7.30575,11.0,-0.15850000000000009,0.009105960264900662
12,7.30625,3.0,-0.15799999999999947,0.0024834437086092716
13,7.30675,2.0,-0.15749999999999975,0.0016556291390728477
14,7.30725,7.0,-0.15700000000000003,0.005794701986754967
15,7.30775,3.0,-0.15649999999999942,0.0024834437086092716
16,7.30825,2.0,-0.1559999999999997,0.0016556291390728477
17,7.30875,3.0,-0.15549999999999997,0.0024834437086092716
18,7.30925,3.0,-0.15500000000000025,0.0024834437086092716
19,7.30975,7.0,-0.15449999999999964,0.005794701986754967
20,7.31025,5.0,-0.15399999999999991,0.0041390728476821195
21,7.31075,4.0,-0.1535000000000002,0.0033112582781456954
22,7.31125,3.0,-0.15299999999999958,0.0024834437086092716
23,7.31175,3.0,-0.15249999999999986,0.0024834437086092716
24,7.31225,2.0,-0.15200000000000014,0.0016556291390728477
25,7.31275,1.0,-0.15149999999999952,0.0008278145695364238
26,7.31325,9.0,-0.1509999999999998,0.0074503311258278145
27,7.31375,7.0,-0.15050000000000008,0.005794701986754967
28,7.31425,1.0,-0.14999999999999947,0.0008278145695364238
29,7.31475,8.0,-0.14949999999999974,0.006622516556291391
30,7.31525,6.0,-0.14900000000000002,0.004966887417218543
31,7.31575,4.0,-0.1484999999999994,0.0033112582781456954
32,7.31625,8.0,-0.1479999999999997,0.006622516556291391
33,7.31675,4.0,-0.14749999999999996,0.0033112582781456954
34,7.31725,4.0,-0.14700000000000024,0.0033112582781456954
35,7.31775,4.0,-0.14649999999999963,0.0033112582781456954
36,7.31825,6.0,-0.1459999999999999,0.004966887417218543
37,7.31875,3.0,-0.14550000000000018,0.0024834437086092716
38,7.31925,5.0,-0.14499999999999957,0.0041390728476821195
39,7.31975,5.0,-0.14449999999999985,0.0041390728476821195
40,7.32025,7.0,-0.14400000000000013,0.005794701986754967
41,7.32075,7.0,-0.14349999999999952,0.005794701986754967
42,7.32125,6.0,-0.1429999999999998,0.004966887417218543
43,7.32175,5.0,-0.14250000000000007,0.0041390728476821195
44,7.32225,2.0,-0.14199999999999946,0.0016556291390728477
45,7.32275,1.0,-0.14149999999999974,0.0008278145695364238
46,7.32325,7.0,-0.14100000000000001,0.005794701986754967
47,7.32375,6.0,-0.1404999999999994,0.004966887417218543
48,7.32425,0.0,-0.13999999999999968,0.0
49,7.32475,2.0,-0.13949999999999996,0.0016556291390728477
50,7.32525,4.0,-0.13900000000000023,0.0033112582781456954
51,7.32575,5.0,-0.13849999999999962,0.0041390728476821195
52,7.32625,3.0,-0.1379999999999999,0.0024834437086092716
53,7.32675,6.0,-0.13750000000000018,0.004966887417218543
54,7.32725,4.0,-0.13699999999999957,0.0033112582781456954
55,7.32775,5.0,-0.13649999999999984,0.0041390728476821195
56,7.32825,5.0,-0.13600000000000012,0.0041390728476821195
57,7.32875,2.0,-0.1354999999999995,0.0016556291390728477
