,Omega (degree),Intensity,NORM_omega,NORM
0,7.30025,2.0,-0.17249999999999943,0.0004508566275924256
1,7.30075,4.0,-0.1719999999999997,0.0009017132551848512
2,7.30125,4.0,-0.17149999999999999,0.0009017132551848512
3,7.30175,5.0,-0.17099999999999937,0.001127141568981064
4,7.30225,7.0,-0.17049999999999965,0.0015779981965734896
5,7.30275,2.0,-0.16999999999999993,0.0004508566275924256
6,7.30325,3.0,-0.16949999999999932,0.0006762849413886385
7,7.30375,7.0,-0.1689999999999996,0.0015779981965734896
8,7.30425,3.0,-0.16849999999999987,0.0006762849413886385
9,7.30475,4.0,-0.16799999999999926,0.0009017132551848512
10,7.30525,10.0,-0.16749999999999954,0.002254283137962128
11,7.30575,2.0,-0.16699999999999982,0.0004508566275924256
12,7.30625,6.0,-0.1664999999999992,0.001352569882777277
13,7.30675,4.0,-0.16599999999999948,0.0009017132551848512
14,7.30725,2.0,-0.16549999999999976,0.0004508566275924256
15,7.30775,5.0,-0.16499999999999915,0.001127141568981064
16,7.30825,5.0,-0.16449999999999942,0.001127141568981064
17,7.30875,6.0,-0.1639999999999997,0.001352569882777277
18,7.30925,2.0,-0.16349999999999998,0.0004508566275924256
19,7.30975,4.0,-0.16299999999999937,0.0009017132551848512
20,7.31025,5.0,-0.16249999999999964,0.001127141568981064
21,7.31075,8.0,-0.16199999999999992,0.0018034265103697023
22,7.31125,5.0,-0.1614999999999993,0.001127141568981064
23,7.31175,2.0,-0.1609999999999996,0.0004508566275924256
24,7.31225,4.0,-0.16049999999999986,0.0009017132551848512
25,7.31275,5.0,-0.15999999999999925,0.001127141568981064
26,7.31325,5.0,-0.15949999999999953,0.001127141568981064
27,7.31375,3.0,-0.1589999999999998,0.0006762849413886385
28,7.31425,6.0,-0.1584999999999992,0.001352569882777277
29,7.31475,7.0,-0.15799999999999947,0.0015779981965734896
30,7.31525,6.0,-0.15749999999999975,0.001352569882777277
31,7.31575,7.0,-0.15699999999999914,0.0015779981965734896
32,7.31625,2.0,-0.15649999999999942,0.0004508566275924256
33,7.31675,3.0,-0.1559999999999997,0.0006762849413886385
34,7.31725,7.0,-0.15549999999999997,0.0015779981965734896
35,7.31775,4.0,-0.15499999999999936,0.0009017132551848512
36,7.31825,8.0,-0.15449999999999964,0.0018034265103697023
