,Omega (degree),Intensity,NORM_omega,NORM
0,7.30025,1.0,-0.1905000000000001,0.0005834305717619603
1,7.30075,1.0,-0.1900000000000004,0.0005834305717619603
2,7.30125,0.0,-0.18950000000000067,0.0
3,7.30175,0.0,-0.18900000000000006,0.0
4,7.30225,0.0,-0.18850000000000033,0.0
5,7.30275,0.0,-0.1880000000000006,0.0
6,7.30325,1.0,-0.1875,0.0005834305717619603
7,7.30375,0.0,-0.18700000000000028,0.0
8,7.30425,0.0,-0.18650000000000055,0.0
9,7.30475,1.0,-0.18599999999999994,0.0005834305717619603
10,7.30525,1.0,-0.18550000000000022,0.0005834305717619603
11,7.30575,0.0,-0.1850000000000005,0.0
12,7.30625,0.0,-0.1844999999999999,0.0
13,7.30675,1.0,-0.18400000000000016,0.0005834305717619603
14,7.30725,0.0,-0.18350000000000044,0.0
15,7.30775,1.0,-0.18299999999999983,0.0005834305717619603
16,7.30825,2.0,-0.1825000000000001,0.0011668611435239206
17,7.30875,1.0,-0.18200000000000038,0.0005834305717619603
18,7.30925,0.0,-0.18150000000000066,0.0
19,7.30975,2.0,-0.18100000000000005,0.0011668611435239206
20,7.31025,0.0,-0.18050000000000033,0.0
21,7.31075,0.0,-0.1800000000000006,0.0
22,7.31125,0.0,-0.1795,0.0
23,7.31175,1.0,-0.17900000000000027,0.0005834305717619603
24,7.31225,0.0,-0.17850000000000055,0.0
25,7.31275,0.0,-0.17799999999999994,0.0
26,7.31325,2.0,-0.1775000000000002,0.0011668611435239206
27,7.31375,3.0,-0.1770000000000005,0.001750291715285881
28,7.31425,1.0,-0.17649999999999988,0.0005834305717619603
29,7.31475,1.0,-0.17600000000000016,0.0005834305717619603
30,7.31525,5.0,-0.17550000000000043,0.0029171528588098016
31,7.31575,3.0,-0.17499999999999982,0.001750291715285881
32,7.31625,1.0,-0.1745000000000001,0.0005834305717619603
33,7.31675,0.0,-0.17400000000000038,0.0
34,7.31725,2.0,-0.17350000000000065,0.0011668611435239206
35,7.31775,1.0,-0.17300000000000004,0.0005834305717619603
36,7.31825,0.0,-0.17250000000000032,0.0
37,7.31875,1.0,-0.1720000000000006,0.0005834305717619603
38,7.31925,1.0,-0.17149999999999999,0.0005834305717619603
39,7.31975,1.0,-0.17100000000000026,0.0005834305717619603
40,7.32025,1.0,-0.17050000000000054,0.0005834305717619603
41,7.32075,1.0,-0.16999999999999993,0.0005834305717619603
42,7.32125,1.0,-0.1695000000000002,0.0005834305717619603
43,7.32175,2.0,-0.16900000000000048,0.0011668611435239206
44,7.32225,3.0,-0.16849999999999987,0.001750291715285881
45,7.32275,1.0,-0.16800000000000015,0.0005834305717619603
46,7.32325,2.0,-0.16750000000000043,0.0011668611435239206
47,7.32375,0.0,-0.16699999999999982,0.0
48,7.32425,2.0,-0.1665000000000001,0.0011668611435239206
49,7.32475,1.0,-0.16600000000000037,0.0005834305717619603
50,7.32525,0.0,-0.16550000000000065,0.0
51,7.32575,1.0,-0.16500000000000004,0.0005834305717619603
52,7.32625,0.0,-0.1645000000000003,0.0
53,7.32675,0.0,-0.1640000000000006,0.0
54,7.32725,2.0,-0.16349999999999998,0.0011668611435239206
55,7.32775,0.0,-0.16300000000000026,0.0
56,7.32825,1.0,-0.16250000000000053,0.0005834305717619603
57,7.32875,2.0,-0.16199999999999992,0.0011668611435239206
58,7.32925,0.0,-0.1615000000000002,0.0
59,7.32975,1.0,-0.16100000000000048,0.0005834305717619603
60,7.33025,0.0,-0.16049999999999986,0.0
61,7.33075,2.0,-0.16000000000000014,0.0011668611435239206
62,7.33125,0.0,-0.15950000000000042,0.0
