,Omega (degree),Intensity,NORM_omega,NORM
0,7.30025,1.0,-0.1719999999999997,0.0006176652254478073
1,7.30075,0.0,-0.17149999999999999,0.0
2,7.30125,1.0,-0.17100000000000026,0.0006176652254478073
3,7.30175,2.0,-0.17049999999999965,0.0012353304508956147
4,7.30225,3.0,-0.16999999999999993,0.0018529956763434219
5,7.30275,1.0,-0.1695000000000002,0.0006176652254478073
6,7.30325,0.0,-0.1689999999999996,0.0
7,7.30375,0.0,-0.16849999999999987,0.0
8,7.30425,2.0,-0.16800000000000015,0.0012353304508956147
9,7.30475,0.0,-0.16749999999999954,0.0
10,7.30525,0.0,-0.16699999999999982,0.0
11,7.30575,1.0,-0.1665000000000001,0.0006176652254478073
12,7.30625,0.0,-0.16599999999999948,0.0
13,7.30675,1.0,-0.16549999999999976,0.0006176652254478073
14,7.30725,0.0,-0.16500000000000004,0.0
15,7.30775,0.0,-0.16449999999999942,0.0
16,7.30825,0.0,-0.1639999999999997,0.0
17,7.30875,0.0,-0.16349999999999998,0.0
18,7.30925,2.0,-0.16300000000000026,0.0012353304508956147
19,7.30975,1.0,-0.16249999999999964,0.0006176652254478073
20,7.31025,2.0,-0.16199999999999992,0.0012353304508956147
21,7.31075,1.0,-0.1615000000000002,0.0006176652254478073
22,7.31125,0.0,-0.1609999999999996,0.0
23,7.31175,3.0,-0.16049999999999986,0.0018529956763434219
24,7.31225,1.0,-0.16000000000000014,0.0006176652254478073
25,7.31275,1.0,-0.15949999999999953,0.0006176652254478073
26,7.31325,0.0,-0.1589999999999998,0.0
27,7.31375,2.0,-0.15850000000000009,0.0012353304508956147
28,7.31425,0.0,-0.15799999999999947,0.0
29,7.31475,1.0,-0.15749999999999975,0.0006176652254478073
30,7.31525,1.0,-0.15700000000000003,0.0006176652254478073
31,7.31575,3.0,-0.15649999999999942,0.0018529956763434219
32,7.31625,1.0,-0.1559999999999997,0.0006176652254478073
33,7.31675,2.0,-0.15549999999999997,0.0012353304508956147
34,7.31725,0.0,-0.15500000000000025,0.0
35,7.31775,2.0,-0.15449999999999964,0.0012353304508956147
36,7.31825,1.0,-0.15399999999999991,0.0006176652254478073
37,7.31875,2.0,-0.1535000000000002,0.0012353304508956147
38,7.31925,1.0,-0.15299999999999958,0.0006176652254478073
39,7.31975,1.0,-0.15249999999999986,0.0006176652254478073
40,7.32025,0.0,-0.15200000000000014,0.0
41,7.32075,1.0,-0.15149999999999952,0.0006176652254478073
42,7.32125,1.0,-0.1509999999999998,0.0006176652254478073
43,7.32175,1.0,-0.15050000000000008,0.0006176652254478073
44,7.32225,1.0,-0.14999999999999947,0.0006176652254478073
45,7.32275,2.0,-0.14949999999999974,0.0012353304508956147
46,7.32325,0.0,-0.14900000000000002,0.0
47,7.32375,1.0,-0.1484999999999994,0.0006176652254478073
48,7.32425,0.0,-0.1479999999999997,0.0
49,7.32475,4.0,-0.14749999999999996,0.0024706609017912293
50,7.32525,3.0,-0.14700000000000024,0.0018529956763434219
51,7.32575,0.0,-0.14649999999999963,0.0
52,7.32625,2.0,-0.1459999999999999,0.0012353304508956147
53,7.32675,0.0,-0.14550000000000018,0.0
54,7.32725,0.0,-0.14499999999999957,0.0
55,7.32775,1.0,-0.14449999999999985,0.0006176652254478073
56,7.32825,3.0,-0.14400000000000013,0.0018529956763434219
57,7.32875,3.0,-0.14349999999999952,0.0018529956763434219
58,7.32925,1.0,-0.1429999999999998,0.0006176652254478073
59,7.32975,1.0,-0.14250000000000007,0.0006176652254478073
60,7.33025,0.0,-0.14199999999999946,0.0
61,7.33075,0.0,-0.14149999999999974,0.0
62,7.33125,1.0,-0.14100000000000001,0.0006176652254478073
63,7.33175,1.0,-0.1404999999999994,0.0006176652254478073
64,7.33225,1.0,-0.13999999999999968,0.0006176652254478073
65,7.33275,4.0,-0.13949999999999996,0.0024706609017912293
66,7.33325,1.0,-0.13900000000000023,0.0006176652254478073
67,7.33375,3.0,-0.13849999999999962,0.0018529956763434219
68,7.33425,4.0,-0.1379999999999999,0.0024706609017912293
69,7.33475,0.0,-0.13750000000000018,0.0
70,7.33525,0.0,-0.13699999999999957,0.0
71,7.33575,0.0,-0.13649999999999984,0.0
72,7.33625,2.0,-0.13600000000000012,0.0012353304508956147
73,7.33675,3.0,-0.1354999999999995,0.0018529956763434219
74,7.33725,2.0,-0.1349999999999998,0.0012353304508956147
75,7.33775,0.0,-0.13450000000000006,0.0
76,7.33825,0.0,-0.13399999999999945,0.0
77,7.33875,1.0,-0.13349999999999973,0.0006176652254478073
78,7.33925,4.0,-0.133,0.0024706609017912293
79,7.33975,2.0,-0.1324999999999994,0.0012353304508956147
80,7.34025,0.0,-0.13199999999999967,0.0
81,7.34075,3.0,-0.13149999999999995,0.0018529956763434219
82,7.34125,0.0,-0.13100000000000023,0.0
83,7.34175,0.0,-0.13049999999999962,0.0
84,7.34225,1.0,-0.1299999999999999,0.0006176652254478073
85,7.34275,2.0,-0.12950000000000017,0.0012353304508956147
86,7.34325,0.0,-0.12899999999999956,0.0
87,7.34375,0.0,-0.12849999999999984,0.0
88,7.34425,0.0,-0.1280000000000001,0.0
89,7.34475,0.0,-0.1274999999999995,0.0
90,7.34525,1.0,-0.12699999999999978,0.0006176652254478073
91,7.34575,4.0,-0.12650000000000006,0.0024706609017912293
92,7.34625,1.0,-0.12599999999999945,0.0006176652254478073
93,7.34675,1.0,-0.12549999999999972,0.0006176652254478073
94,7.34725,2.0,-0.125,0.0012353304508956147
95,7.34775,0.0,-0.12450000000000028,0.0
96,7.34825,2.0,-0.12399999999999967,0.0012353304508956147
97,7.34875,3.0,-0.12349999999999994,0.0018529956763434219
98,7.34925,2.0,-0.12300000000000022,0.0012353304508956147
99,7.34975,4.0,-0.12249999999999961,0.0024706609017912293
100,7.35025,3.0,-0.12199999999999989,0.0018529956763434219
101,7.35075,2.0,-0.12150000000000016,0.0012353304508956147
102,7.35125,2.0,-0.12099999999999955,0.0012353304508956147
103,7.35175,3.0,-0.12049999999999983,0.0018529956763434219
104,7.35225,3.0,-0.1200000000000001,0.0018529956763434219
105,7.35275,0.0,-0.1194999999999995,0.0
106,7.35325,1.0,-0.11899999999999977,0.0006176652254478073
107,7.35375,1.0,-0.11850000000000005,0.0006176652254478073
108,7.35425,0.0,-0.11799999999999944,0.0
109,7.35475,3.0,-0.11749999999999972,0.0018529956763434219
110,7.35525,0.0,-0.11699999999999999,0.0
111,7.35575,1.0,-0.11650000000000027,0.0006176652254478073
112,7.35625,5.0,-0.11599999999999966,0.0030883261272390363
113,7.35675,1.0,-0.11549999999999994,0.0006176652254478073
114,7.35725,3.0,-0.11500000000000021,0.0018529956763434219
115,7.35775,4.0,-0.1144999999999996,0.0024706609017912293
116,7.35825,7.0,-0.11399999999999988,0.004323656578134651
117,7.35875,4.0,-0.11350000000000016,0.0024706609017912293
118,7.35925,3.0,-0.11299999999999955,0.0018529956763434219
119,7.35975,2.0,-0.11249999999999982,0.0012353304508956147
120,7.36025,4.0,-0.1120000000000001,0.0024706609017912293
121,7.36075,3.0,-0.11149999999999949,0.0018529956763434219
122,7.36125,3.0,-0.11099999999999977,0.0018529956763434219
123,7.36175,7.0,-0.11050000000000004,0.004323656578134651
124,7.36225,2.0,-0.10999999999999943,0.0012353304508956147
125,7.36275,3.0,-0.10949999999999971,0.0018529956763434219
126,7.36325,2.0,-0.10899999999999999,0.0012353304508956147
127,7.36375,4.0,-0.10850000000000026,0.0024706609017912293
128,7.36425,7.0,-0.10799999999999965,0.004323656578134651
129,7.36475,3.0,-0.10749999999999993,0.0018529956763434219
130,7.36525,3.0,-0.1070000000000002,0.0018529956763434219
131,7.36575,3.0,-0.1064999999999996,0.0018529956763434219
132,7.36625,1.0,-0.10599999999999987,0.0006176652254478073
133,7.36675,3.0,-0.10550000000000015,0.0018529956763434219
134,7.36725,3.0,-0.10499999999999954,0.0018529956763434219
135,7.36775,3.0,-0.10449999999999982,0.0018529956763434219
136,7.36825,2.0,-0.10400000000000009,0.0012353304508956147
137,7.36875,3.0,-0.10349999999999948,0.0018529956763434219
138,7.36925,3.0,-0.10299999999999976,0.0018529956763434219
139,7.36975,3.0,-0.10250000000000004,0.0018529956763434219
140,7.37025,1.0,-0.10199999999999942,0.0006176652254478073
141,7.37075,4.0,-0.1014999999999997,0.0024706609017912293
