,Omega (degree),Intensity,NORM_omega,NORM
0,7.30025,1.0,-0.1695000000000002,0.0003721622627465575
1,7.30075,1.0,-0.16900000000000048,0.0003721622627465575
2,7.30125,2.0,-0.16850000000000076,0.000744324525493115
3,7.30175,4.0,-0.16800000000000015,0.00148864905098623
4,7.30225,0.0,-0.16750000000000043,0.0
5,7.30275,1.0,-0.1670000000000007,0.0003721622627465575
6,7.30325,2.0,-0.1665000000000001,0.000744324525493115
7,7.30375,2.0,-0.16600000000000037,0.000744324525493115
8,7.30425,3.0,-0.16550000000000065,0.0011164867882396724
9,7.30475,0.0,-0.16500000000000004,0.0
10,7.30525,3.0,-0.1645000000000003,0.0011164867882396724
11,7.30575,1.0,-0.1640000000000006,0.0003721622627465575
12,7.30625,2.0,-0.16349999999999998,0.000744324525493115
13,7.30675,2.0,-0.16300000000000026,0.000744324525493115
14,7.30725,2.0,-0.16250000000000053,0.000744324525493115
15,7.30775,3.0,-0.16199999999999992,0.0011164867882396724
16,7.30825,1.0,-0.1615000000000002,0.0003721622627465575
17,7.30875,3.0,-0.16100000000000048,0.0011164867882396724
18,7.30925,5.0,-0.16050000000000075,0.0018608113137327876
19,7.30975,0.0,-0.16000000000000014,0.0
20,7.31025,0.0,-0.15950000000000042,0.0
21,7.31075,1.0,-0.1590000000000007,0.0003721622627465575
22,7.31125,0.0,-0.15850000000000009,0.0
23,7.31175,2.0,-0.15800000000000036,0.000744324525493115
24,7.31225,5.0,-0.15750000000000064,0.0018608113137327876
25,7.31275,3.0,-0.15700000000000003,0.0011164867882396724
26,7.31325,5.0,-0.1565000000000003,0.0018608113137327876
27,7.31375,0.0,-0.15600000000000058,0.0
28,7.31425,1.0,-0.15549999999999997,0.0003721622627465575
29,7.31475,1.0,-0.15500000000000025,0.0003721622627465575
30,7.31525,4.0,-0.15450000000000053,0.00148864905098623
31,7.31575,4.0,-0.15399999999999991,0.00148864905098623
32,7.31625,2.0,-0.1535000000000002,0.000744324525493115
33,7.31675,6.0,-0.15300000000000047,0.002232973576479345
34,7.31725,0.0,-0.15250000000000075,0.0
35,7.31775,2.0,-0.15200000000000014,0.000744324525493115
36,7.31825,2.0,-0.1515000000000004,0.000744324525493115
37,7.31875,4.0,-0.1510000000000007,0.00148864905098623
38,7.31925,1.0,-0.15050000000000008,0.0003721622627465575
39,7.31975,0.0,-0.15000000000000036,0.0
40,7.32025,2.0,-0.14950000000000063,0.000744324525493115
41,7.32075,4.0,-0.14900000000000002,0.00148864905098623
42,7.32125,2.0,-0.1485000000000003,0.000744324525493115
43,7.32175,3.0,-0.14800000000000058,0.0011164867882396724
44,7.32225,2.0,-0.14749999999999996,0.000744324525493115
45,7.32275,0.0,-0.14700000000000024,0.0
46,7.32325,1.0,-0.14650000000000052,0.0003721622627465575
47,7.32375,3.0,-0.1459999999999999,0.0011164867882396724
48,7.32425,1.0,-0.14550000000000018,0.0003721622627465575
49,7.32475,2.0,-0.14500000000000046,0.000744324525493115
50,7.32525,3.0,-0.14450000000000074,0.0011164867882396724
51,7.32575,0.0,-0.14400000000000013,0.0
52,7.32625,1.0,-0.1435000000000004,0.0003721622627465575
53,7.32675,2.0,-0.14300000000000068,0.000744324525493115
54,7.32725,2.0,-0.14250000000000007,0.000744324525493115
55,7.32775,2.0,-0.14200000000000035,0.000744324525493115
56,7.32825,0.0,-0.14150000000000063,0.0
57,7.32875,2.0,-0.14100000000000001,0.000744324525493115
58,7.32925,2.0,-0.1405000000000003,0.000744324525493115
59,7.32975,1.0,-0.14000000000000057,0.0003721622627465575
60,7.33025,0.0,-0.13949999999999996,0.0
61,7.33075,1.0,-0.13900000000000023,0.0003721622627465575
62,7.33125,2.0,-0.1385000000000005,0.000744324525493115
63,7.33175,0.0,-0.1379999999999999,0.0
64,7.33225,2.0,-0.13750000000000018,0.000744324525493115
65,7.33275,1.0,-0.13700000000000045,0.0003721622627465575
66,7.33325,4.0,-0.13650000000000073,0.00148864905098623
67,7.33375,3.0,-0.13600000000000012,0.0011164867882396724
68,7.33425,0.0,-0.1355000000000004,0.0
69,7.33475,4.0,-0.13500000000000068,0.00148864905098623
70,7.33525,3.0,-0.13450000000000006,0.0011164867882396724
71,7.33575,0.0,-0.13400000000000034,0.0
72,7.33625,4.0,-0.13350000000000062,0.00148864905098623
73,7.33675,0.0,-0.133,0.0
74,7.33725,1.0,-0.13250000000000028,0.0003721622627465575
75,7.33775,2.0,-0.13200000000000056,0.000744324525493115
76,7.33825,1.0,-0.13149999999999995,0.0003721622627465575
77,7.33875,5.0,-0.13100000000000023,0.0018608113137327876
78,7.33925,2.0,-0.1305000000000005,0.000744324525493115
79,7.33975,2.0,-0.1299999999999999,0.000744324525493115
80,7.34025,3.0,-0.12950000000000017,0.0011164867882396724
81,7.34075,1.0,-0.12900000000000045,0.0003721622627465575
82,7.34125,4.0,-0.12850000000000072,0.00148864905098623
83,7.34175,2.0,-0.1280000000000001,0.000744324525493115
84,7.34225,3.0,-0.1275000000000004,0.0011164867882396724
85,7.34275,3.0,-0.12700000000000067,0.0011164867882396724
86,7.34325,2.0,-0.12650000000000006,0.000744324525493115
87,7.34375,2.0,-0.12600000000000033,0.000744324525493115
88,7.34425,2.0,-0.1255000000000006,0.000744324525493115
89,7.34475,3.0,-0.125,0.0011164867882396724
90,7.34525,3.0,-0.12450000000000028,0.0011164867882396724
91,7.34575,2.0,-0.12400000000000055,0.000744324525493115
92,7.34625,2.0,-0.12349999999999994,0.000744324525493115
93,7.34675,2.0,-0.12300000000000022,0.000744324525493115
94,7.34725,4.0,-0.1225000000000005,0.00148864905098623
95,7.34775,0.0,-0.12200000000000077,0.0
96,7.34825,4.0,-0.12150000000000016,0.00148864905098623
97,7.34875,1.0,-0.12100000000000044,0.0003721622627465575
98,7.34925,4.0,-0.12050000000000072,0.00148864905098623
99,7.34975,2.0,-0.1200000000000001,0.000744324525493115
100,7.35025,5.0,-0.11950000000000038,0.0018608113137327876
101,7.35075,3.0,-0.11900000000000066,0.0011164867882396724
102,7.35125,2.0,-0.11850000000000005,0.000744324525493115
103,7.35175,4.0,-0.11800000000000033,0.00148864905098623
104,7.35225,4.0,-0.1175000000000006,0.00148864905098623
105,7.35275,5.0,-0.11699999999999999,0.0018608113137327876
106,7.35325,1.0,-0.11650000000000027,0.0003721622627465575
107,7.35375,2.0,-0.11600000000000055,0.000744324525493115
108,7.35425,1.0,-0.11549999999999994,0.0003721622627465575
109,7.35475,7.0,-0.11500000000000021,0.0026051358392259025
110,7.35525,3.0,-0.11450000000000049,0.0011164867882396724
111,7.35575,2.0,-0.11400000000000077,0.000744324525493115
112,7.35625,3.0,-0.11350000000000016,0.0011164867882396724
113,7.35675,7.0,-0.11300000000000043,0.0026051358392259025
114,7.35725,3.0,-0.11250000000000071,0.0011164867882396724
115,7.35775,4.0,-0.1120000000000001,0.00148864905098623
116,7.35825,3.0,-0.11150000000000038,0.0011164867882396724
117,7.35875,3.0,-0.11100000000000065,0.0011164867882396724
118,7.35925,1.0,-0.11050000000000004,0.0003721622627465575
119,7.35975,3.0,-0.11000000000000032,0.0011164867882396724
120,7.36025,4.0,-0.1095000000000006,0.00148864905098623
