,Omega (degree),Intensity,NORM_omega,NORM
0,7.30025,1.0,-0.1665000000000001,0.0004415011037527594
1,7.30075,0.0,-0.16600000000000037,0.0
2,7.30125,0.0,-0.16550000000000065,0.0
3,7.30175,1.0,-0.16500000000000004,0.0004415011037527594
4,7.30225,1.0,-0.1645000000000003,0.0004415011037527594
5,7.30275,1.0,-0.1640000000000006,0.0004415011037527594
6,7.30325,0.0,-0.16349999999999998,0.0
7,7.30375,0.0,-0.16300000000000026,0.0
8,7.30425,1.0,-0.16250000000000053,0.0004415011037527594
9,7.30475,0.0,-0.16199999999999992,0.0
10,7.30525,0.0,-0.1615000000000002,0.0
11,7.30575,1.0,-0.16100000000000048,0.0004415011037527594
12,7.30625,0.0,-0.16049999999999986,0.0
13,7.30675,0.0,-0.16000000000000014,0.0
14,7.30725,0.0,-0.15950000000000042,0.0
15,7.30775,0.0,-0.1589999999999998,0.0
16,7.30825,0.0,-0.15850000000000009,0.0
17,7.30875,0.0,-0.15800000000000036,0.0
18,7.30925,0.0,-0.15750000000000064,0.0
19,7.30975,1.0,-0.15700000000000003,0.0004415011037527594
20,7.31025,0.0,-0.1565000000000003,0.0
21,7.31075,0.0,-0.15600000000000058,0.0
22,7.31125,0.0,-0.15549999999999997,0.0
23,7.31175,0.0,-0.15500000000000025,0.0
24,7.31225,1.0,-0.15450000000000053,0.0004415011037527594
25,7.31275,1.0,-0.15399999999999991,0.0004415011037527594
26,7.31325,0.0,-0.1535000000000002,0.0
27,7.31375,0.0,-0.15300000000000047,0.0
28,7.31425,2.0,-0.15249999999999986,0.0008830022075055188
29,7.31475,0.0,-0.15200000000000014,0.0
30,7.31525,1.0,-0.1515000000000004,0.0004415011037527594
31,7.31575,0.0,-0.1509999999999998,0.0
32,7.31625,0.0,-0.15050000000000008,0.0
33,7.31675,0.0,-0.15000000000000036,0.0
34,7.31725,0.0,-0.14950000000000063,0.0
35,7.31775,1.0,-0.14900000000000002,0.0004415011037527594
36,7.31825,0.0,-0.1485000000000003,0.0
37,7.31875,1.0,-0.14800000000000058,0.0004415011037527594
38,7.31925,1.0,-0.14749999999999996,0.0004415011037527594
39,7.31975,1.0,-0.14700000000000024,0.0004415011037527594
40,7.32025,0.0,-0.14650000000000052,0.0
41,7.32075,2.0,-0.1459999999999999,0.0008830022075055188
42,7.32125,0.0,-0.14550000000000018,0.0
43,7.32175,2.0,-0.14500000000000046,0.0008830022075055188
44,7.32225,1.0,-0.14449999999999985,0.0004415011037527594
45,7.32275,1.0,-0.14400000000000013,0.0004415011037527594
46,7.32325,1.0,-0.1435000000000004,0.0004415011037527594
47,7.32375,0.0,-0.1429999999999998,0.0
48,7.32425,1.0,-0.14250000000000007,0.0004415011037527594
49,7.32475,1.0,-0.14200000000000035,0.0004415011037527594
50,7.32525,1.0,-0.14150000000000063,0.0004415011037527594
51,7.32575,0.0,-0.14100000000000001,0.0
52,7.32625,1.0,-0.1405000000000003,0.0004415011037527594
53,7.32675,1.0,-0.14000000000000057,0.0004415011037527594
54,7.32725,0.0,-0.13949999999999996,0.0
55,7.32775,0.0,-0.13900000000000023,0.0
56,7.32825,0.0,-0.1385000000000005,0.0
57,7.32875,1.0,-0.1379999999999999,0.0004415011037527594
58,7.32925,1.0,-0.13750000000000018,0.0004415011037527594
59,7.32975,1.0,-0.13700000000000045,0.0004415011037527594
60,7.33025,0.0,-0.13649999999999984,0.0
61,7.33075,2.0,-0.13600000000000012,0.0008830022075055188
62,7.33125,2.0,-0.1355000000000004,0.0008830022075055188
63,7.33175,2.0,-0.1349999999999998,0.0008830022075055188
64,7.33225,0.0,-0.13450000000000006,0.0
65,7.33275,1.0,-0.13400000000000034,0.0004415011037527594
66,7.33325,0.0,-0.13350000000000062,0.0
67,7.33375,1.0,-0.133,0.0004415011037527594
68,7.33425,0.0,-0.13250000000000028,0.0
69,7.33475,2.0,-0.13200000000000056,0.0008830022075055188
70,7.33525,0.0,-0.13149999999999995,0.0
71,7.33575,3.0,-0.13100000000000023,0.0013245033112582781
72,7.33625,2.0,-0.1305000000000005,0.0008830022075055188
73,7.33675,3.0,-0.1299999999999999,0.0013245033112582781
74,7.33725,0.0,-0.12950000000000017,0.0
75,7.33775,17.0,-0.12900000000000045,0.0075055187637969095
76,7.33825,0.0,-0.12849999999999984,0.0
77,7.33875,0.0,-0.1280000000000001,0.0
78,7.33925,1.0,-0.1275000000000004,0.0004415011037527594
79,7.33975,0.0,-0.12699999999999978,0.0
80,7.34025,1.0,-0.12650000000000006,0.0004415011037527594
81,7.34075,1.0,-0.12600000000000033,0.0004415011037527594
82,7.34125,0.0,-0.1255000000000006,0.0
83,7.34175,0.0,-0.125,0.0
84,7.34225,1.0,-0.12450000000000028,0.0004415011037527594
85,7.34275,1.0,-0.12400000000000055,0.0004415011037527594
86,7.34325,0.0,-0.12349999999999994,0.0
87,7.34375,1.0,-0.12300000000000022,0.0004415011037527594
88,7.34425,0.0,-0.1225000000000005,0.0
89,7.34475,3.0,-0.12199999999999989,0.0013245033112582781
90,7.34525,0.0,-0.12150000000000016,0.0
91,7.34575,0.0,-0.12100000000000044,0.0
92,7.34625,2.0,-0.12049999999999983,0.0008830022075055188
93,7.34675,1.0,-0.1200000000000001,0.0004415011037527594
94,7.34725,0.0,-0.11950000000000038,0.0
95,7.34775,0.0,-0.11900000000000066,0.0
96,7.34825,1.0,-0.11850000000000005,0.0004415011037527594
97,7.34875,0.0,-0.11800000000000033,0.0
98,7.34925,2.0,-0.1175000000000006,0.0008830022075055188
99,7.34975,1.0,-0.11699999999999999,0.0004415011037527594
100,7.35025,0.0,-0.11650000000000027,0.0
101,7.35075,0.0,-0.11600000000000055,0.0
102,7.35125,6.0,-0.11549999999999994,0.0026490066225165563
103,7.35175,1.0,-0.11500000000000021,0.0004415011037527594
104,7.35225,1.0,-0.11450000000000049,0.0004415011037527594
105,7.35275,0.0,-0.11399999999999988,0.0
106,7.35325,0.0,-0.11350000000000016,0.0
107,7.35375,1.0,-0.11300000000000043,0.0004415011037527594
108,7.35425,2.0,-0.11249999999999982,0.0008830022075055188
109,7.35475,2.0,-0.1120000000000001,0.0008830022075055188
110,7.35525,0.0,-0.11150000000000038,0.0
111,7.35575,1.0,-0.11100000000000065,0.0004415011037527594
112,7.35625,0.0,-0.11050000000000004,0.0
113,7.35675,0.0,-0.11000000000000032,0.0
114,7.35725,0.0,-0.1095000000000006,0.0
115,7.35775,1.0,-0.10899999999999999,0.0004415011037527594
116,7.35825,2.0,-0.10850000000000026,0.0008830022075055188
117,7.35875,0.0,-0.10800000000000054,0.0
118,7.35925,1.0,-0.10749999999999993,0.0004415011037527594
119,7.35975,2.0,-0.1070000000000002,0.0008830022075055188
120,7.36025,1.0,-0.10650000000000048,0.0004415011037527594
121,7.36075,2.0,-0.10599999999999987,0.0008830022075055188
122,7.36125,0.0,-0.10550000000000015,0.0
123,7.36175,3.0,-0.10500000000000043,0.0013245033112582781
124,7.36225,0.0,-0.10449999999999982,0.0
125,7.36275,3.0,-0.10400000000000009,0.0013245033112582781
126,7.36325,0.0,-0.10350000000000037,0.0
127,7.36375,2.0,-0.10300000000000065,0.0008830022075055188
128,7.36425,2.0,-0.10250000000000004,0.0008830022075055188
129,7.36475,1.0,-0.10200000000000031,0.0004415011037527594
130,7.36525,0.0,-0.10150000000000059,0.0
131,7.36575,1.0,-0.10099999999999998,0.0004415011037527594
132,7.36625,2.0,-0.10050000000000026,0.0008830022075055188
133,7.36675,2.0,-0.10000000000000053,0.0008830022075055188
134,7.36725,0.0,-0.09949999999999992,0.0
135,7.36775,2.0,-0.0990000000000002,0.0008830022075055188
136,7.36825,1.0,-0.09850000000000048,0.0004415011037527594
137,7.36875,4.0,-0.09799999999999986,0.0017660044150110375
138,7.36925,3.0,-0.09750000000000014,0.0013245033112582781
