,Omega (degree),Intensity,NORM_omega,NORM
0,7.30025,1.0,-0.1689999999999996,0.00038109756097560977
1,7.30075,7.0,-0.16849999999999987,0.0026676829268292685
2,7.30125,5.0,-0.16800000000000015,0.0019054878048780487
3,7.30175,4.0,-0.16749999999999954,0.001524390243902439
4,7.30225,4.0,-0.16699999999999982,0.001524390243902439
5,7.30275,7.0,-0.1665000000000001,0.0026676829268292685
6,7.30325,5.0,-0.16599999999999948,0.0019054878048780487
7,7.30375,1.0,-0.16549999999999976,0.00038109756097560977
8,7.30425,11.0,-0.16500000000000004,0.004192073170731708
9,7.30475,4.0,-0.16449999999999942,0.001524390243902439
10,7.30525,3.0,-0.1639999999999997,0.0011432926829268292
11,7.30575,6.0,-0.16349999999999998,0.0022865853658536584
12,7.30625,6.0,-0.16299999999999937,0.0022865853658536584
13,7.30675,9.0,-0.16249999999999964,0.003429878048780488
14,7.30725,6.0,-0.16199999999999992,0.0022865853658536584
15,7.30775,5.0,-0.1614999999999993,0.0019054878048780487
16,7.30825,2.0,-0.1609999999999996,0.0007621951219512195
17,7.30875,3.0,-0.16049999999999986,0.0011432926829268292
18,7.30925,5.0,-0.16000000000000014,0.0019054878048780487
19,7.30975,6.0,-0.15949999999999953,0.0022865853658536584
20,7.31025,5.0,-0.1589999999999998,0.0019054878048780487
21,7.31075,3.0,-0.15850000000000009,0.0011432926829268292
22,7.31125,3.0,-0.15799999999999947,0.0011432926829268292
23,7.31175,9.0,-0.15749999999999975,0.003429878048780488
24,7.31225,2.0,-0.15700000000000003,0.0007621951219512195
25,7.31275,2.0,-0.15649999999999942,0.0007621951219512195
26,7.31325,3.0,-0.1559999999999997,0.0011432926829268292
27,7.31375,6.0,-0.15549999999999997,0.0022865853658536584
28,7.31425,8.0,-0.15499999999999936,0.003048780487804878
29,7.31475,4.0,-0.15449999999999964,0.001524390243902439
30,7.31525,4.0,-0.15399999999999991,0.001524390243902439
31,7.31575,2.0,-0.1534999999999993,0.0007621951219512195
32,7.31625,5.0,-0.15299999999999958,0.0019054878048780487
33,7.31675,2.0,-0.15249999999999986,0.0007621951219512195
34,7.31725,6.0,-0.15200000000000014,0.0022865853658536584
35,7.31775,7.0,-0.15149999999999952,0.0026676829268292685
36,7.31825,3.0,-0.1509999999999998,0.0011432926829268292
37,7.31875,4.0,-0.15050000000000008,0.001524390243902439
38,7.31925,3.0,-0.14999999999999947,0.0011432926829268292
39,7.31975,11.0,-0.14949999999999974,0.004192073170731708
40,7.32025,6.0,-0.14900000000000002,0.0022865853658536584
41,7.32075,7.0,-0.1484999999999994,0.0026676829268292685
42,7.32125,7.0,-0.1479999999999997,0.0026676829268292685
43,7.32175,6.0,-0.14749999999999996,0.0022865853658536584
44,7.32225,4.0,-0.14699999999999935,0.001524390243902439
45,7.32275,4.0,-0.14649999999999963,0.001524390243902439
46,7.32325,2.0,-0.1459999999999999,0.0007621951219512195
47,7.32375,6.0,-0.1454999999999993,0.0022865853658536584
48,7.32425,6.0,-0.14499999999999957,0.0022865853658536584
49,7.32475,4.0,-0.14449999999999985,0.001524390243902439
50,7.32525,5.0,-0.14400000000000013,0.0019054878048780487
51,7.32575,7.0,-0.14349999999999952,0.0026676829268292685
52,7.32625,7.0,-0.1429999999999998,0.0026676829268292685
53,7.32675,8.0,-0.14250000000000007,0.003048780487804878
54,7.32725,8.0,-0.14199999999999946,0.003048780487804878
55,7.32775,9.0,-0.14149999999999974,0.003429878048780488
56,7.32825,10.0,-0.14100000000000001,0.0038109756097560975
57,7.32875,3.0,-0.1404999999999994,0.0011432926829268292
58,7.32925,4.0,-0.13999999999999968,0.001524390243902439
59,7.32975,5.0,-0.13949999999999996,0.0019054878048780487
60,7.33025,8.0,-0.13899999999999935,0.003048780487804878
61,7.33075,5.0,-0.13849999999999962,0.0019054878048780487
62,7.33125,9.0,-0.1379999999999999,0.003429878048780488
63,7.33175,2.0,-0.1374999999999993,0.0007621951219512195
64,7.33225,7.0,-0.13699999999999957,0.0026676829268292685
65,7.33275,9.0,-0.13649999999999984,0.003429878048780488
66,7.33325,4.0,-0.13600000000000012,0.001524390243902439
67,7.33375,4.0,-0.1354999999999995,0.001524390243902439
68,7.33425,5.0,-0.1349999999999998,0.0019054878048780487
69,7.33475,5.0,-0.13450000000000006,0.0019054878048780487
70,7.33525,8.0,-0.13399999999999945,0.003048780487804878
71,7.33575,9.0,-0.13349999999999973,0.003429878048780488
72,7.33625,5.0,-0.133,0.0019054878048780487
73,7.33675,12.0,-0.1324999999999994,0.004573170731707317
74,7.33725,9.0,-0.13199999999999967,0.003429878048780488
75,7.33775,12.0,-0.13149999999999995,0.004573170731707317
76,7.33825,9.0,-0.13099999999999934,0.003429878048780488
77,7.33875,11.0,-0.13049999999999962,0.004192073170731708
78,7.33925,4.0,-0.1299999999999999,0.001524390243902439
79,7.33975,10.0,-0.12949999999999928,0.0038109756097560975
80,7.34025,8.0,-0.12899999999999956,0.003048780487804878
81,7.34075,7.0,-0.12849999999999984,0.0026676829268292685
82,7.34125,10.0,-0.1280000000000001,0.0038109756097560975
83,7.34175,6.0,-0.1274999999999995,0.0022865853658536584
84,7.34225,7.0,-0.12699999999999978,0.0026676829268292685
85,7.34275,8.0,-0.12650000000000006,0.003048780487804878
86,7.34325,8.0,-0.12599999999999945,0.003048780487804878
87,7.34375,8.0,-0.12549999999999972,0.003048780487804878
88,7.34425,10.0,-0.125,0.0038109756097560975
89,7.34475,10.0,-0.12449999999999939,0.0038109756097560975
90,7.34525,11.0,-0.12399999999999967,0.004192073170731708
91,7.34575,6.0,-0.12349999999999994,0.0022865853658536584
92,7.34625,13.0,-0.12299999999999933,0.004954268292682927
93,7.34675,8.0,-0.12249999999999961,0.003048780487804878
94,7.34725,15.0,-0.12199999999999989,0.005716463414634146
95,7.34775,4.0,-0.12150000000000016,0.001524390243902439
96,7.34825,11.0,-0.12099999999999955,0.004192073170731708
97,7.34875,7.0,-0.12049999999999983,0.0026676829268292685
98,7.34925,6.0,-0.1200000000000001,0.0022865853658536584
99,7.34975,8.0,-0.1194999999999995,0.003048780487804878
100,7.35025,13.0,-0.11899999999999977,0.004954268292682927
101,7.35075,11.0,-0.11850000000000005,0.004192073170731708
102,7.35125,10.0,-0.11799999999999944,0.0038109756097560975
103,7.35175,10.0,-0.11749999999999972,0.0038109756097560975
104,7.35225,17.0,-0.11699999999999999,0.0064786585365853655
105,7.35275,13.0,-0.11649999999999938,0.004954268292682927
