,Omega (degree),Intensity,NORM_omega,NORM
0,7.30065,1.0,-0.17149999999999999,0.00020990764063811922
1,7.30115,0.0,-0.17100000000000026,0.0
2,7.30165,0.0,-0.17049999999999965,0.0
3,7.30215,0.0,-0.16999999999999993,0.0
4,7.30265,0.0,-0.1695000000000002,0.0
5,7.30315,0.0,-0.16900000000000048,0.0
6,7.30365,0.0,-0.16849999999999987,0.0
7,7.30415,1.0,-0.16800000000000015,0.00020990764063811922
8,7.30465,1.0,-0.16750000000000043,0.00020990764063811922
9,7.30515,0.0,-0.16699999999999982,0.0
10,7.30565,0.0,-0.1665000000000001,0.0
11,7.30615,1.0,-0.16600000000000037,0.00020990764063811922
12,7.30665,0.0,-0.16549999999999976,0.0
13,7.30715,0.0,-0.16500000000000004,0.0
14,7.30765,0.0,-0.1645000000000003,0.0
15,7.30815,0.0,-0.1639999999999997,0.0
16,7.30865,0.0,-0.16349999999999998,0.0
17,7.30915,0.0,-0.16300000000000026,0.0
18,7.30965,1.0,-0.16249999999999964,0.00020990764063811922
19,7.31015,1.0,-0.16199999999999992,0.00020990764063811922
20,7.31065,2.0,-0.1615000000000002,0.00041981528127623844
21,7.31115,1.0,-0.16100000000000048,0.00020990764063811922
22,7.31165,0.0,-0.16049999999999986,0.0
23,7.31215,1.0,-0.16000000000000014,0.00020990764063811922
24,7.31265,0.0,-0.15950000000000042,0.0
25,7.31315,0.0,-0.1589999999999998,0.0
26,7.31365,0.0,-0.15850000000000009,0.0
27,7.31415,2.0,-0.15800000000000036,0.00041981528127623844
28,7.31465,1.0,-0.15749999999999975,0.00020990764063811922
29,7.31515,0.0,-0.15700000000000003,0.0
30,7.31565,0.0,-0.1565000000000003,0.0
31,7.31615,0.0,-0.1559999999999997,0.0
32,7.31665,0.0,-0.15549999999999997,0.0
33,7.31715,1.0,-0.15500000000000025,0.00020990764063811922
34,7.31765,0.0,-0.15449999999999964,0.0
35,7.31815,1.0,-0.15399999999999991,0.00020990764063811922
36,7.31865,0.0,-0.1535000000000002,0.0
37,7.31915,0.0,-0.15300000000000047,0.0
38,7.31965,1.0,-0.15249999999999986,0.00020990764063811922
39,7.32015,0.0,-0.15200000000000014,0.0
40,7.32065,1.0,-0.1515000000000004,0.00020990764063811922
41,7.32115,0.0,-0.1509999999999998,0.0
42,7.32165,0.0,-0.15050000000000008,0.0
43,7.32215,0.0,-0.15000000000000036,0.0
44,7.32265,0.0,-0.14949999999999974,0.0
45,7.32315,0.0,-0.14900000000000002,0.0
46,7.32365,0.0,-0.1485000000000003,0.0
47,7.32415,0.0,-0.1479999999999997,0.0
48,7.32465,2.0,-0.14749999999999996,0.00041981528127623844
49,7.32515,0.0,-0.14700000000000024,0.0
50,7.32565,0.0,-0.14649999999999963,0.0
51,7.32615,0.0,-0.1459999999999999,0.0
52,7.32665,0.0,-0.14550000000000018,0.0
53,7.32715,0.0,-0.14500000000000046,0.0
54,7.32765,2.0,-0.14449999999999985,0.00041981528127623844
55,7.32815,0.0,-0.14400000000000013,0.0
56,7.32865,0.0,-0.1435000000000004,0.0
57,7.32915,0.0,-0.1429999999999998,0.0
58,7.32965,1.0,-0.14250000000000007,0.00020990764063811922
59,7.33015,0.0,-0.14200000000000035,0.0
60,7.33065,1.0,-0.14149999999999974,0.00020990764063811922
61,7.33115,1.0,-0.14100000000000001,0.00020990764063811922
