,Omega (degree),Intensity,NORM_omega,NORM
0,7.29795,0.0,-0.17100000000000026,0.0
1,7.29845,0.0,-0.17050000000000054,0.0
2,7.29895,2.0,-0.17000000000000082,0.00043563493792202136
3,7.29945,0.0,-0.1695000000000002,0.0
4,7.29995,2.0,-0.16900000000000048,0.00043563493792202136
5,7.30045,0.0,-0.16850000000000076,0.0
6,7.30095,0.0,-0.16800000000000015,0.0
7,7.30145,0.0,-0.16750000000000043,0.0
8,7.30195,0.0,-0.1670000000000007,0.0
9,7.30245,1.0,-0.1665000000000001,0.00021781746896101068
10,7.30295,1.0,-0.16600000000000037,0.00021781746896101068
11,7.30345,0.0,-0.16550000000000065,0.0
12,7.30395,0.0,-0.16500000000000004,0.0
13,7.30445,0.0,-0.1645000000000003,0.0
14,7.30495,0.0,-0.1640000000000006,0.0
15,7.30545,2.0,-0.16349999999999998,0.00043563493792202136
16,7.30595,0.0,-0.16300000000000026,0.0
17,7.30645,0.0,-0.16250000000000053,0.0
18,7.30695,0.0,-0.1620000000000008,0.0
19,7.30745,1.0,-0.1615000000000002,0.00021781746896101068
20,7.30795,0.0,-0.16100000000000048,0.0
21,7.30845,0.0,-0.16050000000000075,0.0
22,7.30895,0.0,-0.16000000000000014,0.0
23,7.30945,0.0,-0.15950000000000042,0.0
24,7.30995,0.0,-0.1590000000000007,0.0
25,7.31045,0.0,-0.15850000000000009,0.0
26,7.31095,0.0,-0.15800000000000036,0.0
27,7.31145,0.0,-0.15750000000000064,0.0
28,7.31195,0.0,-0.15700000000000003,0.0
29,7.31245,0.0,-0.1565000000000003,0.0
30,7.31295,0.0,-0.15600000000000058,0.0
31,7.31345,0.0,-0.15550000000000086,0.0
32,7.31395,1.0,-0.15500000000000025,0.00021781746896101068
33,7.31445,0.0,-0.15450000000000053,0.0
34,7.31495,0.0,-0.1540000000000008,0.0
35,7.31545,0.0,-0.1535000000000002,0.0
36,7.31595,0.0,-0.15300000000000047,0.0
37,7.31645,1.0,-0.15250000000000075,0.00021781746896101068
38,7.31695,0.0,-0.15200000000000014,0.0
39,7.31745,0.0,-0.1515000000000004,0.0
40,7.31795,0.0,-0.1510000000000007,0.0
41,7.31845,0.0,-0.15050000000000008,0.0
42,7.31895,0.0,-0.15000000000000036,0.0
43,7.31945,0.0,-0.14950000000000063,0.0
44,7.31995,0.0,-0.14900000000000002,0.0
45,7.32045,1.0,-0.1485000000000003,0.00021781746896101068
46,7.32095,0.0,-0.14800000000000058,0.0
47,7.32145,1.0,-0.14750000000000085,0.00021781746896101068
48,7.32195,1.0,-0.14700000000000024,0.00021781746896101068
49,7.32245,1.0,-0.14650000000000052,0.00021781746896101068
50,7.32295,0.0,-0.1460000000000008,0.0
51,7.32345,1.0,-0.14550000000000018,0.00021781746896101068
52,7.32395,0.0,-0.14500000000000046,0.0
53,7.32445,0.0,-0.14450000000000074,0.0
54,7.32495,1.0,-0.14400000000000013,0.00021781746896101068
55,7.32545,0.0,-0.1435000000000004,0.0
56,7.32595,0.0,-0.14300000000000068,0.0
57,7.32645,2.0,-0.14250000000000007,0.00043563493792202136
58,7.32695,0.0,-0.14200000000000035,0.0
59,7.32745,1.0,-0.14150000000000063,0.00021781746896101068
60,7.32795,0.0,-0.14100000000000001,0.0
61,7.32845,1.0,-0.1405000000000003,0.00021781746896101068
62,7.32895,1.0,-0.14000000000000057,0.00021781746896101068
63,7.32945,0.0,-0.13950000000000085,0.0
64,7.32995,0.0,-0.13900000000000023,0.0
65,7.33045,0.0,-0.1385000000000005,0.0
66,7.33095,0.0,-0.1380000000000008,0.0
67,7.33145,0.0,-0.13750000000000018,0.0
68,7.33195,1.0,-0.13700000000000045,0.00021781746896101068
69,7.33245,1.0,-0.13650000000000073,0.00021781746896101068
70,7.33295,1.0,-0.13600000000000012,0.00021781746896101068
71,7.33345,0.0,-0.1355000000000004,0.0
72,7.33395,0.0,-0.13500000000000068,0.0
73,7.33445,1.0,-0.13450000000000006,0.00021781746896101068
74,7.33495,0.0,-0.13400000000000034,0.0
75,7.33545,0.0,-0.13350000000000062,0.0
76,7.33595,1.0,-0.133,0.00021781746896101068
77,7.33645,0.0,-0.13250000000000028,0.0
78,7.33695,0.0,-0.13200000000000056,0.0
79,7.33745,3.0,-0.13150000000000084,0.000653452406883032
80,7.33795,0.0,-0.13100000000000023,0.0
81,7.33845,0.0,-0.1305000000000005,0.0
82,7.33895,0.0,-0.13000000000000078,0.0
83,7.33945,1.0,-0.12950000000000017,0.00021781746896101068
84,7.33995,1.0,-0.12900000000000045,0.00021781746896101068
85,7.34045,0.0,-0.12850000000000072,0.0
86,7.34095,0.0,-0.1280000000000001,0.0
87,7.34145,0.0,-0.1275000000000004,0.0
88,7.34195,1.0,-0.12700000000000067,0.00021781746896101068
