,Omega (degree),Intensity,NORM_omega,NORM
0,7.30085,11.0,-0.1720000000000006,0.017915309446254073
1,7.30135,8.0,-0.17149999999999999,0.013029315960912053
2,7.30185,5.0,-0.17100000000000026,0.008143322475570033
3,7.30235,9.0,-0.17050000000000054,0.014657980456026058
4,7.30285,11.0,-0.16999999999999993,0.017915309446254073
5,7.30335,9.0,-0.1695000000000002,0.014657980456026058
6,7.30385,8.0,-0.16900000000000048,0.013029315960912053
7,7.30435,3.0,-0.16849999999999987,0.004885993485342019
8,7.30485,7.0,-0.16800000000000015,0.011400651465798045
9,7.30535,10.0,-0.16750000000000043,0.016286644951140065
10,7.30585,10.0,-0.16699999999999982,0.016286644951140065
11,7.30635,9.0,-0.1665000000000001,0.014657980456026058
12,7.30685,13.0,-0.16600000000000037,0.021172638436482084
13,7.30735,11.0,-0.16550000000000065,0.017915309446254073
14,7.30785,7.0,-0.16500000000000004,0.011400651465798045
15,7.30835,9.0,-0.1645000000000003,0.014657980456026058
16,7.30885,12.0,-0.1640000000000006,0.019543973941368076
17,7.30935,9.0,-0.16349999999999998,0.014657980456026058
18,7.30985,9.0,-0.16300000000000026,0.014657980456026058
19,7.31035,5.0,-0.16250000000000053,0.008143322475570033
20,7.31085,9.0,-0.16199999999999992,0.014657980456026058
21,7.31135,10.0,-0.1615000000000002,0.016286644951140065
22,7.31185,8.0,-0.16100000000000048,0.013029315960912053
23,7.31235,8.0,-0.16049999999999986,0.013029315960912053
24,7.31285,10.0,-0.16000000000000014,0.016286644951140065
25,7.31335,9.0,-0.15950000000000042,0.014657980456026058
26,7.31385,10.0,-0.1589999999999998,0.016286644951140065
27,7.31435,5.0,-0.15850000000000009,0.008143322475570033
28,7.31485,9.0,-0.15800000000000036,0.014657980456026058
29,7.31535,12.0,-0.15750000000000064,0.019543973941368076
30,7.31585,9.0,-0.15700000000000003,0.014657980456026058
31,7.31635,13.0,-0.1565000000000003,0.021172638436482084
32,7.31685,9.0,-0.15600000000000058,0.014657980456026058
33,7.31735,11.0,-0.15549999999999997,0.017915309446254073
34,7.31785,9.0,-0.15500000000000025,0.014657980456026058
35,7.31835,16.0,-0.15450000000000053,0.026058631921824105
36,7.31885,7.0,-0.15399999999999991,0.011400651465798045
37,7.31935,12.0,-0.1535000000000002,0.019543973941368076
38,7.31985,12.0,-0.15300000000000047,0.019543973941368076
39,7.32035,8.0,-0.15249999999999986,0.013029315960912053
40,7.32085,14.0,-0.15200000000000014,0.02280130293159609
41,7.32135,6.0,-0.1515000000000004,0.009771986970684038
42,7.32185,13.0,-0.1509999999999998,0.021172638436482084
43,7.32235,11.0,-0.15050000000000008,0.017915309446254073
44,7.32285,12.0,-0.15000000000000036,0.019543973941368076
45,7.32335,8.0,-0.14950000000000063,0.013029315960912053
46,7.32385,12.0,-0.14900000000000002,0.019543973941368076
47,7.32435,9.0,-0.1485000000000003,0.014657980456026058
48,7.32485,11.0,-0.14800000000000058,0.017915309446254073
49,7.32535,7.0,-0.14749999999999996,0.011400651465798045
50,7.32585,11.0,-0.14700000000000024,0.017915309446254073
51,7.32635,11.0,-0.14650000000000052,0.017915309446254073
52,7.32685,16.0,-0.1459999999999999,0.026058631921824105
53,7.32735,11.0,-0.14550000000000018,0.017915309446254073
54,7.32785,15.0,-0.14500000000000046,0.024429967426710098
55,7.32835,14.0,-0.14449999999999985,0.02280130293159609
56,7.32885,18.0,-0.14400000000000013,0.029315960912052116
57,7.32935,14.0,-0.1435000000000004,0.02280130293159609
58,7.32985,17.0,-0.1429999999999998,0.02768729641693811
59,7.33035,11.0,-0.14250000000000007,0.017915309446254073
60,7.33085,22.0,-0.14200000000000035,0.035830618892508145
61,7.33135,7.0,-0.14150000000000063,0.011400651465798045
62,7.33185,7.0,-0.14100000000000001,0.011400651465798045
63,7.33235,9.0,-0.1405000000000003,0.014657980456026058
64,7.33285,16.0,-0.14000000000000057,0.026058631921824105
65,7.33335,20.0,-0.13949999999999996,0.03257328990228013
66,7.33385,15.0,-0.13900000000000023,0.024429967426710098
67,7.33435,15.0,-0.1385000000000005,0.024429967426710098
68,7.33485,9.0,-0.1379999999999999,0.014657980456026058
69,7.33535,9.0,-0.13750000000000018,0.014657980456026058
70,7.33585,8.0,-0.13700000000000045,0.013029315960912053
71,7.33635,15.0,-0.13649999999999984,0.024429967426710098
72,7.33685,11.0,-0.13600000000000012,0.017915309446254073
73,7.33735,10.0,-0.1355000000000004,0.016286644951140065
74,7.33785,17.0,-0.1349999999999998,0.02768729641693811
75,7.33835,18.0,-0.13450000000000006,0.029315960912052116
76,7.33885,20.0,-0.13400000000000034,0.03257328990228013
77,7.33935,17.0,-0.13350000000000062,0.02768729641693811
78,7.33985,14.0,-0.133,0.02280130293159609
79,7.34035,18.0,-0.13250000000000028,0.029315960912052116
80,7.34085,17.0,-0.13200000000000056,0.02768729641693811
81,7.34135,6.0,-0.13149999999999995,0.009771986970684038
82,7.34185,19.0,-0.13100000000000023,0.030944625407166124
83,7.34235,19.0,-0.1305000000000005,0.030944625407166124
84,7.34285,24.0,-0.1299999999999999,0.03908794788273615
85,7.34335,18.0,-0.12950000000000017,0.029315960912052116
86,7.34385,12.0,-0.12900000000000045,0.019543973941368076
87,7.34435,24.0,-0.12849999999999984,0.03908794788273615
88,7.34485,20.0,-0.1280000000000001,0.03257328990228013
89,7.34535,14.0,-0.1275000000000004,0.02280130293159609
90,7.34585,15.0,-0.12699999999999978,0.024429967426710098
91,7.34635,28.0,-0.12650000000000006,0.04560260586319218
92,7.34685,11.0,-0.12600000000000033,0.017915309446254073
93,7.34735,16.0,-0.1255000000000006,0.026058631921824105
94,7.34785,14.0,-0.125,0.02280130293159609
95,7.34835,14.0,-0.12450000000000028,0.02280130293159609
96,7.34885,18.0,-0.12400000000000055,0.029315960912052116
97,7.34935,13.0,-0.12349999999999994,0.021172638436482084
98,7.34985,19.0,-0.12300000000000022,0.030944625407166124
99,7.35035,14.0,-0.1225000000000005,0.02280130293159609
100,7.35085,21.0,-0.12199999999999989,0.03420195439739414
101,7.35135,16.0,-0.12150000000000016,0.026058631921824105
102,7.35185,19.0,-0.12100000000000044,0.030944625407166124
103,7.35235,24.0,-0.12049999999999983,0.03908794788273615
104,7.35285,12.0,-0.1200000000000001,0.019543973941368076
105,7.35335,21.0,-0.11950000000000038,0.03420195439739414
106,7.35385,24.0,-0.11899999999999977,0.03908794788273615
107,7.35435,22.0,-0.11850000000000005,0.035830618892508145
108,7.35485,22.0,-0.11800000000000033,0.035830618892508145
109,7.35535,21.0,-0.1175000000000006,0.03420195439739414
110,7.35585,17.0,-0.11699999999999999,0.02768729641693811
111,7.35635,22.0,-0.11650000000000027,0.035830618892508145
112,7.35685,29.0,-0.11600000000000055,0.04723127035830619
113,7.35735,20.0,-0.11549999999999994,0.03257328990228013
114,7.35785,20.0,-0.11500000000000021,0.03257328990228013
115,7.35835,18.0,-0.11450000000000049,0.029315960912052116
116,7.35885,23.0,-0.11399999999999988,0.03745928338762215
117,7.35935,15.0,-0.11350000000000016,0.024429967426710098
118,7.35985,20.0,-0.11300000000000043,0.03257328990228013
119,7.36035,38.0,-0.11249999999999982,0.06188925081433225
120,7.36085,21.0,-0.1120000000000001,0.03420195439739414
121,7.36135,27.0,-0.11150000000000038,0.043973941368078175
122,7.36185,18.0,-0.11100000000000065,0.029315960912052116
123,7.36235,19.0,-0.11050000000000004,0.030944625407166124
124,7.36285,21.0,-0.11000000000000032,0.03420195439739414
125,7.36335,25.0,-0.1095000000000006,0.04071661237785016
126,7.36385,36.0,-0.10899999999999999,0.05863192182410423
127,7.36435,22.0,-0.10850000000000026,0.035830618892508145
128,7.36485,23.0,-0.10800000000000054,0.03745928338762215
129,7.36535,22.0,-0.10749999999999993,0.035830618892508145
130,7.36585,41.0,-0.1070000000000002,0.06677524429967427
