,Omega (degree),Intensity,NORM_omega,NORM
0,7.30095,1.0,-0.1719999999999997,0.0002723311546840959
1,7.30145,1.0,-0.17149999999999999,0.0002723311546840959
2,7.30195,1.0,-0.17100000000000026,0.0002723311546840959
3,7.30245,2.0,-0.17049999999999965,0.0005446623093681918
4,7.30295,1.0,-0.16999999999999993,0.0002723311546840959
5,7.30345,2.0,-0.1695000000000002,0.0005446623093681918
6,7.30395,3.0,-0.1689999999999996,0.0008169934640522876
7,7.30445,1.0,-0.16849999999999987,0.0002723311546840959
8,7.30495,1.0,-0.16800000000000015,0.0002723311546840959
9,7.30545,0.0,-0.16749999999999954,0.0
10,7.30595,1.0,-0.16699999999999982,0.0002723311546840959
11,7.30645,1.0,-0.1665000000000001,0.0002723311546840959
12,7.30695,2.0,-0.16600000000000037,0.0005446623093681918
13,7.30745,2.0,-0.16549999999999976,0.0005446623093681918
14,7.30795,5.0,-0.16500000000000004,0.0013616557734204794
15,7.30845,3.0,-0.1645000000000003,0.0008169934640522876
16,7.30895,3.0,-0.1639999999999997,0.0008169934640522876
17,7.30945,3.0,-0.16349999999999998,0.0008169934640522876
18,7.30995,3.0,-0.16300000000000026,0.0008169934640522876
19,7.31045,1.0,-0.16249999999999964,0.0002723311546840959
20,7.31095,2.0,-0.16199999999999992,0.0005446623093681918
21,7.31145,2.0,-0.1615000000000002,0.0005446623093681918
22,7.31195,2.0,-0.1609999999999996,0.0005446623093681918
23,7.31245,6.0,-0.16049999999999986,0.0016339869281045752
24,7.31295,2.0,-0.16000000000000014,0.0005446623093681918
25,7.31345,1.0,-0.15950000000000042,0.0002723311546840959
26,7.31395,2.0,-0.1589999999999998,0.0005446623093681918
27,7.31445,4.0,-0.15850000000000009,0.0010893246187363835
28,7.31495,1.0,-0.15800000000000036,0.0002723311546840959
29,7.31545,4.0,-0.15749999999999975,0.0010893246187363835
30,7.31595,8.0,-0.15700000000000003,0.002178649237472767
31,7.31645,1.0,-0.1565000000000003,0.0002723311546840959
32,7.31695,3.0,-0.1559999999999997,0.0008169934640522876
33,7.31745,2.0,-0.15549999999999997,0.0005446623093681918
34,7.31795,2.0,-0.15500000000000025,0.0005446623093681918
35,7.31845,3.0,-0.15449999999999964,0.0008169934640522876
36,7.31895,2.0,-0.15399999999999991,0.0005446623093681918
37,7.31945,2.0,-0.1535000000000002,0.0005446623093681918
38,7.31995,6.0,-0.15299999999999958,0.0016339869281045752
39,7.32045,2.0,-0.15249999999999986,0.0005446623093681918
40,7.32095,6.0,-0.15200000000000014,0.0016339869281045752
41,7.32145,3.0,-0.1515000000000004,0.0008169934640522876
42,7.32195,4.0,-0.1509999999999998,0.0010893246187363835
43,7.32245,6.0,-0.15050000000000008,0.0016339869281045752
44,7.32295,3.0,-0.15000000000000036,0.0008169934640522876
45,7.32345,9.0,-0.14949999999999974,0.0024509803921568627
46,7.32395,1.0,-0.14900000000000002,0.0002723311546840959
47,7.32445,8.0,-0.1485000000000003,0.002178649237472767
48,7.32495,4.0,-0.1479999999999997,0.0010893246187363835
49,7.32545,3.0,-0.14749999999999996,0.0008169934640522876
