[Measurement conditions]
Sample identification,
Comment - 1,"Configuration=Chi-Phi-Z stage 240 mm (reflection), Owner=User-1, Creation date=10/23/2015 4:48:55 PM"
Comment - 2,"Goniometer=Theta/Theta; Minimum step size 2Theta:0.0001; Minimum step size Omega:0.0001"
Comment - 3,"Sample stage=Chi-Phi-z stage 240 mm (reflection); Minimum step size Phi:0.01; Minimum step size Chi:0.01; Minimum step size Z:0.001"
Comment - 4,"Diffractometer system=EMPYREAN"
Comment - 5,"Measurement program=C:\PANalytical\Data Collector\Programs\Yuki-Phi-scan.xrdmp, Identifier={48E3FB3F-1168-45E7-99C6-10C9CB5D9D97}"
Comment - 6,"Fine Calibration Offset for 2Theta = 0.0141 deg"
Comment - 7,"Fine Calibration Offset for Omega = 0.2992 deg"
Anode material,Cu
K-Alpha1 wavelength,1.5405980
K-Alpha2 wavelength,1.5444260
Ratio K-Alpha2/K-Alpha1,0.500
Divergence slit,Fixed,0.19mm
Monochromator used,NO
Generator voltage, 45
Tube current, 40
File date and time,26/Sep/2023 11:56
Unit cell,
h k l, 0 0 0
Scan axis,Phi
Scan range,0.000,360.000
Scan step size,0.2000000
No. of points, 1800
Scan type,CONTINUOUS
2Theta,34.0600
Omega,16.8577
Psi,26.57
Z,9.265
Time per step,0.176
[Scan points]
Angle, TimePerStep, Intensity
0.100, 0.176, 4.0
0.300, 0.176, 1.0
0.500, 0.176, 1.0
0.700, 0.176, 5.0
0.900, 0.176, 4.0
1.100, 0.176, 4.0
1.300, 0.176, 4.0
1.500, 0.176, 5.0
1.700, 0.176, 3.0
1.900, 0.176, 4.0
2.100, 0.176, 2.0
2.300, 0.176, 1.0
2.500, 0.176, 6.0
2.700, 0.176, 2.0
2.900, 0.176, 6.0
3.100, 0.176, 1.0
3.300, 0.176, 3.0
3.500, 0.176, 3.0
3.700, 0.176, 2.0
3.900, 0.176, 7.0
4.100, 0.176, 5.0
4.300, 0.176, 1.0
4.500, 0.176, 4.0
4.700, 0.176, 1.0
4.900, 0.176, 1.0
5.100, 0.176, 3.0
5.300, 0.176, 3.0
5.500, 0.176, 0.0
5.700, 0.176, 3.0
5.900, 0.176, 5.0
6.100, 0.176, 3.0
6.300, 0.176, 2.0
6.500, 0.176, 0.0
6.700, 0.176, 3.0
6.900, 0.176, 1.0
7.100, 0.176, 2.0
7.300, 0.176, 3.0
7.500, 0.176, 1.0
7.700, 0.176, 0.0
7.900, 0.176, 2.0
8.100, 0.176, 1.0
8.300, 0.176, 1.0
8.500, 0.176, 2.0
8.700, 0.176, 2.0
8.900, 0.176, 1.0
9.100, 0.176, 3.0
9.300, 0.176, 0.0
9.500, 0.176, 0.0
9.700, 0.176, 2.0
9.900, 0.176, 1.0
10.100, 0.176, 1.0
10.300, 0.176, 0.0
10.500, 0.176, 2.0
10.700, 0.176, 1.0
10.900, 0.176, 0.0
11.100, 0.176, 1.0
11.300, 0.176, 1.0
11.500, 0.176, 2.0
11.700, 0.176, 2.0
11.900, 0.176, 1.0
12.100, 0.176, 0.0
12.300, 0.176, 3.0
12.500, 0.176, 0.0
12.700, 0.176, 1.0
12.900, 0.176, 0.0
13.100, 0.176, 0.0
13.300, 0.176, 0.0
13.500, 0.176, 0.0
13.700, 0.176, 1.0
13.900, 0.176, 3.0
14.100, 0.176, 3.0
14.300, 0.176, 1.0
14.500, 0.176, 0.0
14.700, 0.176, 0.0
14.900, 0.176, 1.0
15.100, 0.176, 1.0
15.300, 0.176, 0.0
15.500, 0.176, 2.0
15.700, 0.176, 0.0
15.900, 0.176, 2.0
16.100, 0.176, 1.0
16.300, 0.176, 2.0
16.500, 0.176, 0.0
16.700, 0.176, 2.0
16.900, 0.176, 1.0
17.100, 0.176, 1.0
17.300, 0.176, 3.0
17.500, 0.176, 1.0
17.700, 0.176, 0.0
17.900, 0.176, 1.0
18.100, 0.176, 0.0
18.300, 0.176, 1.0
18.500, 0.176, 0.0
18.700, 0.176, 0.0
18.900, 0.176, 4.0
19.100, 0.176, 0.0
19.300, 0.176, 0.0
19.500, 0.176, 1.0
19.700, 0.176, 0.0
19.900, 0.176, 0.0
20.100, 0.176, 1.0
20.300, 0.176, 1.0
20.500, 0.176, 0.0
20.700, 0.176, 2.0
20.900, 0.176, 0.0
21.100, 0.176, 0.0
21.300, 0.176, 0.0
21.500, 0.176, 1.0
21.700, 0.176, 1.0
21.900, 0.176, 2.0
22.100, 0.176, 1.0
22.300, 0.176, 1.0
22.500, 0.176, 0.0
22.700, 0.176, 0.0
22.900, 0.176, 0.0
23.100, 0.176, 1.0
23.300, 0.176, 1.0
23.500, 0.176, 1.0
23.700, 0.176, 0.0
23.900, 0.176, 0.0
24.100, 0.176, 0.0
24.300, 0.176, 0.0
24.500, 0.176, 1.0
24.700, 0.176, 2.0
24.900, 0.176, 0.0
25.100, 0.176, 1.0
25.300, 0.176, 0.0
25.500, 0.176, 2.0
25.700, 0.176, 1.0
25.900, 0.176, 1.0
26.100, 0.176, 1.0
26.300, 0.176, 1.0
26.500, 0.176, 2.0
26.700, 0.176, 0.0
26.900, 0.176, 3.0
27.100, 0.176, 1.0
27.300, 0.176, 0.0
27.500, 0.176, 0.0
27.700, 0.176, 1.0
27.900, 0.176, 2.0
28.100, 0.176, 0.0
28.300, 0.176, 1.0
28.500, 0.176, 1.0
28.700, 0.176, 0.0
28.900, 0.176, 0.0
29.100, 0.176, 2.0
29.300, 0.176, 0.0
29.500, 0.176, 0.0
29.700, 0.176, 0.0
29.900, 0.176, 0.0
30.100, 0.176, 1.0
30.300, 0.176, 1.0
30.500, 0.176, 1.0
30.700, 0.176, 0.0
30.900, 0.176, 0.0
31.100, 0.176, 0.0
31.300, 0.176, 3.0
31.500, 0.176, 2.0
31.700, 0.176, 1.0
31.900, 0.176, 0.0
32.100, 0.176, 0.0
32.300, 0.176, 0.0
32.500, 0.176, 0.0
32.700, 0.176, 1.0
32.900, 0.176, 0.0
33.100, 0.176, 2.0
33.300, 0.176, 0.0
33.500, 0.176, 1.0
33.700, 0.176, 1.0
33.900, 0.176, 2.0
34.100, 0.176, 1.0
34.300, 0.176, 0.0
34.500, 0.176, 1.0
34.700, 0.176, 0.0
34.900, 0.176, 1.0
35.100, 0.176, 1.0
35.300, 0.176, 0.0
35.500, 0.176, 0.0
35.700, 0.176, 0.0
35.900, 0.176, 1.0
36.100, 0.176, 1.0
36.300, 0.176, 0.0
36.500, 0.176, 0.0
36.700, 0.176, 0.0
36.900, 0.176, 0.0
37.100, 0.176, 0.0
37.300, 0.176, 0.0
37.500, 0.176, 0.0
37.700, 0.176, 0.0
37.900, 0.176, 0.0
38.100, 0.176, 2.0
38.300, 0.176, 0.0
38.500, 0.176, 0.0
38.700, 0.176, 0.0
38.900, 0.176, 1.0
39.100, 0.176, 2.0
39.300, 0.176, 1.0
39.500, 0.176, 1.0
39.700, 0.176, 0.0
39.900, 0.176, 0.0
40.100, 0.176, 0.0
40.300, 0.176, 0.0
40.500, 0.176, 1.0
40.700, 0.176, 0.0
40.900, 0.176, 1.0
41.100, 0.176, 0.0
41.300, 0.176, 1.0
41.500, 0.176, 0.0
41.700, 0.176, 1.0
41.900, 0.176, 3.0
42.100, 0.176, 0.0
42.300, 0.176, 0.0
42.500, 0.176, 0.0
42.700, 0.176, 1.0
42.900, 0.176, 1.0
43.100, 0.176, 0.0
43.300, 0.176, 2.0
43.500, 0.176, 0.0
43.700, 0.176, 2.0
43.900, 0.176, 2.0
44.100, 0.176, 3.0
44.300, 0.176, 1.0
44.500, 0.176, 0.0
44.700, 0.176, 0.0
44.900, 0.176, 0.0
45.100, 0.176, 1.0
45.300, 0.176, 0.0
45.500, 0.176, 1.0
45.700, 0.176, 1.0
45.900, 0.176, 0.0
46.100, 0.176, 2.0
46.300, 0.176, 0.0
46.500, 0.176, 0.0
46.700, 0.176, 0.0
46.900, 0.176, 1.0
47.100, 0.176, 0.0
47.300, 0.176, 0.0
47.500, 0.176, 0.0
47.700, 0.176, 0.0
47.900, 0.176, 1.0
48.100, 0.176, 1.0
48.300, 0.176, 1.0
48.500, 0.176, 0.0
48.700, 0.176, 2.0
48.900, 0.176, 0.0
49.100, 0.176, 1.0
49.300, 0.176, 0.0
49.500, 0.176, 0.0
49.700, 0.176, 1.0
49.900, 0.176, 1.0
50.100, 0.176, 1.0
50.300, 0.176, 0.0
50.500, 0.176, 0.0
50.700, 0.176, 1.0
50.900, 0.176, 0.0
51.100, 0.176, 1.0
51.300, 0.176, 1.0
51.500, 0.176, 0.0
51.700, 0.176, 0.0
51.900, 0.176, 2.0
52.100, 0.176, 2.0
52.300, 0.176, 0.0
52.500, 0.176, 2.0
52.700, 0.176, 1.0
52.900, 0.176, 1.0
53.100, 0.176, 2.0
53.300, 0.176, 0.0
53.500, 0.176, 0.0
53.700, 0.176, 0.0
53.900, 0.176, 1.0
54.100, 0.176, 3.0
54.300, 0.176, 2.0
54.500, 0.176, 0.0
54.700, 0.176, 0.0
54.900, 0.176, 1.0
55.100, 0.176, 0.0
55.300, 0.176, 2.0
55.500, 0.176, 0.0
55.700, 0.176, 0.0
55.900, 0.176, 0.0
56.100, 0.176, 1.0
56.300, 0.176, 1.0
56.500, 0.176, 0.0
56.700, 0.176, 4.0
56.900, 0.176, 0.0
57.100, 0.176, 0.0
57.300, 0.176, 0.0
57.500, 0.176, 0.0
57.700, 0.176, 1.0
57.900, 0.176, 1.0
58.100, 0.176, 3.0
58.300, 0.176, 0.0
58.500, 0.176, 1.0
58.700, 0.176, 2.0
58.900, 0.176, 1.0
59.100, 0.176, 0.0
59.300, 0.176, 1.0
59.500, 0.176, 2.0
59.700, 0.176, 1.0
59.900, 0.176, 1.0
60.100, 0.176, 4.0
60.300, 0.176, 0.0
60.500, 0.176, 0.0
60.700, 0.176, 3.0
60.900, 0.176, 0.0
61.100, 0.176, 0.0
61.300, 0.176, 0.0
61.500, 0.176, 3.0
61.700, 0.176, 0.0
61.900, 0.176, 0.0
62.100, 0.176, 1.0
62.300, 0.176, 0.0
62.500, 0.176, 0.0
62.700, 0.176, 1.0
62.900, 0.176, 2.0
63.100, 0.176, 0.0
63.300, 0.176, 1.0
63.500, 0.176, 0.0
63.700, 0.176, 0.0
63.900, 0.176, 1.0
64.100, 0.176, 2.0
64.300, 0.176, 1.0
64.500, 0.176, 3.0
64.700, 0.176, 1.0
64.900, 0.176, 1.0
65.100, 0.176, 2.0
65.300, 0.176, 0.0
65.500, 0.176, 0.0
65.700, 0.176, 0.0
65.900, 0.176, 0.0
66.100, 0.176, 2.0
66.300, 0.176, 0.0
66.500, 0.176, 0.0
66.700, 0.176, 2.0
66.900, 0.176, 1.0
67.100, 0.176, 1.0
67.300, 0.176, 1.0
67.500, 0.176, 0.0
67.700, 0.176, 3.0
67.900, 0.176, 2.0
68.100, 0.176, 3.0
68.300, 0.176, 2.0
68.500, 0.176, 1.0
68.700, 0.176, 2.0
68.900, 0.176, 2.0
69.100, 0.176, 1.0
69.300, 0.176, 3.0
69.500, 0.176, 1.0
69.700, 0.176, 2.0
69.900, 0.176, 0.0
70.100, 0.176, 2.0
70.300, 0.176, 1.0
70.500, 0.176, 0.0
70.700, 0.176, 3.0
70.900, 0.176, 1.0
71.100, 0.176, 3.0
71.300, 0.176, 1.0
71.500, 0.176, 1.0
71.700, 0.176, 0.0
71.900, 0.176, 3.0
72.100, 0.176, 0.0
72.300, 0.176, 4.0
72.500, 0.176, 1.0
72.700, 0.176, 5.0
72.900, 0.176, 2.0
73.100, 0.176, 2.0
73.300, 0.176, 2.0
73.500, 0.176, 5.0
73.700, 0.176, 2.0
73.900, 0.176, 2.0
74.100, 0.176, 2.0
74.300, 0.176, 2.0
74.500, 0.176, 1.0
74.700, 0.176, 3.0
74.900, 0.176, 3.0
75.100, 0.176, 3.0
75.300, 0.176, 1.0
75.500, 0.176, 1.0
75.700, 0.176, 2.0
75.900, 0.176, 2.0
76.100, 0.176, 4.0
76.300, 0.176, 2.0
76.500, 0.176, 1.0
76.700, 0.176, 1.0
76.900, 0.176, 2.0
77.100, 0.176, 0.0
77.300, 0.176, 6.0
77.500, 0.176, 2.0
77.700, 0.176, 7.0
77.900, 0.176, 3.0
78.100, 0.176, 5.0
78.300, 0.176, 1.0
78.500, 0.176, 2.0
78.700, 0.176, 1.0
78.900, 0.176, 3.0
79.100, 0.176, 1.0
79.300, 0.176, 6.0
79.500, 0.176, 1.0
79.700, 0.176, 2.0
79.900, 0.176, 3.0
80.100, 0.176, 4.0
80.300, 0.176, 4.0
80.500, 0.176, 5.0
80.700, 0.176, 4.0
80.900, 0.176, 4.0
81.100, 0.176, 8.0
81.300, 0.176, 6.0
81.500, 0.176, 7.0
81.700, 0.176, 8.0
81.900, 0.176, 6.0
82.100, 0.176, 9.0
82.300, 0.176, 8.0
82.500, 0.176, 14.0
82.700, 0.176, 11.0
82.900, 0.176, 14.0
83.100, 0.176, 11.0
83.300, 0.176, 23.0
83.500, 0.176, 36.0
83.700, 0.176, 56.0
83.900, 0.176, 309.0
84.100, 0.176, 4470.0
84.300, 0.176, 8195.0
84.500, 0.176, 3071.0
84.700, 0.176, 90.0
84.900, 0.176, 21.0
85.100, 0.176, 21.0
85.300, 0.176, 13.0
85.500, 0.176, 11.0
85.700, 0.176, 10.0
85.900, 0.176, 14.0
86.100, 0.176, 9.0
86.300, 0.176, 9.0
86.500, 0.176, 1.0
86.700, 0.176, 18.0
86.900, 0.176, 2.0
87.100, 0.176, 6.0
87.300, 0.176, 2.0
87.500, 0.176, 3.0
87.700, 0.176, 3.0
87.900, 0.176, 4.0
88.100, 0.176, 3.0
88.300, 0.176, 2.0
