[Measurement conditions]
Sample identification,
Comment - 1,"Configuration=Chi-Phi-Z stage 240 mm (reflection), Owner=User-1, Creation date=10/23/2015 4:48:55 PM"
Comment - 2,"Goniometer=Theta/Theta; Minimum step size 2Theta:0.0001; Minimum step size Omega:0.0001"
Comment - 3,"Sample stage=Chi-Phi-z stage 240 mm (reflection); Minimum step size Phi:0.01; Minimum step size Chi:0.01; Minimum step size Z:0.001"
Comment - 4,"Diffractometer system=EMPYREAN"
Comment - 5,"Measurement program=C:\PANalytical\Data Collector\Programs\Yuki gonio-10-70-3.5min.xrdmp, Identifier={4DE38C63-18BA-4A8A-8B29-657A2F10461B}"
Comment - 6,"Fine Calibration Offset for 2Theta = 0.0141 deg"
Comment - 7,"Fine Calibration Offset for Omega = 0.2992 deg"
Anode material,Cu
K-Alpha1 wavelength,1.5405980
K-Alpha2 wavelength,1.5444260
Ratio K-Alpha2/K-Alpha1,0.500
Divergence slit,Fixed,0.19mm
Monochromator used,NO
Generator voltage, 45
Tube current, 40
File date and time,26/Sep/2023 12:03
Unit cell,
h k l, 0 0 0
Scan axis,Gonio
Scan range,9.999999999,69.992261551
Scan step size,0.0131303
No. of points, 4569
Scan type,CONTINUOUS
Phi,0.00
Psi,0.00
Z,9.265
Time per step,8.670
[Scan points]
Angle, TimePerStep, Intensity
10.006565140, 8.670, 41.0
10.019695423, 8.670, 58.0
10.032825705, 8.670, 43.0
10.045955988, 8.670, 46.0
10.059086271, 8.670, 55.0
10.072216553, 8.670, 51.0
10.085346836, 8.670, 45.0
10.098477119, 8.670, 43.0
10.111607401, 8.670, 48.0
10.124737684, 8.670, 47.0
10.137867967, 8.670, 51.0
10.150998249, 8.670, 46.0
10.164128532, 8.670, 38.0
10.177258815, 8.670, 32.0
10.190389097, 8.670, 42.0
10.203519380, 8.670, 44.0
10.216649663, 8.670, 43.0
10.229779946, 8.670, 42.0
10.242910228, 8.670, 57.0
10.256040511, 8.670, 45.0
10.269170794, 8.670, 48.0
10.282301076, 8.670, 67.0
10.295431359, 8.670, 36.0
10.308561642, 8.670, 43.0
10.321691924, 8.670, 51.0
10.334822207, 8.670, 43.0
10.347952490, 8.670, 36.0
10.361082772, 8.670, 57.0
10.374213055, 8.670, 51.0
10.387343338, 8.670, 49.0
10.400473620, 8.670, 48.0
10.413603903, 8.670, 43.0
10.426734186, 8.670, 45.0
10.439864468, 8.670, 46.0
10.452994751, 8.670, 41.0
10.466125034, 8.670, 51.0
10.479255316, 8.670, 44.0
10.492385599, 8.670, 45.0
10.505515882, 8.670, 48.0
10.518646164, 8.670, 43.0
10.531776447, 8.670, 54.0
10.544906730, 8.670, 55.0
10.558037012, 8.670, 51.0
10.571167295, 8.670, 41.0
10.584297578, 8.670, 47.0
10.597427860, 8.670, 47.0
10.610558143, 8.670, 46.0
10.623688426, 8.670, 41.0
10.636818709, 8.670, 42.0
10.649948991, 8.670, 49.0
10.663079274, 8.670, 57.0
10.676209557, 8.670, 40.0
10.689339839, 8.670, 50.0
10.702470122, 8.670, 36.0
10.715600405, 8.670, 63.0
10.728730687, 8.670, 48.0
10.741860970, 8.670, 46.0
10.754991253, 8.670, 53.0
10.768121535, 8.670, 30.0
10.781251818, 8.670, 45.0
10.794382101, 8.670, 48.0
10.807512383, 8.670, 43.0
10.820642666, 8.670, 42.0
10.833772949, 8.670, 43.0
10.846903231, 8.670, 50.0
10.860033514, 8.670, 42.0
10.873163797, 8.670, 33.0
10.886294079, 8.670, 57.0
10.899424362, 8.670, 48.0
10.912554645, 8.670, 49.0
10.925684927, 8.670, 47.0
10.938815210, 8.670, 41.0
10.951945493, 8.670, 52.0
10.965075775, 8.670, 49.0
10.978206058, 8.670, 47.0
10.991336341, 8.670, 32.0
11.004466623, 8.670, 59.0
11.017596906, 8.670, 61.0
11.030727189, 8.670, 57.0
11.043857472, 8.670, 47.0
11.056987754, 8.670, 42.0
11.070118037, 8.670, 50.0
11.083248320, 8.670, 53.0
11.096378602, 8.670, 61.0
11.109508885, 8.670, 47.0
11.122639168, 8.670, 38.0
11.135769450, 8.670, 40.0
11.148899733, 8.670, 38.0
11.162030016, 8.670, 46.0
11.175160298, 8.670, 55.0
11.188290581, 8.670, 45.0
11.201420864, 8.670, 45.0
11.214551146, 8.670, 36.0
11.227681429, 8.670, 34.0
11.240811712, 8.670, 44.0
11.253941994, 8.670, 46.0
11.267072277, 8.670, 45.0
11.280202560, 8.670, 59.0
11.293332842, 8.670, 43.0
11.306463125, 8.670, 59.0
11.319593408, 8.670, 57.0
11.332723690, 8.670, 42.0
11.345853973, 8.670, 52.0
11.358984256, 8.670, 51.0
11.372114538, 8.670, 53.0
11.385244821, 8.670, 47.0
11.398375104, 8.670, 62.0
11.411505386, 8.670, 48.0
11.424635669, 8.670, 43.0
11.437765952, 8.670, 40.0
11.450896235, 8.670, 47.0
11.464026517, 8.670, 50.0
11.477156800, 8.670, 46.0
11.490287083, 8.670, 44.0
11.503417365, 8.670, 44.0
11.516547648, 8.670, 44.0
11.529677931, 8.670, 34.0
11.542808213, 8.670, 37.0
11.555938496, 8.670, 52.0
11.569068779, 8.670, 48.0
11.582199061, 8.670, 56.0
11.595329344, 8.670, 48.0
11.608459627, 8.670, 43.0
11.621589909, 8.670, 50.0
11.634720192, 8.670, 61.0
11.647850475, 8.670, 53.0
11.660980757, 8.670, 41.0
11.674111040, 8.670, 66.0
11.687241323, 8.670, 54.0
11.700371605, 8.670, 61.0
11.713501888, 8.670, 33.0
11.726632171, 8.670, 42.0
11.739762453, 8.670, 50.0
11.752892736, 8.670, 40.0
11.766023019, 8.670, 44.0
11.779153301, 8.670, 43.0
11.792283584, 8.670, 51.0
11.805413867, 8.670, 47.0
11.818544149, 8.670, 45.0
11.831674432, 8.670, 40.0
11.844804715, 8.670, 40.0
11.857934998, 8.670, 52.0
11.871065280, 8.670, 37.0
11.884195563, 8.670, 46.0
11.897325846, 8.670, 43.0
11.910456128, 8.670, 41.0
11.923586411, 8.670, 43.0
11.936716694, 8.670, 42.0
11.949846976, 8.670, 34.0
11.962977259, 8.670, 51.0
11.976107542, 8.670, 45.0
11.989237824, 8.670, 53.0
12.002368107, 8.670, 53.0
12.015498390, 8.670, 51.0
12.028628672, 8.670, 52.0
12.041758955, 8.670, 57.0
12.054889238, 8.670, 60.0
12.068019520, 8.670, 57.0
12.081149803, 8.670, 48.0
12.094280086, 8.670, 45.0
12.107410368, 8.670, 58.0
12.120540651, 8.670, 52.0
12.133670934, 8.670, 42.0
12.146801216, 8.670, 47.0
12.159931499, 8.670, 45.0
12.173061782, 8.670, 42.0
12.186192064, 8.670, 51.0
12.199322347, 8.670, 53.0
12.212452630, 8.670, 52.0
12.225582912, 8.670, 50.0
12.238713195, 8.670, 59.0
12.251843478, 8.670, 47.0
12.264973760, 8.670, 42.0
12.278104043, 8.670, 52.0
12.291234326, 8.670, 41.0
12.304364609, 8.670, 53.0
12.317494891, 8.670, 40.0
12.330625174, 8.670, 59.0
12.343755457, 8.670, 59.0
12.356885739, 8.670, 51.0
12.370016022, 8.670, 48.0
12.383146305, 8.670, 72.0
12.396276587, 8.670, 67.0
12.409406870, 8.670, 85.0
12.422537153, 8.670, 80.0
12.435667435, 8.670, 53.0
12.448797718, 8.670, 41.0
12.461928001, 8.670, 33.0
12.475058283, 8.670, 51.0
12.488188566, 8.670, 66.0
12.501318849, 8.670, 47.0
12.514449131, 8.670, 38.0
12.527579414, 8.670, 50.0
12.540709697, 8.670, 47.0
12.553839979, 8.670, 41.0
12.566970262, 8.670, 39.0
12.580100545, 8.670, 49.0
12.593230827, 8.670, 50.0
12.606361110, 8.670, 53.0
12.619491393, 8.670, 48.0
12.632621675, 8.670, 58.0
12.645751958, 8.670, 45.0
12.658882241, 8.670, 45.0
12.672012523, 8.670, 41.0
12.685142806, 8.670, 48.0
12.698273089, 8.670, 46.0
12.711403372, 8.670, 42.0
12.724533654, 8.670, 50.0
12.737663937, 8.670, 39.0
12.750794220, 8.670, 41.0
12.763924502, 8.670, 52.0
12.777054785, 8.670, 32.0
12.790185068, 8.670, 42.0
12.803315350, 8.670, 59.0
12.816445633, 8.670, 51.0
12.829575916, 8.670, 54.0
12.842706198, 8.670, 48.0
12.855836481, 8.670, 32.0
12.868966764, 8.670, 54.0
12.882097046, 8.670, 54.0
12.895227329, 8.670, 57.0
12.908357612, 8.670, 57.0
12.921487894, 8.670, 51.0
12.934618177, 8.670, 47.0
12.947748460, 8.670, 54.0
12.960878742, 8.670, 41.0
12.974009025, 8.670, 38.0
12.987139308, 8.670, 59.0
13.000269590, 8.670, 57.0
13.013399873, 8.670, 46.0
13.026530156, 8.670, 41.0
13.039660438, 8.670, 55.0
13.052790721, 8.670, 51.0
13.065921004, 8.670, 52.0
13.079051286, 8.670, 54.0
13.092181569, 8.670, 49.0
13.105311852, 8.670, 34.0
13.118442135, 8.670, 50.0
13.131572417, 8.670, 51.0
13.144702700, 8.670, 68.0
13.157832983, 8.670, 52.0
13.170963265, 8.670, 62.0
13.184093548, 8.670, 48.0
13.197223831, 8.670, 58.0
13.210354113, 8.670, 58.0
13.223484396, 8.670, 59.0
13.236614679, 8.670, 51.0
13.249744961, 8.670, 52.0
13.262875244, 8.670, 77.0
13.276005527, 8.670, 70.0
13.289135809, 8.670, 69.0
13.302266092, 8.670, 87.0
13.315396375, 8.670, 72.0
13.328526657, 8.670, 81.0
13.341656940, 8.670, 93.0
13.354787223, 8.670, 118.0
13.367917505, 8.670, 212.0
13.381047788, 8.670, 579.0
13.394178071, 8.670, 1007.0
13.407308353, 8.670, 727.0
13.420438636, 8.670, 433.0
13.433568919, 8.670, 399.0
13.446699201, 8.670, 491.0
13.459829484, 8.670, 405.0
13.472959767, 8.670, 838.0
13.486090049, 8.670, 2663.0
13.499220332, 8.670, 1920.0
13.512350615, 8.670, 520.0
13.525480898, 8.670, 259.0
13.538611180, 8.670, 189.0
13.551741463, 8.670, 186.0
13.564871746, 8.670, 159.0
13.578002028, 8.670, 152.0
13.591132311, 8.670, 140.0
13.604262594, 8.670, 117.0
13.617392876, 8.670, 148.0
13.630523159, 8.670, 167.0
13.643653442, 8.670, 116.0
13.656783724, 8.670, 136.0
13.669914007, 8.670, 135.0
13.683044290, 8.670, 121.0
13.696174572, 8.670, 138.0
13.709304855, 8.670, 129.0
13.722435138, 8.670, 159.0
13.735565420, 8.670, 142.0
13.748695703, 8.670, 147.0
13.761825986, 8.670, 127.0
13.774956268, 8.670, 160.0
13.788086551, 8.670, 151.0
13.801216834, 8.670, 145.0
13.814347116, 8.670, 157.0
13.827477399, 8.670, 157.0
13.840607682, 8.670, 161.0
13.853737964, 8.670, 137.0
13.866868247, 8.670, 161.0
13.879998530, 8.670, 165.0
13.893128812, 8.670, 159.0
13.906259095, 8.670, 158.0
13.919389378, 8.670, 150.0
13.932519661, 8.670, 177.0
13.945649943, 8.670, 172.0
13.958780226, 8.670, 180.0
13.971910509, 8.670, 183.0
13.985040791, 8.670, 169.0
13.998171074, 8.670, 178.0
14.011301357, 8.670, 185.0
14.024431639, 8.670, 205.0
14.037561922, 8.670, 183.0
14.050692205, 8.670, 163.0
14.063822487, 8.670, 212.0
14.076952770, 8.670, 244.0
14.090083053, 8.670, 256.0
14.103213335, 8.670, 226.0
14.116343618, 8.670, 234.0
14.129473901, 8.670, 288.0
14.142604183, 8.670, 270.0
14.155734466, 8.670, 263.0
14.168864749, 8.670, 313.0
14.181995031, 8.670, 360.0
14.195125314, 8.670, 411.0
14.208255597, 8.670, 404.0
14.221385879, 8.670, 439.0
14.234516162, 8.670, 461.0
14.247646445, 8.670, 532.0
14.260776727, 8.670, 605.0
14.273907010, 8.670, 870.0
14.287037293, 8.670, 1468.0
14.300167575, 8.670, 3385.0
14.313297858, 8.670, 3631.0
14.326428141, 8.670, 1666.0
14.339558424, 8.670, 1053.0
14.352688706, 8.670, 870.0
14.365818989, 8.670, 840.0
14.378949272, 8.670, 875.0
14.392079554, 8.670, 973.0
14.405209837, 8.670, 1513.0
14.418340120, 8.670, 2053.0
14.431470402, 8.670, 1500.0
14.444600685, 8.670, 1261.0
14.457730968, 8.670, 1345.0
14.470861250, 8.670, 1447.0
14.483991533, 8.670, 1446.0
14.497121816, 8.670, 1565.0
14.510252098, 8.670, 1667.0
14.523382381, 8.670, 1724.0
14.536512664, 8.670, 1905.0
14.549642946, 8.670, 1957.0
14.562773229, 8.670, 2019.0
14.575903512, 8.670, 2108.0
14.589033794, 8.670, 2191.0
14.602164077, 8.670, 2389.0
14.615294360, 8.670, 2547.0
14.628424642, 8.670, 2622.0
14.641554925, 8.670, 2872.0
14.654685208, 8.670, 2833.0
14.667815490, 8.670, 3020.0
14.680945773, 8.670, 3176.0
14.694076056, 8.670, 3310.0
14.707206338, 8.670, 3401.0
14.720336621, 8.670, 3745.0
14.733466904, 8.670, 3773.0
14.746597187, 8.670, 4074.0
14.759727469, 8.670, 4319.0
14.772857752, 8.670, 4633.0
14.785988035, 8.670, 5061.0
14.799118317, 8.670, 5662.0
14.812248600, 8.670, 6450.0
14.825378883, 8.670, 7532.0
14.838509165, 8.670, 9140.0
14.851639448, 8.670, 13709.0
14.864769731, 8.670, 22233.0
14.877900013, 8.670, 28951.0
14.891030296, 8.670, 33044.0
14.904160579, 8.670, 53991.0
14.917290861, 8.670, 173725.0
14.930421144, 8.670, 1039953.0
14.943551427, 8.670, 1193666.0
14.956681709, 8.670, 320747.0
14.969811992, 8.670, 552467.0
14.982942275, 8.670, 477003.0
14.996072557, 8.670, 100442.0
15.009202840, 8.670, 33172.0
15.022333123, 8.670, 17712.0
