[Measurement conditions]
Sample identification,
Comment - 1,"Configuration=Sample Spinner (Reflection-Transmission), Owner=User-1, Creation date=11/23/2015 8:19:59 AM"
Comment - 2,"Goniometer=Theta/Theta; Minimum step size 2Theta:0.0001; Minimum step size Omega:0.0001"
Comment - 3,"Sample stage=Reflection-transmission spinner; Minimum step size Phi:0.1"
Comment - 4,"Diffractometer system=EMPYREAN"
Comment - 5,"Measurement program=C:\PANalytical\Data Collector\Programs\Yuki spinner 10-70.xrdmp, Identifier={A35A966D-632C-4F63-8C54-904912ED7E1C}"
Anode material,Cu
K-Alpha1 wavelength,1.5405980
K-Alpha2 wavelength,1.5444260
Ratio K-Alpha2/K-Alpha1,0.500
Divergence slit,Fixed,0.19mm
Monochromator used,NO
Generator voltage, 45
Tube current, 40
File date and time,27/Jun/2023 09:52
Unit cell,
h k l, 0 0 0
Scan axis,Gonio
Scan range,9.994599997,69.999991833
Scan step size,0.0262606
No. of points, 2285
Scan type,CONTINUOUS
Phi,219.8
Time per step,22.440
[Scan points]
Angle, TimePerStep, Intensity
10.007730280, 22.440, 148.0
10.033990845, 22.440, 180.0
10.060251411, 22.440, 167.0
10.086511976, 22.440, 152.0
10.112772541, 22.440, 160.0
10.139033107, 22.440, 183.0
10.165293672, 22.440, 154.0
10.191554237, 22.440, 157.0
10.217814803, 22.440, 154.0
10.244075368, 22.440, 172.0
10.270335934, 22.440, 168.0
10.296596499, 22.440, 155.0
10.322857064, 22.440, 138.0
10.349117630, 22.440, 144.0
10.375378195, 22.440, 180.0
10.401638760, 22.440, 162.0
10.427899326, 22.440, 156.0
10.454159891, 22.440, 162.0
10.480420456, 22.440, 162.0
10.506681022, 22.440, 163.0
10.532941587, 22.440, 172.0
10.559202152, 22.440, 144.0
10.585462718, 22.440, 167.0
10.611723283, 22.440, 146.0
10.637983849, 22.440, 142.0
10.664244414, 22.440, 160.0
10.690504979, 22.440, 149.0
10.716765545, 22.440, 162.0
10.743026110, 22.440, 150.0
10.769286675, 22.440, 150.0
10.795547241, 22.440, 151.0
10.821807806, 22.440, 155.0
10.848068371, 22.440, 155.0
10.874328937, 22.440, 175.0
10.900589502, 22.440, 159.0
10.926850067, 22.440, 145.0
10.953110633, 22.440, 140.0
10.979371198, 22.440, 126.0
11.005631763, 22.440, 134.0
11.031892329, 22.440, 149.0
11.058152894, 22.440, 123.0
11.084413460, 22.440, 137.0
11.110674025, 22.440, 162.0
11.136934590, 22.440, 133.0
11.163195156, 22.440, 128.0
11.189455721, 22.440, 144.0
11.215716286, 22.440, 152.0
11.241976852, 22.440, 151.0
11.268237417, 22.440, 148.0
11.294497982, 22.440, 137.0
11.320758548, 22.440, 143.0
11.347019113, 22.440, 116.0
11.373279678, 22.440, 156.0
11.399540244, 22.440, 145.0
11.425800809, 22.440, 151.0
11.452061375, 22.440, 155.0
11.478321940, 22.440, 147.0
11.504582505, 22.440, 125.0
11.530843071, 22.440, 128.0
11.557103636, 22.440, 123.0
11.583364201, 22.440, 130.0
11.609624767, 22.440, 129.0
11.635885332, 22.440, 149.0
11.662145897, 22.440, 136.0
11.688406463, 22.440, 115.0
11.714667028, 22.440, 129.0
11.740927593, 22.440, 128.0
11.767188159, 22.440, 145.0
11.793448724, 22.440, 147.0
11.819709289, 22.440, 153.0
11.845969855, 22.440, 143.0
11.872230420, 22.440, 148.0
11.898490986, 22.440, 138.0
11.924751551, 22.440, 139.0
11.951012116, 22.440, 149.0
11.977272682, 22.440, 148.0
12.003533247, 22.440, 142.0
12.029793812, 22.440, 124.0
12.056054378, 22.440, 122.0
12.082314943, 22.440, 145.0
12.108575508, 22.440, 138.0
12.134836074, 22.440, 141.0
12.161096639, 22.440, 125.0
12.187357204, 22.440, 139.0
12.213617770, 22.440, 138.0
12.239878335, 22.440, 123.0
12.266138900, 22.440, 128.0
12.292399466, 22.440, 151.0
12.318660031, 22.440, 125.0
12.344920597, 22.440, 123.0
12.371181162, 22.440, 120.0
12.397441727, 22.440, 131.0
12.423702293, 22.440, 149.0
12.449962858, 22.440, 119.0
12.476223423, 22.440, 111.0
12.502483989, 22.440, 123.0
12.528744554, 22.440, 135.0
12.555005119, 22.440, 136.0
12.581265685, 22.440, 133.0
12.607526250, 22.440, 136.0
12.633786815, 22.440, 114.0
12.660047381, 22.440, 139.0
12.686307946, 22.440, 109.0
12.712568512, 22.440, 102.0
12.738829077, 22.440, 129.0
12.765089642, 22.440, 119.0
12.791350208, 22.440, 132.0
12.817610773, 22.440, 125.0
12.843871338, 22.440, 159.0
12.870131904, 22.440, 137.0
12.896392469, 22.440, 133.0
12.922653034, 22.440, 92.0
12.948913600, 22.440, 125.0
12.975174165, 22.440, 120.0
13.001434730, 22.440, 102.0
13.027695296, 22.440, 116.0
13.053955861, 22.440, 101.0
13.080216426, 22.440, 121.0
13.106476992, 22.440, 115.0
13.132737557, 22.440, 148.0
13.158998123, 22.440, 102.0
13.185258688, 22.440, 134.0
13.211519253, 22.440, 111.0
13.237779819, 22.440, 129.0
13.264040384, 22.440, 125.0
13.290300949, 22.440, 135.0
13.316561515, 22.440, 117.0
13.342822080, 22.440, 119.0
13.369082645, 22.440, 124.0
13.395343211, 22.440, 105.0
13.421603776, 22.440, 106.0
13.447864341, 22.440, 114.0
13.474124907, 22.440, 131.0
13.500385472, 22.440, 107.0
13.526646038, 22.440, 110.0
13.552906603, 22.440, 141.0
13.579167168, 22.440, 87.0
13.605427734, 22.440, 119.0
13.631688299, 22.440, 119.0
13.657948864, 22.440, 113.0
13.684209430, 22.440, 118.0
13.710469995, 22.440, 127.0
13.736730560, 22.440, 98.0
13.762991126, 22.440, 112.0
13.789251691, 22.440, 112.0
13.815512256, 22.440, 107.0
13.841772822, 22.440, 115.0
13.868033387, 22.440, 113.0
13.894293952, 22.440, 114.0
13.920554518, 22.440, 109.0
13.946815083, 22.440, 109.0
13.973075649, 22.440, 114.0
13.999336214, 22.440, 99.0
14.025596779, 22.440, 78.0
14.051857345, 22.440, 102.0
14.078117910, 22.440, 103.0
14.104378475, 22.440, 99.0
14.130639041, 22.440, 102.0
14.156899606, 22.440, 106.0
14.183160171, 22.440, 98.0
14.209420737, 22.440, 104.0
14.235681302, 22.440, 105.0
14.261941867, 22.440, 101.0
14.288202433, 22.440, 129.0
14.314462998, 22.440, 118.0
14.340723564, 22.440, 109.0
14.366984129, 22.440, 84.0
14.393244694, 22.440, 104.0
14.419505260, 22.440, 105.0
14.445765825, 22.440, 127.0
14.472026390, 22.440, 88.0
14.498286956, 22.440, 99.0
14.524547521, 22.440, 111.0
14.550808086, 22.440, 94.0
14.577068652, 22.440, 109.0
14.603329217, 22.440, 119.0
14.629589782, 22.440, 108.0
14.655850348, 22.440, 112.0
14.682110913, 22.440, 120.0
14.708371478, 22.440, 104.0
14.734632044, 22.440, 106.0
14.760892609, 22.440, 115.0
14.787153175, 22.440, 135.0
14.813413740, 22.440, 122.0
14.839674305, 22.440, 110.0
14.865934871, 22.440, 137.0
14.892195436, 22.440, 145.0
14.918456001, 22.440, 161.0
14.944716567, 22.440, 215.0
14.970977132, 22.440, 220.0
14.997237697, 22.440, 239.0
15.023498263, 22.440, 299.0
15.049758828, 22.440, 350.0
15.076019393, 22.440, 534.0
15.102279959, 22.440, 855.0
15.128540524, 22.440, 1085.0
15.154801090, 22.440, 1664.0
15.181061655, 22.440, 2161.0
15.207322220, 22.440, 2009.0
15.233582786, 22.440, 1439.0
15.259843351, 22.440, 1225.0
15.286103916, 22.440, 996.0
15.312364482, 22.440, 640.0
15.338625047, 22.440, 353.0
15.364885612, 22.440, 203.0
15.391146178, 22.440, 195.0
15.417406743, 22.440, 160.0
15.443667308, 22.440, 153.0
15.469927874, 22.440, 111.0
15.496188439, 22.440, 114.0
15.522449004, 22.440, 101.0
15.548709570, 22.440, 101.0
15.574970135, 22.440, 82.0
15.601230701, 22.440, 92.0
15.627491266, 22.440, 99.0
15.653751831, 22.440, 87.0
15.680012397, 22.440, 90.0
15.706272962, 22.440, 105.0
15.732533527, 22.440, 92.0
15.758794093, 22.440, 82.0
15.785054658, 22.440, 83.0
15.811315223, 22.440, 92.0
15.837575789, 22.440, 104.0
15.863836354, 22.440, 91.0
15.890096919, 22.440, 83.0
15.916357485, 22.440, 93.0
15.942618050, 22.440, 78.0
15.968878616, 22.440, 83.0
15.995139181, 22.440, 97.0
16.021399746, 22.440, 77.0
16.047660312, 22.440, 75.0
16.073920877, 22.440, 92.0
16.100181442, 22.440, 70.0
16.126442008, 22.440, 84.0
16.152702573, 22.440, 89.0
16.178963138, 22.440, 85.0
16.205223704, 22.440, 87.0
16.231484269, 22.440, 97.0
16.257744834, 22.440, 74.0
16.284005400, 22.440, 110.0
16.310265965, 22.440, 94.0
16.336526530, 22.440, 84.0
16.362787096, 22.440, 68.0
16.389047661, 22.440, 72.0
16.415308227, 22.440, 89.0
16.441568792, 22.440, 91.0
16.467829357, 22.440, 85.0
16.494089923, 22.440, 78.0
16.520350488, 22.440, 101.0
16.546611053, 22.440, 85.0
16.572871619, 22.440, 83.0
16.599132184, 22.440, 87.0
16.625392749, 22.440, 104.0
16.651653315, 22.440, 70.0
16.677913880, 22.440, 88.0
16.704174445, 22.440, 89.0
16.730435011, 22.440, 81.0
16.756695576, 22.440, 87.0
16.782956141, 22.440, 71.0
16.809216707, 22.440, 91.0
16.835477272, 22.440, 90.0
16.861737838, 22.440, 73.0
16.887998403, 22.440, 85.0
16.914258968, 22.440, 81.0
16.940519534, 22.440, 95.0
16.966780099, 22.440, 88.0
16.993040664, 22.440, 95.0
17.019301230, 22.440, 77.0
17.045561795, 22.440, 82.0
17.071822360, 22.440, 93.0
17.098082926, 22.440, 79.0
17.124343491, 22.440, 80.0
17.150604056, 22.440, 90.0
17.176864622, 22.440, 77.0
17.203125187, 22.440, 84.0
17.229385753, 22.440, 95.0
17.255646318, 22.440, 75.0
17.281906883, 22.440, 85.0
17.308167449, 22.440, 97.0
17.334428014, 22.440, 95.0
17.360688579, 22.440, 73.0
17.386949145, 22.440, 84.0
17.413209710, 22.440, 76.0
17.439470275, 22.440, 68.0
17.465730841, 22.440, 68.0
17.491991406, 22.440, 72.0
17.518251971, 22.440, 87.0
17.544512537, 22.440, 82.0
17.570773102, 22.440, 65.0
17.597033667, 22.440, 70.0
17.623294233, 22.440, 82.0
17.649554798, 22.440, 73.0
17.675815364, 22.440, 74.0
17.702075929, 22.440, 76.0
17.728336494, 22.440, 91.0
17.754597060, 22.440, 80.0
17.780857625, 22.440, 71.0
17.807118190, 22.440, 76.0
17.833378756, 22.440, 71.0
17.859639321, 22.440, 83.0
17.885899886, 22.440, 70.0
17.912160452, 22.440, 83.0
17.938421017, 22.440, 66.0
17.964681582, 22.440, 73.0
17.990942148, 22.440, 77.0
18.017202713, 22.440, 87.0
18.043463279, 22.440, 69.0
18.069723844, 22.440, 67.0
18.095984409, 22.440, 71.0
18.122244975, 22.440, 72.0
18.148505540, 22.440, 79.0
18.174766105, 22.440, 79.0
18.201026671, 22.440, 62.0
18.227287236, 22.440, 69.0
18.253547801, 22.440, 65.0
18.279808367, 22.440, 68.0
18.306068932, 22.440, 71.0
18.332329497, 22.440, 62.0
18.358590063, 22.440, 73.0
18.384850628, 22.440, 59.0
18.411111193, 22.440, 64.0
18.437371759, 22.440, 63.0
18.463632324, 22.440, 66.0
18.489892890, 22.440, 66.0
18.516153455, 22.440, 68.0
18.542414020, 22.440, 79.0
18.568674586, 22.440, 80.0
18.594935151, 22.440, 73.0
18.621195716, 22.440, 54.0
18.647456282, 22.440, 69.0
18.673716847, 22.440, 59.0
18.699977412, 22.440, 58.0
18.726237978, 22.440, 57.0
18.752498543, 22.440, 76.0
18.778759108, 22.440, 59.0
18.805019674, 22.440, 76.0
18.831280239, 22.440, 69.0
18.857540805, 22.440, 69.0
18.883801370, 22.440, 81.0
18.910061935, 22.440, 80.0
18.936322501, 22.440, 57.0
18.962583066, 22.440, 74.0
18.988843631, 22.440, 66.0
19.015104197, 22.440, 61.0
19.041364762, 22.440, 75.0
19.067625327, 22.440, 64.0
19.093885893, 22.440, 64.0
19.120146458, 22.440, 72.0
19.146407023, 22.440, 66.0
19.172667589, 22.440, 69.0
19.198928154, 22.440, 55.0
19.225188719, 22.440, 72.0
19.251449285, 22.440, 75.0
19.277709850, 22.440, 68.0
19.303970416, 22.440, 71.0
19.330230981, 22.440, 53.0
19.356491546, 22.440, 51.0
19.382752112, 22.440, 50.0
19.409012677, 22.440, 62.0
19.435273242, 22.440, 73.0
19.461533808, 22.440, 72.0
19.487794373, 22.440, 82.0
19.514054938, 22.440, 75.0
19.540315504, 22.440, 60.0
19.566576069, 22.440, 77.0
19.592836634, 22.440, 69.0
19.619097200, 22.440, 60.0
19.645357765, 22.440, 73.0
19.671618331, 22.440, 62.0
19.697878896, 22.440, 57.0
19.724139461, 22.440, 57.0
19.750400027, 22.440, 54.0
19.776660592, 22.440, 62.0
19.802921157, 22.440, 58.0
19.829181723, 22.440, 71.0
19.855442288, 22.440, 49.0
19.881702853, 22.440, 64.0
19.907963419, 22.440, 70.0
19.934223984, 22.440, 69.0
19.960484549, 22.440, 70.0
19.986745115, 22.440, 57.0
20.013005680, 22.440, 70.0
20.039266245, 22.440, 56.0
20.065526811, 22.440, 57.0
20.091787376, 22.440, 58.0
20.118047942, 22.440, 52.0
20.144308507, 22.440, 56.0
20.170569072, 22.440, 59.0
20.196829638, 22.440, 60.0
20.223090203, 22.440, 48.0
20.249350768, 22.440, 62.0
20.275611334, 22.440, 50.0
20.301871899, 22.440, 59.0
20.328132464, 22.440, 54.0
20.354393030, 22.440, 55.0
