,Omega (degree),Intensity,NORM_omega,NORM
0,7.30025,2.0,-0.16999999999999993,0.0018399264029438822
1,7.30075,3.0,-0.1695000000000002,0.0027598896044158236
2,7.30125,1.0,-0.16900000000000048,0.0009199632014719411
3,7.30175,1.0,-0.16849999999999987,0.0009199632014719411
4,7.30225,0.0,-0.16800000000000015,0.0
5,7.30275,0.0,-0.16750000000000043,0.0
6,7.30325,0.0,-0.16699999999999982,0.0
7,7.30375,1.0,-0.1665000000000001,0.0009199632014719411
8,7.30425,4.0,-0.16600000000000037,0.0036798528058877645
9,7.30475,3.0,-0.16549999999999976,0.0027598896044158236
10,7.30525,1.0,-0.16500000000000004,0.0009199632014719411
11,7.30575,1.0,-0.1645000000000003,0.0009199632014719411
12,7.30625,0.0,-0.1639999999999997,0.0
13,7.30675,2.0,-0.16349999999999998,0.0018399264029438822
14,7.30725,0.0,-0.16300000000000026,0.0
15,7.30775,0.0,-0.16249999999999964,0.0
16,7.30825,1.0,-0.16199999999999992,0.0009199632014719411
17,7.30875,2.0,-0.1615000000000002,0.0018399264029438822
18,7.30925,0.0,-0.16100000000000048,0.0
19,7.30975,0.0,-0.16049999999999986,0.0
20,7.31025,0.0,-0.16000000000000014,0.0
21,7.31075,0.0,-0.15950000000000042,0.0
22,7.31125,0.0,-0.1589999999999998,0.0
23,7.31175,1.0,-0.15850000000000009,0.0009199632014719411
24,7.31225,0.0,-0.15800000000000036,0.0
25,7.31275,0.0,-0.15749999999999975,0.0
26,7.31325,2.0,-0.15700000000000003,0.0018399264029438822
27,7.31375,0.0,-0.1565000000000003,0.0
28,7.31425,1.0,-0.1559999999999997,0.0009199632014719411
29,7.31475,1.0,-0.15549999999999997,0.0009199632014719411
30,7.31525,0.0,-0.15500000000000025,0.0
31,7.31575,1.0,-0.15449999999999964,0.0009199632014719411
32,7.31625,1.0,-0.15399999999999991,0.0009199632014719411
33,7.31675,0.0,-0.1535000000000002,0.0
34,7.31725,3.0,-0.15300000000000047,0.0027598896044158236
35,7.31775,1.0,-0.15249999999999986,0.0009199632014719411
36,7.31825,1.0,-0.15200000000000014,0.0009199632014719411
37,7.31875,0.0,-0.1515000000000004,0.0
38,7.31925,1.0,-0.1509999999999998,0.0009199632014719411
39,7.31975,0.0,-0.15050000000000008,0.0
40,7.32025,1.0,-0.15000000000000036,0.0009199632014719411
41,7.32075,1.0,-0.14949999999999974,0.0009199632014719411
42,7.32125,0.0,-0.14900000000000002,0.0
43,7.32175,2.0,-0.1485000000000003,0.0018399264029438822
44,7.32225,1.0,-0.1479999999999997,0.0009199632014719411
45,7.32275,2.0,-0.14749999999999996,0.0018399264029438822
46,7.32325,6.0,-0.14700000000000024,0.005519779208831647
47,7.32375,2.0,-0.14649999999999963,0.0018399264029438822
48,7.32425,0.0,-0.1459999999999999,0.0
49,7.32475,0.0,-0.14550000000000018,0.0
50,7.32525,1.0,-0.14500000000000046,0.0009199632014719411
51,7.32575,1.0,-0.14449999999999985,0.0009199632014719411
52,7.32625,1.0,-0.14400000000000013,0.0009199632014719411
53,7.32675,3.0,-0.1435000000000004,0.0027598896044158236
54,7.32725,2.0,-0.1429999999999998,0.0018399264029438822
55,7.32775,1.0,-0.14250000000000007,0.0009199632014719411
56,7.32825,0.0,-0.14200000000000035,0.0
57,7.32875,0.0,-0.14149999999999974,0.0
58,7.32925,1.0,-0.14100000000000001,0.0009199632014719411
59,7.32975,1.0,-0.1405000000000003,0.0009199632014719411
60,7.33025,5.0,-0.13999999999999968,0.004599816007359705
61,7.33075,4.0,-0.13949999999999996,0.0036798528058877645
62,7.33125,2.0,-0.13900000000000023,0.0018399264029438822
63,7.33175,0.0,-0.13849999999999962,0.0
64,7.33225,2.0,-0.1379999999999999,0.0018399264029438822
65,7.33275,1.0,-0.13750000000000018,0.0009199632014719411
66,7.33325,0.0,-0.13700000000000045,0.0
67,7.33375,2.0,-0.13649999999999984,0.0018399264029438822
68,7.33425,3.0,-0.13600000000000012,0.0027598896044158236
69,7.33475,1.0,-0.1355000000000004,0.0009199632014719411
70,7.33525,0.0,-0.1349999999999998,0.0
71,7.33575,1.0,-0.13450000000000006,0.0009199632014719411
72,7.33625,3.0,-0.13400000000000034,0.0027598896044158236
73,7.33675,3.0,-0.13349999999999973,0.0027598896044158236
74,7.33725,0.0,-0.133,0.0
75,7.33775,0.0,-0.13250000000000028,0.0
76,7.33825,6.0,-0.13199999999999967,0.005519779208831647
77,7.33875,0.0,-0.13149999999999995,0.0
78,7.33925,1.0,-0.13100000000000023,0.0009199632014719411
79,7.33975,3.0,-0.13049999999999962,0.0027598896044158236
80,7.34025,0.0,-0.1299999999999999,0.0
81,7.34075,1.0,-0.12950000000000017,0.0009199632014719411
82,7.34125,3.0,-0.12900000000000045,0.0027598896044158236
