Created as New Dataset, , 
nm, %T, 
800.0, 51.21, 
799.0, 51.77, 
798.0, 51.24, 
797.0, 51.42, 
796.0, 51.50, 
795.0, 51.04, 
794.0, 51.72, 
793.0, 50.96, 
792.0, 51.60, 
791.0, 51.00, 
790.0, 51.16, 
789.0, 51.20, 
788.0, 51.15, 
787.0, 51.13, 
786.0, 51.28, 
785.0, 51.67, 
784.0, 51.04, 
783.0, 51.10, 
782.0, 51.20, 
781.0, 51.04, 
780.0, 51.06, 
779.0, 51.29, 
778.0, 51.10, 
777.0, 51.04, 
776.0, 50.66, 
775.0, 51.21, 
774.0, 51.23, 
773.0, 51.11, 
772.0, 50.91, 
771.0, 50.78, 
770.0, 50.68, 
769.0, 50.82, 
768.0, 50.51, 
767.0, 50.96, 
766.0, 50.74, 
765.0, 50.73, 
764.0, 50.38, 
763.0, 50.82, 
762.0, 50.66, 
761.0, 50.62, 
760.0, 50.19, 
759.0, 50.72, 
758.0, 50.59, 
757.0, 50.67, 
756.0, 50.73, 
755.0, 50.46, 
754.0, 50.24, 
753.0, 50.66, 
752.0, 50.44, 
751.0, 50.30, 
750.0, 50.35, 
749.0, 50.32, 
748.0, 50.68, 
747.0, 50.59, 
746.0, 50.08, 
745.0, 50.10, 
744.0, 49.96, 
743.0, 50.19, 
742.0, 50.10, 
741.0, 50.14, 
740.0, 50.07, 
739.0, 50.05, 
738.0, 50.03, 
737.0, 50.12, 
736.0, 50.08, 
735.0, 50.05, 
734.0, 50.09, 
733.0, 50.08, 
732.0, 49.88, 
731.0, 49.84, 
730.0, 49.98, 
729.0, 50.10, 
728.0, 49.99, 
727.0, 49.88, 
726.0, 49.80, 
725.0, 50.02, 
724.0, 49.72, 
723.0, 49.68, 
722.0, 49.69, 
721.0, 49.76, 
720.0, 49.63, 
719.0, 49.29, 
718.0, 49.45, 
717.0, 49.52, 
716.0, 49.57, 
715.0, 49.49, 
714.0, 49.15, 
713.0, 49.36, 
712.0, 49.26, 
711.0, 49.08, 
710.0, 49.34, 
709.0, 49.29, 
708.0, 49.17, 
707.0, 49.12, 
706.0, 49.32, 
705.0, 49.12, 
704.0, 49.31, 
703.0, 49.26, 
702.0, 49.18, 
701.0, 49.10, 
700.0, 49.09, 
699.0, 49.13, 
698.0, 49.09, 
697.0, 48.91, 
696.0, 48.94, 
695.0, 49.17, 
694.0, 49.00, 
693.0, 48.66, 
692.0, 48.66, 
691.0, 48.59, 
690.0, 48.70, 
689.0, 46.47, 
688.0, 43.18, 
687.0, 43.28, 
686.0, 43.31, 
685.0, 43.16, 
684.0, 43.17, 
683.0, 43.16, 
682.0, 43.29, 
681.0, 43.35, 
680.0, 43.32, 
679.0, 43.14, 
678.0, 42.95, 
677.0, 42.93, 
676.0, 42.87, 
675.0, 43.02, 
674.0, 42.91, 
673.0, 42.79, 
672.0, 43.06, 
671.0, 42.94, 
670.0, 42.97, 
669.0, 43.07, 
668.0, 43.23, 
667.0, 43.12, 
666.0, 42.96, 
665.0, 42.90, 
664.0, 42.85, 
663.0, 42.78, 
662.0, 42.78, 
661.0, 42.90, 
660.0, 42.89, 
659.0, 42.88, 
658.0, 42.87, 
657.0, 42.70, 
656.0, 42.72, 
655.0, 42.78, 
654.0, 42.73, 
653.0, 42.74, 
652.0, 42.65, 
651.0, 42.77, 
650.0, 42.85, 
649.0, 42.75, 
648.0, 42.73, 
647.0, 42.79, 
646.0, 42.75, 
645.0, 42.60, 
644.0, 42.60, 
643.0, 42.76, 
642.0, 42.60, 
641.0, 42.77, 
640.0, 42.75, 
639.0, 42.53, 
638.0, 42.63, 
637.0, 42.63, 
636.0, 42.66, 
635.0, 43.07, 
634.0, 43.00, 
633.0, 42.82, 
632.0, 42.76, 
631.0, 42.84, 
630.0, 42.75, 
629.0, 42.97, 
628.0, 43.06, 
627.0, 42.79, 
626.0, 42.66, 
625.0, 42.47, 
624.0, 42.73, 
623.0, 42.72, 
622.0, 42.55, 
621.0, 42.74, 
620.0, 42.64, 
619.0, 42.62, 
618.0, 42.69, 
617.0, 42.75, 
616.0, 42.57, 
615.0, 42.57, 
