,Area
0,3.45
1,3.52
2,3.48
3,3.48
4,3.41
5,3.48
6,3.5
7,3.4
8,3.42
9,3.33
10,3.35
11,3.47
12,3.4
13,3.43
14,3.44
15,3.38
16,3.37
17,3.43
18,3.38
19,3.38
20,3.4
21,3.4
22,3.43
23,3.44
24,3.48
25,3.41
26,3.32
27,3.37
28,3.34
29,3.4
30,3.43
31,3.32
32,3.4
33,3.35
34,3.39
35,3.47
36,3.41
37,3.43
38,3.53
39,3.46
40,3.49
41,3.4
42,3.43
43,3.46
44,3.39
45,3.47
46,3.4
47,3.46
48,3.4
49,3.4
50,3.47
51,3.46
52,3.4
53,3.41
54,3.41
55,3.41
56,3.33
57,3.46
58,3.44
59,3.44
60,3.36
61,3.31
62,3.45
63,3.4
64,3.42
65,3.36
66,3.4
67,3.42
68,3.38
69,3.41
70,3.45
