,Omega (degree),Intensity,NORM_omega,NORM
0,34.4601,0.0,-0.11299999999999955,0.0
1,34.4603,0.0,-0.11280000000000001,0.0
2,34.4605,0.0,-0.11259999999999337,0.0
3,34.4607,0.0,-0.11239999999999384,0.0
4,34.4609,0.0,-0.1121999999999943,0.0
5,34.4611,1.0,-0.11199999999999477,0.0006743088334457181
6,34.4613,0.0,-0.11179999999999524,0.0
7,34.4615,0.0,-0.1115999999999957,0.0
8,34.4617,0.0,-0.11139999999999617,0.0
9,34.4619,0.0,-0.11119999999999663,0.0
10,34.4621,0.0,-0.1109999999999971,0.0
11,34.4623,0.0,-0.11079999999999757,0.0
12,34.4625,0.0,-0.11059999999999803,0.0
13,34.4627,0.0,-0.1103999999999985,0.0
14,34.4629,0.0,-0.11019999999999897,0.0
15,34.4631,0.0,-0.10999999999999943,0.0
16,34.4633,0.0,-0.1097999999999999,0.0
17,34.4635,0.0,-0.10959999999999326,0.0
18,34.4637,0.0,-0.10939999999999372,0.0
19,34.4639,0.0,-0.10919999999999419,0.0
20,34.4641,0.0,-0.10899999999999466,0.0
21,34.4643,0.0,-0.10879999999999512,0.0
22,34.4645,0.0,-0.10859999999999559,0.0
23,34.4647,0.0,-0.10839999999999606,0.0
24,34.4649,0.0,-0.10819999999999652,0.0
25,34.4651,0.0,-0.10799999999999699,0.0
26,34.4653,0.0,-0.10779999999999745,0.0
27,34.4655,0.0,-0.10759999999999792,0.0
28,34.4657,0.0,-0.10739999999999839,0.0
29,34.4659,0.0,-0.10719999999999885,0.0
30,34.4661,0.0,-0.10699999999999932,0.0
31,34.4663,0.0,-0.10679999999999978,0.0
32,34.4665,0.0,-0.10659999999999314,0.0
33,34.4667,0.0,-0.10639999999999361,0.0
34,34.4669,0.0,-0.10619999999999408,0.0
35,34.4671,0.0,-0.10599999999999454,0.0
36,34.4673,0.0,-0.10579999999999501,0.0
37,34.4675,0.0,-0.10559999999999548,0.0
38,34.4677,0.0,-0.10539999999999594,0.0
39,34.4679,0.0,-0.10519999999999641,0.0
40,34.4681,0.0,-0.10499999999999687,0.0
41,34.4683,0.0,-0.10479999999999734,0.0
42,34.4685,0.0,-0.1045999999999978,0.0
43,34.4687,0.0,-0.10439999999999827,0.0
44,34.4689,0.0,-0.10419999999999874,0.0
45,34.4691,1.0,-0.1039999999999992,0.0006743088334457181
46,34.4693,0.0,-0.10379999999999967,0.0
47,34.4695,0.0,-0.10360000000000014,0.0
48,34.4697,0.0,-0.1033999999999935,0.0
49,34.4699,0.0,-0.10319999999999396,0.0
50,34.4701,0.0,-0.10299999999999443,0.0
51,34.4703,0.0,-0.1027999999999949,0.0
52,34.4705,0.0,-0.10259999999999536,0.0
53,34.4707,0.0,-0.10239999999999583,0.0
54,34.4709,0.0,-0.1021999999999963,0.0
55,34.4711,0.0,-0.10199999999999676,0.0
56,34.4713,0.0,-0.10179999999999723,0.0
57,34.4715,1.0,-0.10159999999999769,0.0006743088334457181
58,34.4717,0.0,-0.10139999999999816,0.0
59,34.4719,0.0,-0.10119999999999862,0.0
60,34.4721,0.0,-0.10099999999999909,0.0
61,34.4723,0.0,-0.10079999999999956,0.0
62,34.4725,0.0,-0.10060000000000002,0.0
63,34.4727,0.0,-0.10039999999999338,0.0
64,34.4729,0.0,-0.10019999999999385,0.0
65,34.4731,0.0,-0.09999999999999432,0.0
66,34.4733,1.0,-0.09979999999999478,0.0006743088334457181
67,34.4735,0.0,-0.09959999999999525,0.0
68,34.4737,0.0,-0.09939999999999571,0.0
69,34.4739,0.0,-0.09919999999999618,0.0
70,34.4741,0.0,-0.09899999999999665,0.0
71,34.4743,0.0,-0.09879999999999711,0.0
72,34.4745,0.0,-0.09859999999999758,0.0
73,34.4747,0.0,-0.09839999999999804,0.0
74,34.4749,0.0,-0.09819999999999851,0.0
75,34.4751,0.0,-0.09799999999999898,0.0
76,34.4753,0.0,-0.09779999999999944,0.0
77,34.4755,0.0,-0.09759999999999991,0.0
78,34.4757,0.0,-0.09739999999999327,0.0
79,34.4759,0.0,-0.09719999999999374,0.0
80,34.4761,0.0,-0.0969999999999942,0.0
81,34.4763,4.0,-0.09679999999999467,0.0026972353337828725
82,34.4765,0.0,-0.09659999999999513,0.0
83,34.4767,0.0,-0.0963999999999956,0.0
84,34.4769,0.0,-0.09619999999999607,0.0
85,34.4771,0.0,-0.09599999999999653,0.0
86,34.4773,0.0,-0.095799999999997,0.0
87,34.4775,0.0,-0.09559999999999746,0.0
88,34.4777,0.0,-0.09539999999999793,0.0
89,34.4779,0.0,-0.0951999999999984,0.0
90,34.4781,0.0,-0.09499999999999886,0.0
91,34.4783,0.0,-0.09479999999999933,0.0
92,34.4785,0.0,-0.0945999999999998,0.0
93,34.4787,0.0,-0.09439999999999316,0.0
94,34.4789,0.0,-0.09419999999999362,0.0
95,34.4791,0.0,-0.09399999999999409,0.0
96,34.4793,0.0,-0.09379999999999455,0.0
97,34.4795,0.0,-0.09359999999999502,0.0
98,34.4797,0.0,-0.09339999999999549,0.0
99,34.4799,0.0,-0.09319999999999595,0.0
100,34.4801,0.0,-0.09299999999999642,0.0
101,34.4803,0.0,-0.09279999999999688,0.0
102,34.4805,0.0,-0.09259999999999735,0.0
103,34.4807,0.0,-0.09239999999999782,0.0
104,34.4809,0.0,-0.09219999999999828,0.0
105,34.4811,0.0,-0.09199999999999875,0.0
106,34.4813,0.0,-0.09179999999999922,0.0
107,34.4815,0.0,-0.09159999999999968,0.0
108,34.4817,0.0,-0.09140000000000015,0.0
109,34.4819,0.0,-0.09119999999999351,0.0
110,34.4821,0.0,-0.09099999999999397,0.0
111,34.4823,0.0,-0.09079999999999444,0.0
112,34.4825,0.0,-0.0905999999999949,0.0
113,34.4827,0.0,-0.09039999999999537,0.0
114,34.4829,0.0,-0.09019999999999584,0.0
115,34.4831,0.0,-0.0899999999999963,0.0
116,34.4833,0.0,-0.08979999999999677,0.0
117,34.4835,0.0,-0.08959999999999724,0.0
118,34.4837,0.0,-0.0893999999999977,0.0
119,34.4839,0.0,-0.08919999999999817,0.0
120,34.4841,0.0,-0.08899999999999864,0.0
121,34.4843,0.0,-0.0887999999999991,0.0
122,34.4845,0.0,-0.08859999999999957,0.0
123,34.4847,0.0,-0.08840000000000003,0.0
124,34.4849,1.0,-0.0881999999999934,0.0006743088334457181
125,34.4851,0.0,-0.08799999999999386,0.0
126,34.4853,0.0,-0.08779999999999433,0.0
127,34.4855,0.0,-0.0875999999999948,0.0
128,34.4857,0.0,-0.08739999999999526,0.0
129,34.4859,0.0,-0.08719999999999573,0.0
130,34.4861,0.0,-0.08699999999999619,0.0
131,34.4863,0.0,-0.08679999999999666,0.0
132,34.4865,0.0,-0.08659999999999712,0.0
133,34.4867,0.0,-0.08639999999999759,0.0
134,34.4869,0.0,-0.08619999999999806,0.0
135,34.4871,0.0,-0.08599999999999852,0.0
136,34.4873,0.0,-0.08579999999999899,0.0
137,34.4875,0.0,-0.08559999999999945,0.0
138,34.4877,0.0,-0.08539999999999992,0.0
139,34.4879,0.0,-0.08519999999999328,0.0
140,34.4881,0.0,-0.08499999999999375,0.0
141,34.4883,0.0,-0.08479999999999421,0.0
142,34.4885,0.0,-0.08459999999999468,0.0
143,34.4887,0.0,-0.08439999999999515,0.0
144,34.4889,0.0,-0.08419999999999561,0.0
145,34.4891,0.0,-0.08399999999999608,0.0
146,34.4893,0.0,-0.08379999999999654,0.0
147,34.4895,0.0,-0.08359999999999701,0.0
148,34.4897,0.0,-0.08339999999999748,0.0
149,34.4899,0.0,-0.08319999999999794,0.0
150,34.4901,0.0,-0.08299999999999841,0.0
151,34.4903,0.0,-0.08279999999999887,0.0
152,34.4905,0.0,-0.08259999999999934,0.0
153,34.4907,2.0,-0.0823999999999998,0.0013486176668914363
154,34.4909,0.0,-0.08219999999999317,0.0
155,34.4911,0.0,-0.08199999999999363,0.0
156,34.4913,0.0,-0.0817999999999941,0.0
157,34.4915,0.0,-0.08159999999999457,0.0
158,34.4917,0.0,-0.08139999999999503,0.0
159,34.4919,0.0,-0.0811999999999955,0.0
160,34.4921,0.0,-0.08099999999999596,0.0
161,34.4923,0.0,-0.08079999999999643,0.0
162,34.4925,0.0,-0.0805999999999969,0.0
163,34.4927,0.0,-0.08039999999999736,0.0
164,34.4929,0.0,-0.08019999999999783,0.0
165,34.4931,0.0,-0.0799999999999983,0.0
166,34.4933,0.0,-0.07979999999999876,0.0
167,34.4935,0.0,-0.07959999999999923,0.0
168,34.4937,0.0,-0.07939999999999969,0.0
