[Measurement conditions]
Sample identification,
Comment - 1,"Configuration=Chi-Phi-Z stage 240 mm (reflection), Owner=User-1, Creation date=10/23/2015 4:48:55 PM"
Comment - 2,"Goniometer=Theta/Theta; Minimum step size 2Theta:0.0001; Minimum step size Omega:0.0001"
Comment - 3,"Sample stage=Chi-Phi-z stage 240 mm (reflection); Minimum step size Phi:0.01; Minimum step size Chi:0.01; Minimum step size Z:0.001"
Comment - 4,"Diffractometer system=EMPYREAN"
Comment - 5,"Measurement program=C:\PANalytical\Data Collector\Programs\Yuki-Relative_omega-scan.xrdmp, Identifier={714DD9F1-97E5-4756-BC72-863CC68FA22F}"
Comment - 6,"Fine Calibration Offset for 2Theta = 0.0058 deg"
Comment - 7,"Fine Calibration Offset for Omega = 0.2410 deg"
Anode material,Cu
K-Alpha1 wavelength,1.5405980
K-Alpha2 wavelength,1.5444260
Ratio K-Alpha2/K-Alpha1,0.000
Monochromator used,YES
Generator voltage, 40
Tube current, 20
File date and time,21/Oct/2023 10:11
Unit cell,
h k l, 0 0 0
Scan axis,Omega
Scan range,31.135200,31.484700
Scan step size,0.0005000
No. of points, 699
Scan type,CONTINUOUS
2Theta,62.6197
Phi,0.00
Psi,0.00
Z,8.431
Time per step,0.088
[Scan points]
Angle, TimePerStep, Intensity
31.135450, 0.088, 0.0
31.135950, 0.088, 0.0
31.136450, 0.088, 0.0
31.136950, 0.088, 0.0
31.137450, 0.088, 0.0
31.137950, 0.088, 0.0
31.138450, 0.088, 0.0
31.138950, 0.088, 2.0
31.139450, 0.088, 0.0
31.139950, 0.088, 1.0
31.140450, 0.088, 0.0
31.140950, 0.088, 0.0
31.141450, 0.088, 0.0
31.141950, 0.088, 0.0
31.142450, 0.088, 0.0
31.142950, 0.088, 0.0
31.143450, 0.088, 0.0
31.143950, 0.088, 0.0
31.144450, 0.088, 0.0
31.144950, 0.088, 1.0
31.145450, 0.088, 0.0
31.145950, 0.088, 0.0
31.146450, 0.088, 0.0
31.146950, 0.088, 0.0
31.147450, 0.088, 0.0
31.147950, 0.088, 0.0
31.148450, 0.088, 0.0
31.148950, 0.088, 0.0
31.149450, 0.088, 0.0
31.149950, 0.088, 0.0
31.150450, 0.088, 0.0
31.150950, 0.088, 0.0
31.151450, 0.088, 0.0
31.151950, 0.088, 0.0
31.152450, 0.088, 0.0
31.152950, 0.088, 0.0
31.153450, 0.088, 0.0
31.153950, 0.088, 0.0
31.154450, 0.088, 0.0
31.154950, 0.088, 0.0
