[Measurement conditions]
Sample identification,
Comment - 1,"Configuration=Chi-Phi-Z stage 240 mm (reflection), Owner=User-1, Creation date=10/23/2015 4:48:55 PM"
Comment - 2,"Goniometer=Theta/Theta; Minimum step size 2Theta:0.0001; Minimum step size Omega:0.0001"
Comment - 3,"Sample stage=Chi-Phi-z stage 240 mm (reflection); Minimum step size Phi:0.01; Minimum step size Chi:0.01; Minimum step size Z:0.001"
Comment - 4,"Diffractometer system=EMPYREAN"
Comment - 5,"Measurement program=C:\PANalytical\Data Collector\Programs\Yuki-Relative_omega-scan.xrdmp, Identifier={714DD9F1-97E5-4756-BC72-863CC68FA22F}"
Comment - 6,"Fine Calibration Offset for 2Theta = 0.0058 deg"
Comment - 7,"Fine Calibration Offset for Omega = 0.2410 deg"
Anode material,Cu
K-Alpha1 wavelength,1.5405980
K-Alpha2 wavelength,1.5444260
Ratio K-Alpha2/K-Alpha1,0.000
Monochromator used,YES
Generator voltage, 40
Tube current, 20
File date and time,21/Oct/2023 10:04
Unit cell,
h k l, 0 0 0
Scan axis,Omega
Scan range,7.291400,7.640900
Scan step size,0.0005000
No. of points, 699
Scan type,CONTINUOUS
2Theta,14.9321
Phi,0.00
Psi,0.00
Z,8.431
Time per step,0.088
[Scan points]
Angle, TimePerStep, Intensity
7.291650, 0.088, 0.0
7.292150, 0.088, 0.0
7.292650, 0.088, 0.0
7.293150, 0.088, 0.0
7.293650, 0.088, 0.0
7.294150, 0.088, 0.0
7.294650, 0.088, 1.0
7.295150, 0.088, 0.0
7.295650, 0.088, 1.0
7.296150, 0.088, 0.0
7.296650, 0.088, 0.0
7.297150, 0.088, 2.0
7.297650, 0.088, 1.0
7.298150, 0.088, 1.0
7.298650, 0.088, 0.0
7.299150, 0.088, 0.0
7.299650, 0.088, 0.0
7.300150, 0.088, 3.0
7.300650, 0.088, 0.0
7.301150, 0.088, 0.0
7.301650, 0.088, 0.0
7.302150, 0.088, 0.0
7.302650, 0.088, 1.0
7.303150, 0.088, 1.0
7.303650, 0.088, 1.0
7.304150, 0.088, 0.0
7.304650, 0.088, 0.0
7.305150, 0.088, 1.0
7.305650, 0.088, 0.0
7.306150, 0.088, 1.0
7.306650, 0.088, 1.0
7.307150, 0.088, 1.0
7.307650, 0.088, 0.0
