Created as New Dataset, , 
nm, A, 
800.0, 0.1882, 
799.0, 0.1891, 
798.0, 0.1881, 
797.0, 0.1896, 
796.0, 0.1880, 
795.0, 0.1892, 
794.0, 0.1866, 
793.0, 0.1893, 
792.0, 0.1898, 
791.0, 0.1868, 
790.0, 0.1918, 
789.0, 0.1909, 
788.0, 0.1903, 
787.0, 0.1907, 
786.0, 0.1900, 
785.0, 0.1897, 
784.0, 0.1893, 
783.0, 0.1931, 
782.0, 0.1912, 
781.0, 0.1934, 
780.0, 0.1904, 
779.0, 0.1888, 
778.0, 0.1925, 
777.0, 0.1937, 
776.0, 0.1895, 
775.0, 0.1918, 
774.0, 0.1905, 
773.0, 0.1926, 
772.0, 0.1931, 
771.0, 0.1937, 
770.0, 0.1943, 
769.0, 0.1920, 
768.0, 0.1932, 
767.0, 0.1931, 
766.0, 0.1921, 
765.0, 0.1931, 
764.0, 0.1929, 
763.0, 0.1944, 
762.0, 0.1941, 
761.0, 0.1961, 
760.0, 0.1948, 
759.0, 0.1936, 
758.0, 0.1952, 
757.0, 0.1946, 
756.0, 0.1949, 
755.0, 0.1957, 
754.0, 0.1959, 
753.0, 0.1957, 
752.0, 0.1948, 
751.0, 0.1954, 
750.0, 0.1961, 
749.0, 0.1980, 
748.0, 0.1969, 
747.0, 0.1968, 
746.0, 0.1963, 
745.0, 0.1961, 
744.0, 0.1961, 
743.0, 0.1981, 
742.0, 0.1976, 
741.0, 0.1975, 
740.0, 0.1976, 
739.0, 0.1990, 
738.0, 0.2006, 
737.0, 0.1973, 
736.0, 0.2000, 
735.0, 0.2005, 
734.0, 0.1997, 
733.0, 0.2001, 
732.0, 0.2001, 
731.0, 0.2005, 
730.0, 0.2005, 
729.0, 0.2012, 
728.0, 0.2005, 
727.0, 0.2011, 
726.0, 0.2027, 
725.0, 0.2005, 
724.0, 0.2014, 
723.0, 0.2021, 
722.0, 0.2013, 
721.0, 0.2016, 
720.0, 0.2026, 
719.0, 0.2047, 
718.0, 0.2041, 
717.0, 0.2047, 
716.0, 0.2028, 
715.0, 0.2024, 
714.0, 0.2025, 
713.0, 0.2031, 
712.0, 0.2031, 
711.0, 0.2038, 
710.0, 0.2039, 
709.0, 0.2046, 
708.0, 0.2068, 
707.0, 0.2065, 
706.0, 0.2054, 
705.0, 0.2049, 
704.0, 0.2055, 
703.0, 0.2058, 
702.0, 0.2066, 
701.0, 0.2070, 
700.0, 0.2078, 
699.0, 0.2081, 
698.0, 0.2064, 
697.0, 0.2069, 
696.0, 0.2060, 
695.0, 0.2065, 
694.0, 0.2075, 
693.0, 0.2088, 
692.0, 0.2097, 
691.0, 0.2088, 
690.0, 0.2100, 
689.0, 0.2328, 
688.0, 0.2675, 
687.0, 0.2712, 
686.0, 0.2778, 
685.0, 0.2859, 
684.0, 0.2918, 
683.0, 0.2957, 
682.0, 0.2989, 
681.0, 0.3007, 
680.0, 0.3010, 
679.0, 0.3001, 
678.0, 0.3005, 
677.0, 0.3029, 
676.0, 0.3024, 
675.0, 0.3021, 
674.0, 0.3032, 
673.0, 0.3045, 
672.0, 0.3036, 
