Created as New Dataset, , 
nm, A, 
800.0, 0.1767, 
799.0, 0.1750, 
798.0, 0.1760, 
797.0, 0.1764, 
796.0, 0.1758, 
795.0, 0.1770, 
794.0, 0.1736, 
793.0, 0.1766, 
792.0, 0.1769, 
791.0, 0.1755, 
790.0, 0.1784, 
789.0, 0.1761, 
788.0, 0.1751, 
787.0, 0.1771, 
786.0, 0.1782, 
785.0, 0.1777, 
784.0, 0.1787, 
783.0, 0.1773, 
782.0, 0.1763, 
781.0, 0.1784, 
780.0, 0.1778, 
779.0, 0.1762, 
778.0, 0.1779, 
777.0, 0.1779, 
776.0, 0.1775, 
775.0, 0.1785, 
774.0, 0.1766, 
773.0, 0.1783, 
772.0, 0.1787, 
771.0, 0.1800, 
770.0, 0.1796, 
769.0, 0.1778, 
768.0, 0.1819, 
767.0, 0.1794, 
766.0, 0.1793, 
765.0, 0.1812, 
764.0, 0.1801, 
763.0, 0.1804, 
762.0, 0.1796, 
761.0, 0.1827, 
760.0, 0.1810, 
759.0, 0.1803, 
758.0, 0.1809, 
757.0, 0.1805, 
756.0, 0.1814, 
755.0, 0.1801, 
754.0, 0.1809, 
753.0, 0.1818, 
752.0, 0.1812, 
751.0, 0.1824, 
750.0, 0.1833, 
749.0, 0.1840, 
748.0, 0.1807, 
747.0, 0.1824, 
746.0, 0.1831, 
745.0, 0.1849, 
744.0, 0.1851, 
743.0, 0.1838, 
742.0, 0.1843, 
741.0, 0.1840, 
740.0, 0.1841, 
739.0, 0.1866, 
738.0, 0.1859, 
737.0, 0.1838, 
736.0, 0.1861, 
735.0, 0.1851, 
734.0, 0.1867, 
733.0, 0.1871, 
732.0, 0.1850, 
731.0, 0.1859, 
730.0, 0.1864, 
729.0, 0.1876, 
728.0, 0.1869, 
727.0, 0.1870, 
726.0, 0.1880, 
725.0, 0.1876, 
724.0, 0.1893, 
723.0, 0.1885, 
722.0, 0.1875, 
721.0, 0.1874, 
720.0, 0.1876, 
719.0, 0.1884, 
718.0, 0.1889, 
717.0, 0.1896, 
716.0, 0.1885, 
715.0, 0.1884, 
714.0, 0.1888, 
713.0, 0.1880, 
712.0, 0.1889, 
711.0, 0.1895, 
710.0, 0.1893, 
709.0, 0.1906, 
708.0, 0.1916, 
707.0, 0.1919, 
706.0, 0.1910, 
705.0, 0.1902, 
704.0, 0.1909, 
703.0, 0.1907, 
702.0, 0.1910, 
701.0, 0.1916, 
700.0, 0.1926, 
699.0, 0.1929, 
698.0, 0.1921, 
697.0, 0.1926, 
696.0, 0.1929, 
695.0, 0.1931, 
694.0, 0.1934, 
693.0, 0.1936, 
692.0, 0.1945, 
691.0, 0.1950, 
690.0, 0.1965, 
689.0, 0.2164, 
688.0, 0.2452, 
687.0, 0.2488, 
686.0, 0.2550, 
685.0, 0.2621, 
684.0, 0.2676, 
683.0, 0.2723, 
682.0, 0.2746, 
681.0, 0.2751, 
680.0, 0.2758, 
679.0, 0.2752, 
678.0, 0.2747, 
677.0, 0.2761, 
676.0, 0.2774, 
675.0, 0.2785, 
674.0, 0.2791, 
673.0, 0.2789, 
672.0, 0.2789, 
671.0, 0.2793, 
670.0, 0.2800, 
669.0, 0.2806, 
668.0, 0.2812, 
667.0, 0.2814, 
666.0, 0.2805, 
665.0, 0.2812, 
664.0, 0.2826, 
663.0, 0.2833, 
662.0, 0.2838, 
661.0, 0.2857, 
660.0, 0.2872, 
659.0, 0.2861, 
658.0, 0.2874, 
657.0, 0.2886, 
656.0, 0.2886, 
655.0, 0.2888, 
654.0, 0.2887, 
653.0, 0.2903, 
652.0, 0.2899, 
651.0, 0.2893, 
650.0, 0.2894, 
649.0, 0.2898, 
648.0, 0.2914, 
647.0, 0.2906, 
646.0, 0.2911, 
645.0, 0.2924, 
644.0, 0.2931, 
643.0, 0.2939, 
642.0, 0.2923, 
641.0, 0.2916, 
640.0, 0.2922, 
639.0, 0.2922, 
638.0, 0.2932, 
637.0, 0.2937, 
636.0, 0.2948, 
635.0, 0.2940, 
634.0, 0.2943, 
633.0, 0.2951, 
632.0, 0.2961, 
631.0, 0.2958, 
630.0, 0.2943, 
629.0, 0.2931, 
628.0, 0.2938, 
627.0, 0.2958, 
626.0, 0.2970, 
625.0, 0.2975, 
624.0, 0.2973, 
623.0, 0.2982, 
622.0, 0.2986, 
621.0, 0.2993, 
620.0, 0.2980, 
619.0, 0.2990, 
618.0, 0.2985, 
617.0, 0.2971, 
616.0, 0.2973, 
615.0, 0.2972, 
614.0, 0.2999, 
613.0, 0.3009, 
612.0, 0.3015, 
611.0, 0.3004, 
610.0, 0.2993, 
609.0, 0.3008, 
608.0, 0.3020, 
607.0, 0.3018, 
606.0, 0.3035, 
605.0, 0.3038, 
604.0, 0.3032, 
603.0, 0.3025, 
602.0, 0.3033, 
601.0, 0.3064, 
600.0, 0.3045, 
599.0, 0.3064, 
598.0, 0.3058, 
597.0, 0.3063, 
596.0, 0.3067, 
595.0, 0.3070, 
594.0, 0.3079, 
593.0, 0.3082, 
592.0, 0.3098, 
591.0, 0.3090, 
590.0, 0.3104, 
589.0, 0.3118, 
588.0, 0.3114, 
587.0, 0.3138, 
586.0, 0.3180, 
585.0, 0.3180, 
584.0, 0.3198, 
583.0, 0.3239, 
582.0, 0.3277, 
581.0, 0.3332, 
580.0, 0.3372, 
579.0, 0.3472, 
578.0, 0.3557, 
577.0, 0.3673, 
576.0, 0.3822, 
575.0, 0.4044, 
574.0, 0.4284, 
573.0, 0.4610, 
572.0, 0.5040, 
571.0, 0.5552, 
570.0, 0.6199, 
569.0, 0.7069, 
568.0, 0.8133, 
567.0, 0.9536, 
566.0, 1.1295, 
565.0, 1.3596, 
564.0, 1.6470, 
563.0, 1.9325, 
562.0, 2.5509, 
561.0, 3.0466, 
560.0, 2.8267, 
559.0, 3.3018, 
558.0, 2.3083, 
557.0, 3.3041, 
556.0, 10.0000, 
555.0, 2.7428, 
554.0, 10.0000, 
553.0, 2.6604, 
552.0, 10.0000, 
551.0, 3.5990, 
550.0, 10.0000, 
549.0, 10.0000, 
548.0, 2.8576, 
547.0, 3.8968, 
546.0, 3.5974, 
545.0, 4.1982, 
544.0, 3.8956, 
543.0, 3.3519, 
542.0, 2.7804, 
541.0, 2.5530, 
540.0, 3.1942, 
539.0, 10.0000, 
538.0, 3.1509, 
537.0, 2.9117, 
536.0, 2.6223, 
535.0, 3.3446, 
534.0, 3.0136, 
533.0, 10.0000, 
532.0, 10.0000, 
531.0, 10.0000, 
530.0, 3.1893, 
529.0, 3.0118, 
528.0, 2.6957, 
527.0, 3.2320, 
526.0, 3.1456, 
525.0, 3.7093, 
524.0, 2.6159, 
523.0, 2.7543, 
522.0, 10.0000, 
521.0, 2.3529, 
520.0, 2.8061, 
519.0, 3.0394, 
518.0, 2.6062, 
517.0, 2.9081, 
516.0, 2.7745, 
515.0, 3.1467, 
514.0, 3.0760, 
513.0, 10.0000, 
512.0, 10.0000, 
511.0, 10.0000, 
510.0, 10.0000, 
509.0, 10.0000, 
508.0, 10.0000, 
507.0, 10.0000, 
506.0, 10.0000, 
505.0, 10.0000, 
504.0, 10.0000, 
503.0, 10.0000, 
502.0, 10.0000, 
501.0, 10.0000, 
500.0, 10.0000, 
499.0, 10.0000, 
498.0, 10.0000, 
497.0, 10.0000, 
496.0, 10.0000, 
495.0, 10.0000, 
494.0, 10.0000, 
493.0, 10.0000, 
492.0, 10.0000, 
491.0, 10.0000, 
490.0, 10.0000, 
489.0, 10.0000, 
488.0, 10.0000, 
487.0, 10.0000, 
486.0, 3.4149, 
485.0, 3.1128, 
484.0, 2.5288, 
483.0, 2.4639, 
482.0, 2.3373, 
481.0, 2.3042, 
480.0, 2.3002, 
479.0, 2.2441, 
478.0, 2.4806, 
477.0, 2.6334, 
476.0, 3.6991, 
475.0, 2.8740, 
474.0, 2.9697, 
473.0, 2.9683, 
472.0, 2.7413, 
471.0, 3.2699, 
470.0, 10.0000, 
469.0, 10.0000, 
468.0, 4.1716, 
467.0, 3.5693, 
466.0, 10.0000, 
465.0, 10.0000, 
464.0, 10.0000, 
463.0, 10.0000, 
462.0, 10.0000, 
461.0, 10.0000, 
460.0, 10.0000, 
459.0, 10.0000, 
458.0, 10.0000, 
457.0, 10.0000, 
456.0, 10.0000, 
455.0, 10.0000, 
454.0, 10.0000, 
453.0, 10.0000, 
452.0, 10.0000, 
451.0, 10.0000, 
450.0, 10.0000, 
449.0, 10.0000, 
448.0, 10.0000, 
447.0, 10.0000, 
446.0, 10.0000, 
445.0, 10.0000, 
444.0, 10.0000, 
443.0, 2.7661, 
442.0, 2.7824, 
441.0, 10.0000, 
