Created as New Dataset, , 
nm, A, 
800.0, 0.1260, 
799.0, 0.1271, 
798.0, 0.1262, 
797.0, 0.1276, 
796.0, 0.1275, 
795.0, 0.1253, 
794.0, 0.1269, 
793.0, 0.1267, 
792.0, 0.1257, 
791.0, 0.1265, 
790.0, 0.1272, 
789.0, 0.1277, 
788.0, 0.1262, 
787.0, 0.1269, 
786.0, 0.1280, 
785.0, 0.1259, 
784.0, 0.1296, 
783.0, 0.1273, 
782.0, 0.1263, 
781.0, 0.1283, 
780.0, 0.1267, 
779.0, 0.1272, 
778.0, 0.1260, 
777.0, 0.1275, 
776.0, 0.1274, 
775.0, 0.1281, 
774.0, 0.1281, 
773.0, 0.1267, 
772.0, 0.1271, 
771.0, 0.1282, 
770.0, 0.1274, 
769.0, 0.1276, 
768.0, 0.1278, 
767.0, 0.1276, 
766.0, 0.1277, 
765.0, 0.1285, 
764.0, 0.1282, 
763.0, 0.1274, 
762.0, 0.1277, 
761.0, 0.1286, 
760.0, 0.1271, 
759.0, 0.1278, 
758.0, 0.1269, 
757.0, 0.1272, 
756.0, 0.1271, 
755.0, 0.1264, 
754.0, 0.1269, 
753.0, 0.1283, 
752.0, 0.1292, 
751.0, 0.1286, 
750.0, 0.1285, 
749.0, 0.1299, 
748.0, 0.1285, 
747.0, 0.1309, 
746.0, 0.1290, 
745.0, 0.1297, 
744.0, 0.1301, 
743.0, 0.1294, 
742.0, 0.1299, 
741.0, 0.1290, 
740.0, 0.1307, 
739.0, 0.1307, 
738.0, 0.1303, 
737.0, 0.1301, 
736.0, 0.1302, 
735.0, 0.1300, 
734.0, 0.1299, 
733.0, 0.1299, 
732.0, 0.1292, 
731.0, 0.1291, 
730.0, 0.1308, 
729.0, 0.1311, 
728.0, 0.1310, 
727.0, 0.1307, 
726.0, 0.1308, 
725.0, 0.1314, 
724.0, 0.1310, 
723.0, 0.1310, 
722.0, 0.1301, 
721.0, 0.1299, 
720.0, 0.1296, 
719.0, 0.1309, 
718.0, 0.1313, 
717.0, 0.1320, 
716.0, 0.1305, 
715.0, 0.1296, 
714.0, 0.1301, 
713.0, 0.1308, 
712.0, 0.1307, 
711.0, 0.1310, 
710.0, 0.1308, 
709.0, 0.1304, 
708.0, 0.1316, 
707.0, 0.1322, 
706.0, 0.1310, 
705.0, 0.1309, 
704.0, 0.1301, 
703.0, 0.1307, 
702.0, 0.1318, 
701.0, 0.1314, 
700.0, 0.1323, 
699.0, 0.1320, 
698.0, 0.1321, 
697.0, 0.1319, 
696.0, 0.1311, 
695.0, 0.1316, 
