[Measurement conditions]
Sample identification,
Comment - 1,"Configuration=Chi-Phi-Z stage 240 mm (reflection), Owner=User-1, Creation date=10/23/2015 4:48:55 PM"
Comment - 2,"Goniometer=Theta/Theta; Minimum step size 2Theta:0.0001; Minimum step size Omega:0.0001"
Comment - 3,"Sample stage=Chi-Phi-z stage 240 mm (reflection); Minimum step size Phi:0.01; Minimum step size Chi:0.01; Minimum step size Z:0.001"
Comment - 4,"Diffractometer system=EMPYREAN"
Comment - 5,"Measurement program=C:\PANalytical\Data Collector\Programs\Yuki-Relative_omega-scan.xrdmp, Identifier={714DD9F1-97E5-4756-BC72-863CC68FA22F}"
Comment - 6,"Fine Calibration Offset for 2Theta = 0.0058 deg"
Comment - 7,"Fine Calibration Offset for Omega = 0.0419 deg"
Anode material,Cu
K-Alpha1 wavelength,1.5405980
K-Alpha2 wavelength,1.5444260
Ratio K-Alpha2/K-Alpha1,0.000
Monochromator used,YES
Generator voltage, 40
Tube current, 20
File date and time,21/Oct/2023 10:35
Unit cell,
h k l, 0 0 0
Scan axis,Omega
Scan range,7.295300,7.644800
Scan step size,0.0005000
No. of points, 699
Scan type,CONTINUOUS
2Theta,14.9400
Phi,0.00
Psi,0.00
Z,8.469
Time per step,0.088
[Scan points]
Angle, TimePerStep, Intensity
7.295550, 0.088, 0.0
7.296050, 0.088, 0.0
7.296550, 0.088, 0.0
7.297050, 0.088, 0.0
7.297550, 0.088, 0.0
7.298050, 0.088, 0.0
7.298550, 0.088, 1.0
7.299050, 0.088, 0.0
7.299550, 0.088, 0.0
7.300050, 0.088, 1.0
7.300550, 0.088, 0.0
7.301050, 0.088, 0.0
7.301550, 0.088, 0.0
7.302050, 0.088, 0.0
7.302550, 0.088, 0.0
7.303050, 0.088, 2.0
7.303550, 0.088, 0.0
7.304050, 0.088, 0.0
7.304550, 0.088, 0.0
7.305050, 0.088, 0.0
7.305550, 0.088, 0.0
7.306050, 0.088, 0.0
7.306550, 0.088, 0.0
7.307050, 0.088, 1.0
7.307550, 0.088, 1.0
7.308050, 0.088, 0.0
7.308550, 0.088, 0.0
7.309050, 0.088, 1.0
7.309550, 0.088, 0.0
7.310050, 0.088, 0.0
7.310550, 0.088, 0.0
7.311050, 0.088, 0.0
7.311550, 0.088, 2.0
7.312050, 0.088, 1.0
7.312550, 0.088, 2.0
7.313050, 0.088, 0.0
7.313550, 0.088, 0.0
7.314050, 0.088, 0.0
7.314550, 0.088, 0.0
7.315050, 0.088, 1.0
7.315550, 0.088, 2.0
