[Measurement conditions]
Sample identification,
Comment - 1,"Configuration=Chi-Phi-Z stage 240 mm (reflection), Owner=User-1, Creation date=10/23/2015 4:48:55 PM"
Comment - 2,"Goniometer=Theta/Theta; Minimum step size 2Theta:0.0001; Minimum step size Omega:0.0001"
Comment - 3,"Sample stage=Chi-Phi-z stage 240 mm (reflection); Minimum step size Phi:0.01; Minimum step size Chi:0.01; Minimum step size Z:0.001"
Comment - 4,"Diffractometer system=EMPYREAN"
Comment - 5,"Measurement program=C:\PANalytical\Data Collector\Programs\Yuki-Relative_omega-scan.xrdmp, Identifier={714DD9F1-97E5-4756-BC72-863CC68FA22F}"
Comment - 6,"Fine Calibration Offset for 2Theta = 0.0058 deg"
Comment - 7,"Fine Calibration Offset for Omega = 0.2410 deg"
Anode material,Cu
K-Alpha1 wavelength,1.5405980
K-Alpha2 wavelength,1.5444260
Ratio K-Alpha2/K-Alpha1,0.000
Monochromator used,YES
Generator voltage, 40
Tube current, 20
File date and time,21/Oct/2023 10:09
Unit cell,
h k l, 0 0 0
Scan axis,Omega
Scan range,22.764500,23.114000
Scan step size,0.0005000
No. of points, 699
Scan type,CONTINUOUS
2Theta,45.8784
Phi,0.00
Psi,0.00
Z,8.431
Time per step,0.088
[Scan points]
Angle, TimePerStep, Intensity
22.764750, 0.088, 0.0
22.765250, 0.088, 0.0
22.765750, 0.088, 0.0
22.766250, 0.088, 0.0
22.766750, 0.088, 0.0
22.767250, 0.088, 1.0
22.767750, 0.088, 0.0
22.768250, 0.088, 0.0
22.768750, 0.088, 0.0
22.769250, 0.088, 0.0
22.769750, 0.088, 0.0
22.770250, 0.088, 0.0
22.770750, 0.088, 0.0
22.771250, 0.088, 0.0
22.771750, 0.088, 0.0
22.772250, 0.088, 0.0
22.772750, 0.088, 0.0
22.773250, 0.088, 0.0
22.773750, 0.088, 0.0
22.774250, 0.088, 0.0
22.774750, 0.088, 0.0
22.775250, 0.088, 0.0
22.775750, 0.088, 0.0
22.776250, 0.088, 0.0
22.776750, 0.088, 0.0
22.777250, 0.088, 0.0
22.777750, 0.088, 0.0
22.778250, 0.088, 0.0
22.778750, 0.088, 0.0
22.779250, 0.088, 0.0
22.779750, 0.088, 0.0
22.780250, 0.088, 0.0
22.780750, 0.088, 0.0
22.781250, 0.088, 0.0
22.781750, 0.088, 0.0
22.782250, 0.088, 0.0
22.782750, 0.088, 0.0
22.783250, 0.088, 0.0
22.783750, 0.088, 0.0
22.784250, 0.088, 2.0
22.784750, 0.088, 0.0
22.785250, 0.088, 0.0
22.785750, 0.088, 0.0
22.786250, 0.088, 0.0
22.786750, 0.088, 1.0
22.787250, 0.088, 1.0
22.787750, 0.088, 0.0
22.788250, 0.088, 0.0
22.788750, 0.088, 0.0
22.789250, 0.088, 0.0
22.789750, 0.088, 0.0
22.790250, 0.088, 0.0
22.790750, 0.088, 1.0
22.791250, 0.088, 0.0
22.791750, 0.088, 0.0
22.792250, 0.088, 0.0
22.792750, 0.088, 0.0
22.793250, 0.088, 0.0
22.793750, 0.088, 0.0
22.794250, 0.088, 0.0
22.794750, 0.088, 0.0
22.795250, 0.088, 0.0
22.795750, 0.088, 0.0
22.796250, 0.088, 1.0
22.796750, 0.088, 0.0
22.797250, 0.088, 0.0
22.797750, 0.088, 0.0
22.798250, 0.088, 0.0
22.798750, 0.088, 0.0
22.799250, 0.088, 0.0
22.799750, 0.088, 0.0
22.800250, 0.088, 1.0
22.800750, 0.088, 1.0
22.801250, 0.088, 1.0
22.801750, 0.088, 0.0
22.802250, 0.088, 0.0
22.802750, 0.088, 0.0
22.803250, 0.088, 0.0
22.803750, 0.088, 0.0
22.804250, 0.088, 0.0
22.804750, 0.088, 0.0
22.805250, 0.088, 0.0
22.805750, 0.088, 0.0
22.806250, 0.088, 0.0
22.806750, 0.088, 0.0
22.807250, 0.088, 0.0
22.807750, 0.088, 0.0
22.808250, 0.088, 0.0
22.808750, 0.088, 0.0
22.809250, 0.088, 0.0
22.809750, 0.088, 0.0
22.810250, 0.088, 0.0
22.810750, 0.088, 0.0
22.811250, 0.088, 0.0
22.811750, 0.088, 0.0
22.812250, 0.088, 0.0
22.812750, 0.088, 2.0
22.813250, 0.088, 0.0
22.813750, 0.088, 0.0
22.814250, 0.088, 0.0
22.814750, 0.088, 0.0
22.815250, 0.088, 0.0
22.815750, 0.088, 0.0
22.816250, 0.088, 0.0
22.816750, 0.088, 0.0
22.817250, 0.088, 0.0
22.817750, 0.088, 0.0
22.818250, 0.088, 0.0
22.818750, 0.088, 1.0
22.819250, 0.088, 0.0
22.819750, 0.088, 0.0
22.820250, 0.088, 0.0
22.820750, 0.088, 0.0
22.821250, 0.088, 0.0
22.821750, 0.088, 2.0
22.822250, 0.088, 0.0
22.822750, 0.088, 0.0
22.823250, 0.088, 0.0
22.823750, 0.088, 0.0
22.824250, 0.088, 0.0
22.824750, 0.088, 0.0
22.825250, 0.088, 2.0
22.825750, 0.088, 0.0
22.826250, 0.088, 0.0
22.826750, 0.088, 0.0
22.827250, 0.088, 0.0
22.827750, 0.088, 0.0
22.828250, 0.088, 0.0
22.828750, 0.088, 1.0
22.829250, 0.088, 0.0
22.829750, 0.088, 0.0
22.830250, 0.088, 2.0
22.830750, 0.088, 0.0
22.831250, 0.088, 0.0
22.831750, 0.088, 0.0
22.832250, 0.088, 0.0
22.832750, 0.088, 0.0
22.833250, 0.088, 0.0
22.833750, 0.088, 0.0
22.834250, 0.088, 1.0
22.834750, 0.088, 0.0
22.835250, 0.088, 0.0
22.835750, 0.088, 0.0
22.836250, 0.088, 1.0
22.836750, 0.088, 0.0
22.837250, 0.088, 0.0
22.837750, 0.088, 0.0
22.838250, 0.088, 0.0
22.838750, 0.088, 0.0
22.839250, 0.088, 0.0
22.839750, 0.088, 0.0
22.840250, 0.088, 0.0
22.840750, 0.088, 0.0
22.841250, 0.088, 0.0
22.841750, 0.088, 0.0
22.842250, 0.088, 2.0
22.842750, 0.088, 0.0
22.843250, 0.088, 0.0
22.843750, 0.088, 0.0
22.844250, 0.088, 0.0
22.844750, 0.088, 0.0
22.845250, 0.088, 0.0
22.845750, 0.088, 0.0
22.846250, 0.088, 1.0
22.846750, 0.088, 0.0
22.847250, 0.088, 1.0
22.847750, 0.088, 0.0
22.848250, 0.088, 0.0
22.848750, 0.088, 0.0
22.849250, 0.088, 1.0
22.849750, 0.088, 0.0
22.850250, 0.088, 2.0
22.850750, 0.088, 0.0
22.851250, 0.088, 0.0
22.851750, 0.088, 0.0
22.852250, 0.088, 0.0
22.852750, 0.088, 0.0
22.853250, 0.088, 0.0
22.853750, 0.088, 0.0
22.854250, 0.088, 0.0
22.854750, 0.088, 0.0
22.855250, 0.088, 0.0
22.855750, 0.088, 0.0
22.856250, 0.088, 0.0
22.856750, 0.088, 0.0
22.857250, 0.088, 0.0
22.857750, 0.088, 1.0
22.858250, 0.088, 0.0
22.858750, 0.088, 0.0
22.859250, 0.088, 0.0
22.859750, 0.088, 0.0
22.860250, 0.088, 0.0
22.860750, 0.088, 0.0
22.861250, 0.088, 0.0
22.861750, 0.088, 0.0
22.862250, 0.088, 0.0
22.862750, 0.088, 0.0
22.863250, 0.088, 0.0
22.863750, 0.088, 0.0
22.864250, 0.088, 0.0
22.864750, 0.088, 0.0
22.865250, 0.088, 0.0
22.865750, 0.088, 0.0
22.866250, 0.088, 0.0
22.866750, 0.088, 0.0
22.867250, 0.088, 0.0
22.867750, 0.088, 1.0
22.868250, 0.088, 1.0
22.868750, 0.088, 0.0
22.869250, 0.088, 0.0
22.869750, 0.088, 0.0
22.870250, 0.088, 0.0
22.870750, 0.088, 0.0
22.871250, 0.088, 0.0
22.871750, 0.088, 0.0
