Created as New Dataset, , 
nm, A, 
800.0, 0.2588, 
799.0, 0.2604, 
798.0, 0.2622, 
797.0, 0.2616, 
796.0, 0.2617, 
795.0, 0.2618, 
794.0, 0.2609, 
793.0, 0.2597, 
792.0, 0.2608, 
791.0, 0.2621, 
790.0, 0.2640, 
789.0, 0.2620, 
788.0, 0.2632, 
787.0, 0.2646, 
786.0, 0.2641, 
785.0, 0.2648, 
784.0, 0.2667, 
783.0, 0.2654, 
782.0, 0.2644, 
781.0, 0.2653, 
780.0, 0.2638, 
779.0, 0.2653, 
778.0, 0.2648, 
777.0, 0.2669, 
776.0, 0.2653, 
775.0, 0.2680, 
774.0, 0.2653, 
773.0, 0.2672, 
772.0, 0.2696, 
771.0, 0.2682, 
770.0, 0.2696, 
769.0, 0.2663, 
768.0, 0.2682, 
767.0, 0.2696, 
766.0, 0.2686, 
765.0, 0.2707, 
764.0, 0.2698, 
763.0, 0.2706, 
762.0, 0.2701, 
761.0, 0.2722, 
760.0, 0.2719, 
759.0, 0.2728, 
758.0, 0.2720, 
757.0, 0.2706, 
756.0, 0.2728, 
755.0, 0.2707, 
754.0, 0.2730, 
753.0, 0.2729, 
752.0, 0.2742, 
751.0, 0.2743, 
750.0, 0.2737, 
749.0, 0.2741, 
748.0, 0.2741, 
747.0, 0.2772, 
746.0, 0.2760, 
745.0, 0.2776, 
744.0, 0.2776, 
743.0, 0.2759, 
742.0, 0.2759, 
741.0, 0.2756, 
740.0, 0.2781, 
739.0, 0.2787, 
738.0, 0.2800, 
737.0, 0.2800, 
736.0, 0.2813, 
735.0, 0.2816, 
734.0, 0.2798, 
733.0, 0.2797, 
732.0, 0.2799, 
731.0, 0.2816, 
730.0, 0.2823, 
729.0, 0.2829, 
728.0, 0.2835, 
727.0, 0.2837, 
726.0, 0.2862, 
725.0, 0.2853, 
724.0, 0.2852, 
723.0, 0.2842, 
722.0, 0.2830, 
721.0, 0.2836, 
720.0, 0.2851, 
719.0, 0.2859, 
718.0, 0.2857, 
717.0, 0.2865, 
716.0, 0.2876, 
715.0, 0.2879, 
714.0, 0.2886, 
713.0, 0.2887, 
712.0, 0.2875, 
711.0, 0.2875, 
710.0, 0.2877, 
709.0, 0.2898, 
708.0, 0.2921, 
707.0, 0.2907, 
706.0, 0.2900, 
705.0, 0.2906, 
704.0, 0.2904, 
703.0, 0.2911, 
702.0, 0.2917, 
701.0, 0.2918, 
700.0, 0.2933, 
699.0, 0.2947, 
698.0, 0.2937, 
697.0, 0.2943, 
696.0, 0.2949, 
695.0, 0.2944, 
694.0, 0.2955, 
693.0, 0.2965, 
692.0, 0.2983, 
691.0, 0.2985, 
690.0, 0.2981, 
689.0, 0.3286, 
688.0, 0.3753, 
687.0, 0.3785, 
686.0, 0.3851, 
685.0, 0.3927, 
684.0, 0.3987, 
683.0, 0.4035, 
682.0, 0.4059, 
681.0, 0.4060, 
680.0, 0.4055, 
679.0, 0.4061, 
678.0, 0.4065, 
677.0, 0.4079, 
676.0, 0.4077, 
675.0, 0.4066, 
674.0, 0.4060, 
673.0, 0.4065, 
672.0, 0.4078, 
671.0, 0.4071, 
670.0, 0.4065, 
669.0, 0.4068, 
668.0, 0.4077, 
667.0, 0.4088, 
666.0, 0.4088, 
665.0, 0.4096, 
664.0, 0.4100, 
663.0, 0.4106, 
662.0, 0.4111, 
661.0, 0.4110, 
660.0, 0.4135, 
659.0, 0.4124, 
658.0, 0.4131, 
657.0, 0.4178, 
656.0, 0.4174, 
655.0, 0.4161, 
654.0, 0.4168, 
653.0, 0.4181, 
652.0, 0.4169, 
651.0, 0.4174, 
650.0, 0.4179, 
649.0, 0.4174, 
648.0, 0.4180, 
647.0, 0.4175, 
646.0, 0.4157, 
645.0, 0.4157, 
644.0, 0.4183, 
643.0, 0.4191, 
642.0, 0.4166, 
641.0, 0.4157, 
640.0, 0.4175, 
639.0, 0.4174, 
638.0, 0.4176, 
637.0, 0.4189, 
636.0, 0.4210, 
635.0, 0.4203, 
634.0, 0.4188, 
633.0, 0.4207, 
632.0, 0.4210, 
631.0, 0.4189, 
630.0, 0.4205, 
629.0, 0.4201, 
628.0, 0.4203, 
627.0, 0.4191, 
626.0, 0.4202, 
625.0, 0.4207, 
624.0, 0.4209, 
623.0, 0.4212, 
622.0, 0.4218, 
621.0, 0.4208, 
620.0, 0.4229, 
619.0, 0.4227, 
618.0, 0.4228, 
617.0, 0.4221, 
616.0, 0.4230, 
615.0, 0.4222, 
614.0, 0.4240, 
613.0, 0.4259, 
612.0, 0.4259, 
611.0, 0.4251, 
610.0, 0.4256, 
609.0, 0.4282, 
608.0, 0.4262, 
607.0, 0.4271, 
606.0, 0.4294, 
605.0, 0.4298, 
604.0, 0.4310, 
603.0, 0.4318, 
602.0, 0.4328, 
601.0, 0.4329, 
600.0, 0.4310, 
599.0, 0.4356, 
598.0, 0.4346, 
597.0, 0.4376, 
596.0, 0.4388, 
595.0, 0.4384, 
594.0, 0.4390, 
593.0, 0.4403, 
592.0, 0.4413, 
591.0, 0.4420, 
590.0, 0.4436, 
589.0, 0.4444, 
588.0, 0.4464, 
587.0, 0.4482, 
586.0, 0.4532, 
585.0, 0.4540, 
584.0, 0.4579, 
583.0, 0.4617, 
582.0, 0.4671, 
581.0, 0.4733, 
580.0, 0.4785, 
579.0, 0.4891, 
578.0, 0.5016, 
577.0, 0.5153, 
576.0, 0.5336, 
575.0, 0.5554, 
574.0, 0.5858, 
573.0, 0.6207, 
572.0, 0.6698, 
571.0, 0.7348, 
570.0, 0.8038, 
569.0, 0.9110, 
568.0, 1.0313, 
567.0, 1.1925, 
566.0, 1.4009, 
565.0, 1.6537, 
564.0, 1.9365, 
563.0, 2.3291, 
562.0, 3.0868, 
561.0, 10.0000, 
560.0, 2.7018, 
559.0, 3.6029, 
558.0, 2.4656, 
557.0, 10.0000, 
556.0, 10.0000, 
555.0, 3.0912, 
554.0, 10.0000, 
553.0, 2.4121, 
552.0, 3.5035, 
551.0, 2.9000, 
550.0, 3.4221, 
549.0, 2.6552, 
548.0, 2.3739, 
547.0, 10.0000, 
546.0, 2.4919, 
545.0, 2.6667, 
544.0, 2.7653, 
543.0, 2.7656, 
542.0, 10.0000, 
541.0, 2.8347, 
540.0, 10.0000, 
539.0, 3.1514, 
538.0, 2.3794, 
537.0, 10.0000, 
536.0, 10.0000, 
535.0, 2.4415, 
534.0, 4.1897, 
533.0, 10.0000, 
532.0, 10.0000, 
531.0, 2.7123, 
530.0, 2.9106, 
529.0, 3.4889, 
528.0, 2.3610, 
527.0, 3.0402, 
526.0, 2.4880, 
525.0, 2.8062, 
524.0, 2.6927, 
523.0, 2.9069, 
522.0, 10.0000, 
521.0, 2.5041, 
520.0, 3.8852, 
519.0, 2.5727, 
518.0, 2.4700, 
517.0, 10.0000, 
516.0, 3.3444, 
515.0, 2.8658, 
514.0, 2.8889, 
513.0, 10.0000, 
512.0, 10.0000, 
511.0, 3.0171, 
510.0, 10.0000, 
509.0, 10.0000, 
508.0, 10.0000, 
507.0, 10.0000, 
506.0, 10.0000, 
