Created as New Dataset, , 
nm, A, 
800.0, 0.4419, 
799.0, 0.4394, 
798.0, 0.4434, 
797.0, 0.4404, 
796.0, 0.4438, 
795.0, 0.4446, 
794.0, 0.4422, 
793.0, 0.4441, 
792.0, 0.4418, 
791.0, 0.4435, 
790.0, 0.4463, 
789.0, 0.4432, 
788.0, 0.4450, 
787.0, 0.4442, 
786.0, 0.4488, 
785.0, 0.4469, 
784.0, 0.4459, 
783.0, 0.4474, 
782.0, 0.4448, 
781.0, 0.4502, 
780.0, 0.4474, 
779.0, 0.4484, 
778.0, 0.4506, 
777.0, 0.4488, 
776.0, 0.4494, 
775.0, 0.4527, 
774.0, 0.4505, 
773.0, 0.4527, 
772.0, 0.4501, 
771.0, 0.4529, 
770.0, 0.4516, 
769.0, 0.4494, 
768.0, 0.4543, 
767.0, 0.4513, 
766.0, 0.4528, 
765.0, 0.4531, 
764.0, 0.4554, 
763.0, 0.4556, 
762.0, 0.4539, 
761.0, 0.4573, 
760.0, 0.4550, 
759.0, 0.4551, 
758.0, 0.4572, 
757.0, 0.4538, 
756.0, 0.4563, 
755.0, 0.4555, 
754.0, 0.4577, 
753.0, 0.4605, 
752.0, 0.4563, 
751.0, 0.4561, 
750.0, 0.4561, 
749.0, 0.4598, 
748.0, 0.4586, 
747.0, 0.4604, 
746.0, 0.4615, 
745.0, 0.4610, 
744.0, 0.4621, 
743.0, 0.4638, 
742.0, 0.4607, 
741.0, 0.4630, 
740.0, 0.4638, 
739.0, 0.4646, 
738.0, 0.4652, 
737.0, 0.4652, 
736.0, 0.4676, 
735.0, 0.4660, 
734.0, 0.4658, 
733.0, 0.4649, 
732.0, 0.4653, 
731.0, 0.4661, 
730.0, 0.4645, 
729.0, 0.4682, 
728.0, 0.4679, 
727.0, 0.4681, 
726.0, 0.4698, 
725.0, 0.4695, 
724.0, 0.4701, 
723.0, 0.4686, 
722.0, 0.4711, 
721.0, 0.4708, 
720.0, 0.4695, 
719.0, 0.4719, 
718.0, 0.4711, 
717.0, 0.4733, 
716.0, 0.4737, 
715.0, 0.4710, 
714.0, 0.4719, 
713.0, 0.4724, 
712.0, 0.4751, 
711.0, 0.4743, 
710.0, 0.4741, 
709.0, 0.4763, 
708.0, 0.4771, 
707.0, 0.4767, 
706.0, 0.4753, 
705.0, 0.4768, 
704.0, 0.4772, 
703.0, 0.4776, 
702.0, 0.4793, 
701.0, 0.4800, 
700.0, 0.4813, 
699.0, 0.4810, 
698.0, 0.4797, 
697.0, 0.4807, 
696.0, 0.4809, 
695.0, 0.4818, 
694.0, 0.4830, 
693.0, 0.4821, 
692.0, 0.4820, 
691.0, 0.4823, 
690.0, 0.4844, 
689.0, 0.5216, 
688.0, 0.5746, 
687.0, 0.5725, 
686.0, 0.5702, 
685.0, 0.5678, 
684.0, 0.5602, 
683.0, 0.5470, 
682.0, 0.5353, 
681.0, 0.5316, 
680.0, 0.5282, 
679.0, 0.5176, 
678.0, 0.5053, 
677.0, 0.4985, 
676.0, 0.4956, 
675.0, 0.4925, 
674.0, 0.4824, 
673.0, 0.4759, 
672.0, 0.4756, 
671.0, 0.4750, 
670.0, 0.4760, 
669.0, 0.4752, 
668.0, 0.4751, 
667.0, 0.4747, 
666.0, 0.4756, 
665.0, 0.4795, 
664.0, 0.4812, 
663.0, 0.4804, 
662.0, 0.4796, 
661.0, 0.4828, 
660.0, 0.4859, 
659.0, 0.4862, 
658.0, 0.4872, 
657.0, 0.4894, 
656.0, 0.4901, 
655.0, 0.4895, 
654.0, 0.4894, 
653.0, 0.4937, 
652.0, 0.4931, 
651.0, 0.4922, 
650.0, 0.4945, 
649.0, 0.4952, 
648.0, 0.4963, 
647.0, 0.4954, 
646.0, 0.4956, 
645.0, 0.4958, 
644.0, 0.4980, 
643.0, 0.5000, 
642.0, 0.4991, 
641.0, 0.4990, 
640.0, 0.5002, 
639.0, 0.5017, 
638.0, 0.5035, 
637.0, 0.5028, 
636.0, 0.5046, 
635.0, 0.5028, 
634.0, 0.5034, 
633.0, 0.5067, 
632.0, 0.5070, 
631.0, 0.5091, 
630.0, 0.5067, 
629.0, 0.5066, 
628.0, 0.5087, 
627.0, 0.5091, 
626.0, 0.5101, 
625.0, 0.5094, 
624.0, 0.5096, 
623.0, 0.5110, 
622.0, 0.5146, 
621.0, 0.5152, 
620.0, 0.5138, 
619.0, 0.5168, 
618.0, 0.5172, 
617.0, 0.5157, 
616.0, 0.5174, 
615.0, 0.5162, 
614.0, 0.5178, 
613.0, 0.5221, 
612.0, 0.5227, 
611.0, 0.5220, 
610.0, 0.5215, 
609.0, 0.5236, 
608.0, 0.5235, 
607.0, 0.5236, 
606.0, 0.5282, 
605.0, 0.5271, 
604.0, 0.5269, 
603.0, 0.5280, 
602.0, 0.5295, 
601.0, 0.5320, 
600.0, 0.5303, 
599.0, 0.5338, 
598.0, 0.5332, 
597.0, 0.5358, 
596.0, 0.5369, 
595.0, 0.5365, 
594.0, 0.5386, 
593.0, 0.5395, 
592.0, 0.5424, 
591.0, 0.5420, 
590.0, 0.5416, 
589.0, 0.5439, 
588.0, 0.5450, 
587.0, 0.5475, 
586.0, 0.5531, 
585.0, 0.5562, 
584.0, 0.5569, 
583.0, 0.5577, 
582.0, 0.5634, 
581.0, 0.5734, 
580.0, 0.5748, 
579.0, 0.5839, 
578.0, 0.5937, 
577.0, 0.6060, 
576.0, 0.6214, 
575.0, 0.6387, 
574.0, 0.6638, 
573.0, 0.6927, 
572.0, 0.7334, 
571.0, 0.7822, 
570.0, 0.8396, 
569.0, 0.9247, 
568.0, 1.0219, 
567.0, 1.1517, 
566.0, 1.3113, 
565.0, 1.5023, 
564.0, 1.8391, 
