Time (s),Current (A),Voltage (V)
0.3402298000000883,5.535768e-07,4.990347
0.8437026000010519,6.221118e-07,4.990338
1.3587557000009838,6.828034e-07,4.990335
1.862402300001122,7.370641e-07,4.990336
2.365390099999786,7.872347e-07,4.990343
2.8695639000015944,8.345341e-07,4.990338
3.3724230000007083,8.788852e-07,4.990346
3.886853300000439,9.227264e-07,4.990345
4.391789500001323,9.629346e-07,4.990345
4.895775400000275,1.001207e-06,4.990335
5.397585000000618,1.037137e-06,4.990338
6.193311300001369,1.085836e-06,4.990336
6.634254600001441,1.115049e-06,4.990345
7.1444711000003736,1.145599e-06,4.99034
7.645789400001377,1.173847e-06,4.990334
8.1507586000007,1.200478e-06,4.990339
8.654586700000436,1.225419e-06,4.990335
9.16986160000124,1.249399e-06,4.990339
9.671977200001493,1.295102e-06,4.990339
10.172819000001255,1.330253e-06,4.990337
10.687370000001465,1.361635e-06,4.990341
11.194631100001061,1.38872e-06,4.990342
11.698351300001377,1.412925e-06,4.990348
12.202517700001408,1.435804e-06,4.990339
12.716862300001594,1.455614e-06,4.990344
13.23087200000009,1.474054e-06,4.990339
13.734859800000777,1.491716e-06,4.990344
14.235009400001218,1.507146e-06,4.990344
14.740874500001155,1.522326e-06,4.990346
15.242013000000952,1.536588e-06,4.990342
15.744254000001092,1.549074e-06,4.99035
16.24800900000082,1.560391e-06,4.990338
16.753203800000847,1.57037e-06,4.990343
17.26660080000147,1.581593e-06,4.990332
17.769270300001153,1.590757e-06,4.99034
18.269275200000266,1.59916e-06,4.990336
18.775841600001513,1.607248e-06,4.99034
19.280084900001384,1.614081e-06,4.990335
19.785723800001506,1.619506e-06,4.990338
20.28641830000015,1.624937e-06,4.990335
20.788961300000665,1.629967e-06,4.990342
21.292132700000366,1.634866e-06,4.990342
21.79609250000067,1.640446e-06,4.990347
22.31087650000154,1.645986e-06,4.990354
22.812226900001406,1.651466e-06,4.990352
23.327324100000624,1.655397e-06,4.990345
23.828108100000463,1.658999e-06,4.990365
24.342605800000456,1.663274e-06,4.990354
24.844228300000395,1.667037e-06,4.990348
25.35706879999998,1.671782e-06,4.990341
25.873895900000207,1.675406e-06,4.990343
26.387248800001544,1.677752e-06,4.990337
26.901941900001475,1.679746e-06,4.990339
27.402243000000453,1.680477e-06,4.990344
27.917614900001354,1.681233e-06,4.990343
28.4200890000011,1.684272e-06,4.990343
28.93541440000081,1.686207e-06,4.990335
29.43702740000117,1.689087e-06,4.990346
29.942214700000477,1.690589e-06,4.990335
30.44625040000028,1.691967e-06,4.990341
30.94774049999978,1.692571e-06,4.990339
31.46353950000048,1.692575e-06,4.990342
31.964655400000993,1.69311e-06,4.990348
32.46592419999979,1.692112e-06,4.990345
32.968227400000615,1.692857e-06,4.990345
33.47077720000016,1.693995e-06,4.99035
33.974995800001125,1.694977e-06,4.990343
34.47574930000155,1.69279e-06,4.99034
34.97919410000031,1.692557e-06,4.990348
35.495768300001146,1.691969e-06,4.990348
35.997084800001176,1.691677e-06,4.99035
36.49963480000042,1.692305e-06,4.990347
37.012912700000015,1.692587e-06,4.990345
37.514207900001566,1.691331e-06,4.990355
38.01643520000107,1.691219e-06,4.99035
38.51841490000152,1.690722e-06,4.990356
39.03431310000087,1.688833e-06,4.990353
39.550005000000965,1.688947e-06,4.990348
40.05139130000134,1.689681e-06,4.990353
40.55351289999999,1.689707e-06,4.990352
41.06851480000114,1.687882e-06,4.990353
41.57244090000131,1.686461e-06,4.990355
42.07947400000012,1.6881e-06,4.990341
42.5860399000012,1.687305e-06,4.990351
43.0866201000008,1.685428e-06,4.990354
43.58872130000054,1.684354e-06,4.990349
44.09323399999994,1.681817e-06,4.990345
44.60970180000004,1.677735e-06,4.990345
45.10798520000026,1.676562e-06,4.990343
45.6226342000009,1.676318e-06,4.990338
46.12322680000034,1.675346e-06,4.990342
46.62498670000059,1.676139e-06,4.990339
47.12914660000024,1.676861e-06,4.990332
47.63271680000071,1.675813e-06,4.99035
48.134643100000176,1.674023e-06,4.990342
48.63564700000097,1.672895e-06,4.990341
49.13795320000099,1.671766e-06,4.990346
49.640867800000706,1.670468e-06,4.990339
50.142935700001544,1.670021e-06,4.990348
50.64684760000091,1.669058e-06,4.99035
51.15027250000094,1.666863e-06,4.990345
51.65393270000095,1.665126e-06,4.990348
52.15519940000013,1.663352e-06,4.990344
52.667255000000296,1.661169e-06,4.990342
53.16974950000076,1.66033e-06,4.990346
53.671546900000976,1.65743e-06,4.990341
54.173919800001386,1.655674e-06,4.990341
54.68873040000108,1.654069e-06,4.990346
55.197822400001314,1.651053e-06,4.990337
55.70062610000059,1.647481e-06,4.99034
56.207983100001,1.644539e-06,4.990345
56.71590190000097,1.643624e-06,4.990339
57.231851200000165,1.643551e-06,4.990339
57.734667400000035,1.641748e-06,4.990336
58.23752109999987,1.639275e-06,4.99034
58.7423370000015,1.6362e-06,4.990336
59.27277200000026,1.634248e-06,4.990337
59.77727910000067,1.630989e-06,4.990337
60.28722600000037,1.625177e-06,4.990336
61.07765860000109,2.742831e-05,4.990314
61.580522800000836,3.671761e-05,4.990331
62.09070240000074,4.592249e-05,4.990328
62.59321000000091,5.441941e-05,4.990333
63.10198240000136,6.225904e-05,4.990336
63.60536450000109,6.899399e-05,4.990345
64.11550239999997,7.465721e-05,4.99034
64.61633790000087,7.910094e-05,4.990336
65.12489790000109,8.245771e-05,4.990332
65.65007240000159,8.487616e-05,4.99033
66.1604969,8.629849e-05,4.990343
66.67013640000005,8.682407e-05,4.990346
67.17809760000091,8.681519e-05,4.990338
67.68798380000044,8.636696e-05,4.990338
68.20481840000139,8.555935e-05,4.990342
68.72048090000135,8.453172e-05,4.990345
69.24086720000014,8.336995e-05,4.990343
69.77545800000007,8.222008e-05,4.990339
70.30437760000132,8.115571e-05,4.99034
70.8232981000001,8.019203e-05,4.990338
71.3447956,7.953458e-05,4.990334
71.86004950000097,7.903524e-05,4.990341
72.38284580000072,7.866015e-05,4.990345
72.90451050000047,7.833345e-05,4.990347
73.42675400000007,7.795813e-05,4.990341
73.95095370000126,7.77516e-05,4.990348
74.47083670000029,7.74729e-05,4.990345
74.99310400000104,7.722439e-05,4.990343
75.51791220000086,7.693344e-05,4.99034
76.0589258,7.666759e-05,4.990335
76.60787800000071,7.646561e-05,4.990348
77.13690450000104,7.635821e-05,4.990348
77.67180350000126,7.625651e-05,4.990345
78.20796630000041,7.611382e-05,4.990336
78.77957109999988,7.598244e-05,4.99034
79.3179138000014,7.581274e-05,4.990341
79.86429130000033,7.571436e-05,4.990338
80.41042500000003,7.56318e-05,4.990336
80.94294400000035,7.552611e-05,4.990343
81.47587070000009,7.534234e-05,4.990339
82.00764540000091,7.521185e-05,4.990337
82.5420492000012,7.509609e-05,4.990345
83.06979600000159,7.50126e-05,4.990337
83.60890340000151,7.490223e-05,4.990342
