Time (s),Current (A),Voltage (V)
0.33895860000029643,-2.586284e-08,-15.10605
0.8401661000007152,-2.586034e-08,-15.10605
1.3470399000007092,-2.585879e-08,-15.10604
1.8490081999998438,-2.58555e-08,-15.10603
2.350395600000411,-2.58529e-08,-15.10602
2.855086399999891,-2.584943e-08,-15.10603
3.370509200000015,-2.584564e-08,-15.10602
3.872965900000054,-2.584319e-08,-15.106
4.3763920000001235,-2.584188e-08,-15.10603
4.882653200000277,-2.583947e-08,-15.10601
5.384955999999875,-2.583621e-08,-15.10602
5.890906100000393,-2.583267e-08,-15.10602
6.395756800000527,-2.583056e-08,-15.10601
6.9092429000002085,-2.582862e-08,-15.106
7.410385600000154,-2.582581e-08,-15.10601
7.91654490000019,-2.582371e-08,-15.10599
8.419043800000509,-2.582078e-08,-15.10599
8.922815599999922,-2.581779e-08,-15.10599
9.425032600000122,-2.581502e-08,-15.10597
9.92566540000007,-2.581325e-08,-15.10598
10.430063800000426,-2.58104e-08,-15.10598
10.932809900000393,-2.580889e-08,-15.10597
11.43533750000006,-2.580737e-08,-15.10597
11.950521700000536,-2.580418e-08,-15.10596
12.462977500000306,-2.580174e-08,-15.10596
12.969503700000132,-2.580001e-08,-15.10595
13.471188200000142,-2.579741e-08,-15.10595
13.978967900000498,-2.579515e-08,-15.10593
14.483099300000504,-2.579272e-08,-15.10595
14.985701999999947,-2.579112e-08,-15.10594
15.492710800000168,-2.578885e-08,-15.10594
16.007696900000155,-2.578574e-08,-15.10593
16.509867400000076,-2.578389e-08,-15.10594
17.01390679999986,-2.578087e-08,-15.10593
17.51562020000074,-2.577924e-08,-15.10594
18.031418500000655,-2.577747e-08,-15.10594
18.534006500000032,-2.577546e-08,-15.10593
19.037810800000443,-2.577321e-08,-15.10592
19.544999000000644,-2.577068e-08,-15.10593
20.049234800000704,-2.576853e-08,-15.10592
20.55139710000003,-2.576732e-08,-15.10592
21.053294400000595,-2.57652e-08,-15.10592
21.557236900000134,-2.57634e-08,-15.10591
22.062689299999874,-2.576051e-08,-15.10591
22.567069400000037,-2.575886e-08,-15.10592
23.073036200000388,-2.575719e-08,-15.1059
23.576985000000604,-2.575549e-08,-15.10589
24.080458700000236,-2.575353e-08,-15.1059
24.58649500000047,-2.575135e-08,-15.1059
25.092302800000652,-2.575015e-08,-15.10589
25.59668370000054,-2.574713e-08,-15.1059
26.10198700000001,-2.574562e-08,-15.1059
26.616910000000644,-2.574369e-08,-15.10589
27.11915510000017,-2.574174e-08,-15.10589
27.62150870000005,-2.573939e-08,-15.10589
28.123894700000164,-2.573794e-08,-15.10589
28.628107100000307,-2.573622e-08,-15.10588
29.13030760000038,-2.573411e-08,-15.10589
29.64597700000013,-2.573265e-08,-15.10589
30.150290500000665,-2.573041e-08,-15.10587
30.653852700000243,-2.572876e-08,-15.10587
31.15641940000023,-2.572708e-08,-15.10587
31.661112700000558,-2.572539e-08,-15.10587
32.16518129999986,-2.572384e-08,-15.10586
32.66937020000023,-2.572104e-08,-15.10586
33.175341500000286,-2.571973e-08,-15.10586
33.68100930000037,-2.571814e-08,-15.10586
34.18350139999984,-2.571585e-08,-15.10586
34.688933200000065,-2.571406e-08,-15.10584
35.204438100000516,-2.571262e-08,-15.10585
35.70889910000005,-2.57117e-08,-15.10584
36.22424460000002,-2.570865e-08,-15.10585
36.72737070000039,-2.570801e-08,-15.10584
37.22921360000055,-2.570676e-08,-15.10584
37.73282600000039,-2.570394e-08,-15.10584
38.23650369999996,-2.570264e-08,-15.10584
38.74056650000057,-2.570062e-08,-15.10584
39.25593690000005,-2.569959e-08,-15.10583
39.756969000000026,-2.569765e-08,-15.10584
40.2716659000007,-2.569532e-08,-15.10583
40.787063200000375,-2.569446e-08,-15.10584
41.28876780000064,-2.569209e-08,-15.10584
41.792914500000734,-2.569143e-08,-15.10582
42.29545899999994,-2.568969e-08,-15.10582
42.8011989000006,-2.568804e-08,-15.10582
43.30338639999991,-2.568637e-08,-15.10581
43.80737279999994,-2.568407e-08,-15.10582
44.30768489999991,-2.568271e-08,-15.10582
44.810397600000215,-2.568169e-08,-15.10581
45.325760900000205,-2.567949e-08,-15.10582
45.839584400000604,-2.567899e-08,-15.10581
46.3447199000002,-2.567627e-08,-15.10581
46.85915620000014,-2.567377e-08,-15.1058
47.36108020000029,-2.567236e-08,-15.1058
47.86331539999992,-2.567097e-08,-15.10579
48.36512159999984,-2.567001e-08,-15.10581
48.86523980000038,-2.566676e-08,-15.10579
49.366029300000264,-2.56671e-08,-15.10579
49.87187500000073,-2.566532e-08,-15.1058
50.375205299999834,-2.566346e-08,-15.10579
50.880391200000304,-2.566322e-08,-15.10579
51.39870710000014,-2.565991e-08,-15.10579
51.91602140000032,-2.565843e-08,-15.10579
52.42176879999988,-2.565771e-08,-15.10577
52.92273540000042,-2.565707e-08,-15.10578
53.42371550000007,-2.565643e-08,-15.1058
53.927902299999914,-2.565432e-08,-15.10579
54.43061220000072,-2.565203e-08,-15.10578
54.93788390000009,-2.565119e-08,-15.10578
55.441912900000716,-2.565023e-08,-15.10579
55.94603259999985,-2.564781e-08,-15.10578
56.45194189999984,-2.564539e-08,-15.10577
56.952789900000425,-2.564531e-08,-15.10578
57.46933369999988,-2.564219e-08,-15.10579
57.97853639999994,-2.564174e-08,-15.10578
58.479270100000576,-2.564098e-08,-15.10577
58.9819679000002,-2.563987e-08,-15.10577
59.48752760000025,-2.563656e-08,-15.10577
60.0225132000005,-2.563544e-08,-15.10577
60.53256710000005,-2.563403e-08,-15.10577
61.04740949999996,-2.56339e-08,-15.10577
61.56738850000056,-2.56314e-08,-15.10576
62.08375580000029,-2.562939e-08,-15.10577
62.59320269999989,-2.562824e-08,-15.10576
63.10679440000058,-2.562687e-08,-15.10576
63.61898569999994,-2.562467e-08,-15.10576
64.13606000000073,-2.562322e-08,-15.10576
64.64491369999996,-2.562455e-08,-15.10577
65.1596599000004,-2.562122e-08,-15.10576
65.6732163000006,-2.56185e-08,-15.10576
66.18786730000011,-2.561875e-08,-15.10577
66.70873400000073,-2.561569e-08,-15.10575
67.22851050000008,-2.561568e-08,-15.10576
